domain,"category
(for the purpose of interpreting IAT scores and self-report scales)",category labels,stimuli,,,,,,,,,evaluative label,notes
Burger King - McDonald's,X,Burger King,Whopper,BK Broiler,Flame-Broiled,burgerking1.jpg,burgerking2.jpg,burgerking3.jpg,,,,Valenced 1,
,Y,McDonald's,Big Mac,McNuggets,Quarter Pounder,mcdonalds1.jpg,mcdonalds2.jpg,mcdonalds3.jpg,,,,,
Canadian - American,X,Canadian,Toronto,Montreal,Vancouver,c_1.jpg,c_3.jpg,c_5.jpg,,,,Valenced 5,
,Y,American,Boston,Detroit,Seattle,a_3.jpg,a_1.jpg,a_5.jpg,,,,,
Capital Punishment - Imprisonment,X,Capital Punishment,electric chair,lethal injection,gas chamber,capital punishment,,,,,,Valenced 6,
,Y,Imprisonment,jail cell,locked away,rehabilitation,imprisoned,,,,,,,
Career - Family,X,Career,Work,Business,Job,Profession,Office,,,,,,
,Y,Family,Home,Household,Children,Domestic,Kitchen,,,,,Valenced 2,
Chaos - Order,X,Chaos,Anarchy,Scattered,Disarray,Random,,,,,,,
,Y,Order,Control,Predictable,Discipline,Structure,,,,,,Valenced 5,
Coffee - Tea,X,Coffee,Cappuccino,Espresso,Mocha,Latte,Columbian,Dark-Roasted,French Roast,,,Valenced 2,
,Y,Tea,Darjeeling,Camomille,Earl Grey,English Breakfast,Lemon,Sleepytime,Herbal,,,,
Cold - Hot,X,Cold,cool,freeze,frozen,ice,chill,,,,,Valenced 1,
,Y,Hot,warm,boil,heat,steam,burn,,,,,,
Conservatives - Liberals,X,Conservatives,Right Wing,George Bush,Republican,Conservative,Ronald Reagan,,,,,,
,Y,Liberals,Left Wing,Jimmy Carter,Democrat,Liberal,Bill Clinton,,,,,Valenced 5,
Corporations - Non-profits,X,Corporations,Wal-Mart,Microsoft,General Mills,General Motors,Starbucks,IBM,,,,Valenced 3,
,Y,Non-profits,American Heart Assoc.,Amnesty International,Cancer Society,UNICEF,Red Cross,Greenpeace,,,,,
David Letterman - Jay Leno,X,David Letterman,Late Night,CBS,Letterman,David Letterman,,,,,,Valenced 6,
,Y,Jay Leno,Tonight Show,NBC,Leno,Jay Leno,,,,,,,
Denzel Washington - Tom Cruise,X,Denzel Washington,denzelwashington1.jpg,denzelwashington2.jpg,denzelwashington3.jpg,denzelwashington4.jpg,denzelwashington5.jpg,denzelwashington6.jpg,,,,,
,Y,Tom Cruise,cruise1.jpg,cruise2.jpg,cruise3.jpg,cruise4.jpg,cruise5.jpg,cruise6.jpg,,,,Valenced 1,
Determinism - Free Will,X,Determinism,Arranged,Destined,Fixed,,,,,,,,
,Y,Free Will,Choice,Intention,Freedom,,,,,,,Valenced 5,
Difficult - Simple,X,Difficult,Complicated,Challenging,Puzzling,Baffling,,,,,,,
,Y,Simple,Easy,Elementary,Straightforward,Effortless,,,,,,Valenced 4,
Dogs - Cats,X,Dogs,dogs1.jpg,dogs2.jpg,dogs3.jpg,dogs4.jpg,,,,,,,
,Y,Cats,cats1.jpg,cats2.jpg,cats3.jpg,cats4.jpg,,,,,,Valenced 7,
Dramas - Comedies,X,Dramas,Law and Order,The Practice,The Sopranos,West Wing,,,,,,,
,Y,Comedies,That 70's Show,Everybody Loves Raymond,Will and Grace,Drew Carey,,,,,,Valenced 3,
Drinking - Abstaining,X,Drinking,Alcohol,Drunk,Intoxicated,Inebriated,,,,,,Valenced 7,
,Y,Abstaining,Abstain,Sober,Refrain,Dry Out,,,,,,,
Effort - Talent,X,Effort,Practiced,Labor,Exertion,Hard Work,,,,,,,
,Y,Talent,Ability,Innate Skill,Gifted,Natual Ability,,,,,,Valenced 5,
Evolution - Creationism,X,Evolution,Darwin,Origin of Species,Science,Natural Selection,Evolved,,,,,,
,Y,Creationism,Created,Bible,Religion,Creator,Six Days,,,,,Valenced 4,
Fat People - Thin People,X,Fat People,7_B.jpg,1_B.jpg,8_B.jpg,4_B.jpg,2_B.jpg,,,,,,
,Y,Thin People,10_A.jpg,6_A.jpg,5_A.jpg,3_A.jpg,9_A.jpg,,,,,Valenced 5,
Foreign Places - American Places,X,Foreign Places,FOR005.jpg,FOR002.jpg,FOR003.jpg,FOR001.jpg,FOR004.jpg,FOR006.jpg,,,,,
,Y,American Places,AME003.jpg,AME0016.jpg,AME009.jpg,AME002.jpg,AME006.jpg,AME0012.jpg,,,,Valenced 3,
Friends - Family,X,Friends,Chum,Buddy,Pal,Peers,Companion,,,,,,
,Y,Family,Mother,Father,Siblings,Grandparent,Child,,,,,Valenced 6,
Gay people - Straight people,X,Gay People,05_GAY.jpg,14_gay.jpg,12_gay.jpg,20_homo.jpg,17_gay.jpg,,,,,,
,Y,Straight People,19_hetero.jpg,13_hetero.jpg,21_hetero.jpg,11_hetero.jpg,06_hetero.jpg,,,,,Valenced 3,
George Bush - John Kerry,X,George Bush,gbush1.jpg,gbush2.jpg,gbush3.jpg,gbush4.jpg,,,,,,,
,Y,John Kerry,kerry1.jpg,kerry2.jpg,kerry3.jpg,kerry4.jpg,,,,,,Valenced 2,
Gun Control - Gun Rights,X,Gun Control,Gun Control,Background Checks,Restrict Guns,Waiting Period,,,,,,,
,Y,Gun Rights,NRA,Gun Rights,Allow Guns,Bear Arms,,,,,,Valenced 5,
Helpers - Leaders,X,Helpers,Assistant,Worker,Attendant,Employee,Aide,,,,,,
,Y,Leaders,CEO,President,Boss,Manage,Senator,,,,,Valenced 7,"""Manage"" should have been ""Manager"""
Hip Hop - Classical,X,Hip-Hop,Tupac,Eminem,DMX,Beastie Boys,Dr. Dre,Snoop Dogg,Jay-Z,Wu-Tang Clan,,,
,Y,Classical,Beethoven,Mozart,Tchaikovsky,Bach,Vivaldi,Handel,Stravinsky,Chopin,,Valenced 1,
Innocence - Wisdom,X,Innocence,Simple,pure,naive,Inexperience,Youthful,,,,,,
,Y,Wisdom,Mature,Knowledge,Enlightened,Worldly,Sophisticated,,,,,Valenced 6,
Japan - United States,X,Japan,Mount Fuji,Honda,Asia,Mitsubishi,Tokyo,Kyoto,,,,,
,Y,The United States,Mount Rushmore,Chrysler,Ford,New York,Washington D.C.,America,,,,Valenced 2,
Jazz - Teen Pop,X,Jazz,Ella Fitzgerald,Billie Holliday,Louis Armstrong,Duke Ellington,Miles Davis,Diana Krall,John Coltrane,,,Valenced 5,
,Y,Teen Pop,N Sync,Mariah Carey,Backstreet Boys,Mandy Moore,Britney Spears,Brandy,Christina Aguilera,,,,
Jews - Christians,X,Jews,Synagogue,Rabbi,Torah,Talmud,Hanukkah,Jewish,Yom Kippur,Sabbath,,,
,Y,Christians,Church,Minister,Priest,Gospels,Christmas,Christian,Easter,Sunday,,Valenced 5,
Jocks - Nerds,X,Jocks,Sports,Strong,Athletic,Exercise,Football,Muscles,,,,,
,Y,Nerds,Studious,Intelligent,Smart,Study,Calculator,Brains,,,,Valenced 2,
Kobe - Shaq,X,Kobe,Kobe Bryant,kobe1.jpg,kobe2.jpg,Kobe,,,,,,Valenced 7,
,Y,Shaq,Shaquille O'Neal,shaq1.jpg,shaq2.jpg,Shaq,,,,,,,
Lawyers - Politicians,X,Lawyers,Attorney,Counsel,Prosecution,Trial Lawyer,,,,,,Valenced 7,
,Y,Politicians,Mayor,Senator,Governor,Representative,,,,,,,
Lord of the Rings - Harry Potter,X,Lord Of The Rings,lotr1.jpg,lotr2.jpg,lotr3.jpg,lotr4.jpg,lotr5.jpg,lotr6.jpg,,,,,
,Y,Harry Potter,hp1.jpg,hp2.jpg,hp3.jpg,hp4.jpg,hp5.jpg,hp6.jpg,,,,Valenced 2,
Manufactured - Natural,X,Manufactured,Artificial,Synthetic,Produced,Constructed,,,,,,,
,Y,Natural,Biological,Untreated,Pure,Organic,,,,,,Valenced 1,
Meat - Vegetables,X,Meat,meat1.jpg,meat2.jpg,meat3.jpg,meat4.jpg,meat5.jpg,meat7.jpg,meat8.jpg,,,,
,Y,Vegetables,vegetables2.jpg,vegetables3.jpg,vegetables4.jpg,vegetables5.jpg,vegetables6.jpg,vegetables7.jpg,vegetables8.jpg,,,Valenced 7,
Meg Ryan - Julia Roberts,X,Meg Ryan,ryan1.jpg,ryan2.jpg,ryan3.jpg,ryan4.jpg,ryan5.jpg,ryan6.jpg,,,,Valenced 7,
,Y,Julia Roberts,roberts1.jpg,roberts2.jpg,roberts3.jpg,roberts5.jpg,roberts6.jpg,roberts7.jpg,,,,,
Microsoft - Apple,X,Microsoft,microsoft1.jpg,microsoft2.jpg,microsoft3.jpg,microsoft4.jpg,microsoft5.jpg,microsoft6.jpg,microsoft7.jpg,,,,
,Y,Apple,apple1.jpg,apple2.jpg,apple3.jpg,apple4.jpg,apple5.jpg,apple6.jpg,apple7.jpg,,,Valenced 2,
Money - Love,X,Money,Affluence,Wealth,Investments,Cash,,,,,,,
,Y,Love,Affection,Heart,Relationship,Romance,,,,,,Valenced 2,
Mother Teresa - Princess Diana,X,Mother Teresa,mothert1.jpg,mothert2.jpg,mothert3.jpg,mothert4.jpg,,,,,,Valenced 2,
,Y,Princess Diana,diana1.jpg,diana2.jpg,diana3.jpg,diana4.jpg,,,,,,,
Mountains - Ocean,X,Mountains,mountains1.jpg,mountains2.jpg,mountains3.jpg,mountains4.jpg,mountains5.jpg,mountains6.jpg,mountains7.jpg,,,Valenced 1,
,Y,Ocean,ocean1.jpg,ocean2.jpg,ocean3.jpg,ocean4.jpg,ocean5.jpg,ocean6.jpg,ocean7.jpg,,,,
Muslims - Jews,X,Muslims,Islam,Mosque,Mohammed,Koran,Palestine,,,,,,
,Y,Jews,Torah,Moses,Temple,Judaism,Israel,,,,,Valenced 4,Moses is a Islamic prophet too
National Defense - Education,X,Defense,Military,Soldiers,Combat,Army,Navy,Air Force,Marines,,,Valenced 5,
,Y,Education,Educate,Schools,Teachers,Books,Teach,Buses,Students,,,,
New York - California,X,California,San Francisco,Los Angeles,West Coast,San Francisco,Golden Gate,Hollywood,,,,Valenced 2,
,Y,New York,New York City,Big Apple,East Coast,Buffalo,Statue of Liberty,,,,,,
Night - Morning,X,Night,P.M.,Evening,Moon,Midnight,Sunset,,,,,,
,Y,Morning,A.M.,Sun,Daylight,Dawn,Sunrise,,,,,Valenced 3,
Numbers - Letters,X,Numbers,123,456,789,2345,6789,123456,456789,,,,
,Y,Letters,ABC,DEF,GHI,BCDE,FGHI,ABCDEF,DEFGHI,,,Valenced 1,
Old People - Young People,X,Old People,om3.jpg,om1.jpg,om2.jpg,of1.jpg,of2.jpg,of3.jpg,,,,,
,Y,Young People,ym3.jpg,ym2.jpg,yf4.jpg,ym5.jpg,yf1.jpg,jf5.jpg,,,,Valenced 3,
Organized Labor - Management,X,Organized Labor,Union,Workers,Employees,Staff,Subordinates,,,,,Valenced 7,
,Y,Management,Supervisors,Boss,Administration,Employer,Managers,,,,,,
Pants - Skirts,X,Pants,pants1.jpg,pants2.jpg,pants3.jpg,pants4.jpg,pants5.jpg,,,,,,
,Y,Skirts,skirts1.jpg,skirts2.jpg,skirts3.jpg,skirts4.jpg,skirts5.jpg,,,,,Valenced 1,
Past - Future,X,Past,Behind,Backward,Yesterday,Last week,Years behind,,,,,,
,Y,Future,Ahead,Forward,Tomorrow,Next week,Years ahead,,,,,Valenced 4,
Pepsi - Coke,X,Pepsi,pepsi_1.jpg,pepsi_2.jpg,pepsi_3.jpg,pepsi_4.jpg,pepsi_6.jpg,,,,,,
,Y,Coke,coke_1.jpg,coke_2.jpg,coke_6.jpg,coke_7.jpg,coke_9.jpg,,,,,Valenced 3,
Poor People - Rich People,X,Poor People,Poor,Impoverished,Broke,Bankrupt,,,,,,Valenced 4,
,Y,Rich People,Wealthy,Affluent,Prosperous,Well Off,,,,,,,
Private - Public,X,Private,Personal,Confidential,Secret,Secluded,,,,,,Valenced 6,
,Y,Public,Communal,Accessible,Open,Unrestricted,,,,,,,
Prolife - Prochoice,X,Pro-Choice,Pro-Choice,Right To Choose,Planned Parenthood,,,,,,,Valenced 6,
,Y,Pro-Life,Pro-Life,Right To Life,Christian Coalition,,,,,,,,
Protein - Carbohydrates,X,Protein,beef,chicken,eggs,peanut butter,fish,meat,,,,,
,Y,Carbohydrates,pasta,bread,starch,cereal,grains,rice,,,,Valenced 6,
Protestants - Catholics,X,Protestants,Anglican,Pastor,Episcopalian,Methodist,Baptist,Lutheran,,,,,
,Y,Catholics,Rome,Vatican,Pope,Jesuit,Dominican,Saints,,,,Valenced 2,
Punishment - Forgiveness,X,Punishment,Penalty,Retribution,Discipline,Punitive,Sanction,,,,,Valenced 7,
,Y,Forgiveness,Pardon,Reprieve,Amnesty,Lenience,Mercy,,,,,,
Realism - Idealism,X,Realism,Practical,Concrete,Pragmatism,Reason,,,,,,,
,Y,Idealism,Optimism,Hope,Utopian,Visionary,,,,,,Valenced 1,
Reason - Emotions,X,Reason,Sensible,Prudent,Logical,Reasoning,Prudent,Practical,Pragmatic,,,,
,Y,Emotions,Feeling,Impulsive,Spontaneous,Passionate,Volatile,Sensitive,Impassioned,,,Valenced 6,
Rebellious - Conforming,X,Rebellious,question,challenge,defy,disobey,resist,,,,,,
,Y,Conforming,follow,obey,yield,comply,abide,,,,,Valenced 3,
Receiving - Giving,X,Receiving,Accepting,Acquiring,Gaining,Obtaining,Procuring,,,,,,
,Y,Giving,Bestowing,Donating,Endowing,Awarding,Providing,,,,,Valenced 7,
Red Sox - Yankees,X,Red Sox,Boston,Red Sox,Fenway Park,redsox1.jpg,redsox2.jpg,,,,,,
,Y,Yankees,New York,Yankees,Yankee Stadium,ny_yankees1.jpg,ny_yankees2.jpg,,,,,Valenced 7,
Relaxing - Exercising,X,Relaxing,Sit,Rest,Watch TV,Snooze,Recline,Lie Down,,,,,
,Y,Exercising,Lift Weights,Run,Jump,Workout,Aerobics,Crosstraining,,,,Valenced 1,
Republicans - Democrats,X,Republicans,Republican,Ronald Reagan,Right Wing,George Bush,Elephant,Conservative,,,,,
,Y,Democrats,Democrat,Jimmy Carter,Left Wing,Al Gore,Donkey,Liberal,,,,Valenced 6,
Rich People - Beautiful People,X,Rich People,wealthy,well-off,prosperous,affluent,,,,,,,
,Y,Beautiful People,handsome,gorgeous,stunning,attractive,,,,,,Valenced 3,
Security - Freedom,X,Security,Safe,Secure,Controlled,Protected,,,,,,,
,Y,Freedom,Free,Unregulated,Liberty,Independent,,,,,,Valenced 3,
Single - Married,X,Single,Solitary,Independent,Autonomous,Unmarried,Unattached,Individual,,,,,
,Y,Married,Together,Joined,Couple,Wedded,Committed,Hitched,,,,Valenced 7,
Skeptical - Trusting,X,Skeptical,Questioning,Hesitant,Wary,Doubtful,,,,,,,
,Y,Trusting,Convinced,Confident,Accepting,Believing,,,,,,Valenced 4,
Solitude - Companionship,X,Solitude,Alone,Unattached,Independent,Solo,Individual,Autonomous,,,,Valenced 1,difficult within the self/other IAT
,Y,Companionship,Accompaniment,Comraderie,Company,Fellowship,Togetherness,Relationship,,,,,
Southerners - Northerners,X,Southerners,Alabama,Georgia,Mississippi,Louisiana,Florida,Tennessee,South Carolina,,,,
,Y,Northerners,New York,Maine,Vermont,New Hampshire,Connecticut,Rhode Island,Massachusetts,,,Valenced 3,
Speed - Accuracy,X,Speed,Fast,Swift,Rapid,Quick,Speedy,,,,,Valenced 1,
,Y,Accuracy,Correct,Accurate,Precise,Valid,Exact,,,,,,
Stable - Flexible,X,Stable,Same,Familiar,Unchanging,Steady,Fixed,Enduring,Permanent,,,,
,Y,Flexible,Shifting,New  ,Different,Variable,Changing,Novelty,Fluctuate,,,Valenced 6,
State - Church,X,State,Government,Republic,Nation,Constitution,,,,,,,
,Y,Church,Religion,Spirituality,Faith,Scripture,,,,,,Valenced 4,
Strong - Sensitive,X,Strong,Powerful,Sturdy,Firm,Steady,,,,,,Valenced 2,
,Y,Sensitive,Perceptive,Responsive,Considerate,Insightful,,,,,,,
Tall People - Short People,X,Tall,Lanky,Big,Large,Gigantic,Towering,,,,,,
,Y,Short,Small,Tiny,Little,Slight,Petite,,,,,Valenced 6,
Tax Reductions - Social Programs,X,Tax Reductions,Lower Taxes,Tax Credits,Tax Breaks,Tax Relief,,,,,,,
,Y,Social Programs,Medicare,Welfare,Social Security,Build Schools,,,,,,Valenced 4,
Team - Individual,X,Team,Squad,Players,Group,Bunch,,,,,,Valenced 6,difficult within the self/other IAT
,Y,Individual,Person,Autonomous,Solo,One,,,,,,,
Technology - Nature,X,Technology,Machines,Innovation,Devices,Invention,,,,,,,
,Y,Nature,Animals,Natural,Plants,Living,,,,,,Valenced 5,
Television - Books,X,Television,Desperate Housewives,Survivor,West Wing,American Idol,E.R.,The Simpsons,Will and Grace,60 Minutes,Law and Order,,
,Y,Books,War and Peace,Iliad,Paradise Lost,Great Expectations,Beloved,Moby Dick,Huckleberry Finn,Ulysses,Great Gatsby,Valenced 4,
Tradition - Progress,X,Tradition,Ritual,Custom,Convention,Stability,,,,,,Valenced 3,
,Y,Progress,Development,Advancement,Innovation,Change,,,,,,,
Traditional - Feminism,X,Traditional Values,Phyllis Schlafly,Conservative,Family Values,Eagle Forum,,,,,,,
,Y,Feminism,Gloria Steinem,Liberal,Women's Rights,N.O.W.,,,,,,Valenced 6,
Urban - Rural,X,Urban,City,Skyscraper,Busy,Noise,Buildings,,,,,Valenced 5,
,Y,Rural,Country,Farm,Slow,Quiet,Fields,,,,,,
West Coast - East Coast,X,West Coast,Los Angeles,San Fransico,Seattle,Silicon Valley,Pacific,PST,,,,,
,Y,East Coast,New York,Washington DC,Atlanta,Wall Street,Atlantic,EST,,,,Valenced 5,
Winter - Summer,X,Winter,January,Cold,February,December,,,,,,,
,Y,Summer,June,Hot,July,August,,,,,,Valenced 5,normative for northern hemisphere participants only
Wrinkles - Plastic Surgery,X,Wrinkles,Lines,Crow's Feet,Crinkles,Folds,Creases,Furrows,,,,,
,Y,Plastic Surgery,Botox,Collagen,Tummy Tuck,Face Lift,Liposuction,Nose Job,,,,Valenced 1,
,,,,,,,,,,,,,
