V1,V2,V3,V4,V5,V6,V7,V8
127 Dressmakers,,see “Tailors”,Couturiers,N/A,see “Tailors”,see “Tailors”,see “Tailors”
128 Drivers,,Řidiči,Automobilistes,Fahrer,Automobilisti,Sjåfører,Vodiči
129 Driving instructors,,Učitelé v autoškole,Moniteurs d’auto-école,Fahrlehrer,Istruttori di guida,Kjørelærere,Inštruktori autoškôl
130 Drug addicts,,Narkomani,Toxicomanes,Drogenabhängige,Tossicodipendenti,Narkomane,Narkomani
131 Drug dealers,,Dealeři drog,Dealeurs de drogue,Drogenhändler,Spacciatori,Langere,Drogoví díleri
132 Drummers,,Bubeníci,Batteurs,Schlagzeuger,Batteristi,Trommeslagere,Bubeníci
133 Economists,,Ekonomové,Économistes,Wirtschaftswissenschaftler,Economisti,Økonomer,Ekonómovia
134 Editors,,Editoři,see “Publishers”,Herausgeber,Redattori,Redaktører,Editori
135 Educational,,Pedagogičtí,Éducateurs spécialisés,Pädagogische Psychologen,Psicologi dell’educazione,Skolepsykologer,Vzdelávací
psychologists,,psychologové,,,,,psychológovia
136 Electricians,,Elektrikáři,Électriciens,Elektriker,Elettricisti,Elektrikere,Elektrikári
137 Embezzlers,,Defraudanti,Escrocs,Veruntreuer,Malversatori,Underslagere,Defraudanti
138 Engine-drivers,,Strojvedoucí,Mécaniciens de train,Lokführer,Macchinisti,Lokomotivførere,Rušnovodiči
139 Engineers,,Inženýři,Ingénieurs,Ingenieure,Ingegneri,Ingeniører,Inžinieri
140 Entertainers,,Konferenciéři,Amuseurs,Entertainer,Intrattenitori,Artister,Konferencieri
141 Environmentalists,,Ekologové,Écologistes,Umweltschützer,Ecologisti,Miljøaktivister,Ekológovia
142 Estate agents,,Realitní makléři,Agents immobiliers,Immobilienmakler,Agenti immobiliari,Eiendomsmeglere,Realitní makléri
143 Executives,,Vedoucí pracovníci,Cadres,Führungskräfte,Impiegati esecutivi,Direktører,Vedúci pracovníci
144 Executors,,Exekutoři,Exécuteurs testamentaire,Nachlassverwalter,Esecutori testamentari,Testamentfullbyrdere,Exekútori
145 Exercise instructors,,Instruktoři cvičení,Professeurs de fitness,Übungsleiter,Istruttori di palestra,Treningsinstruktører,Inštruktori cvičenia
146 Exotic dancers,,Tanečníci exotických,Danseurs exotiques,exotische Tänzer,Danzatori esotici,Eksotiske dansere,Exotickí tanečníci
,,tanců,,,,,
147 Explorers,,Badatelé,Explorateurs,Entdecker,Esploratori,Oppdagere,Bádatelia
148 Factory managers,,Ředitelé závodu,Directeurs d’usine,Werksleiter,Direttori di stabilimento,Fabrikkbestyrere,Riaditelia závodu
149 Fans,,see “Groupies”,Fans,Fans,Ammiratori,Fans,see “Groupies”
150 Farmers,,Zemědělci,Agriculteurs,Bauern,Agricoltori,Bønder,Poľnohospodári
151 Fashion models,,Manekýni/modelové,Mannequins,Mannequins,see “Models”,Mannekenger,Manekýni
152 Fencers,,Šermíři,Escrimeurs,Fechter,Schermitori,Fektere,Šermiari
153 Fig. skaters,,Krasobruslaři,Patineurs artistiques,Eiskunstläufer,Pattinatori artistici,Kunstløpere,Krasokorčuliari
154 Film directors,,Filmoví režiséři,Réalisateurs,Filmregisseure,Registi,Filmregissører,Filmoví režiséri
155 Film stars,,Filmové hvězdy,Vedettes de cinéma,Filmstars,Star del cinema,Filmstjerner,Filmové hviezdy
156 Financial advisers,,Finanční poradci,Conseillers financiers,Finanzberater,Consulenti finanziari,Revisorer,Finanční poradcovia
157 Financial analysts,,Finanční analytici,Analystes financiers,Analysten,Analisti finanziari,Finansanalytikere,Finanční analytici
Table 2 (continued),,,,,,,
Role nouns,,Czech,French,German,Italian,Norwegian,Slovak
(in English),,,,,,,
158 Firefighters,,Hasiči,Pompiers,Feuerwehrleute,Vigili del fuoco,Brannkonstabler,Požiarnici
159 Flight attendants,,Stevardi,Stewards,Flugbegleiter,Assistenti di volo,Kabinpersonale,Stewardi
160 Florists,,Květináři,Fleuristes,Floristen,Fioristi,Blomsterhandlere,Kvetinári
161 Flute players,,Flétnisti,Flûtistes,Flötenspieler,Flautisti,Fløytister,Flautisti
162 Football coaches,,Trenéři fotbalu,Entraîneurs de foot,Fussballtrainer,Allenatori di calcio,Fotballtrenere,Futbaloví tréneri
163 Football players,,Fotbalisti,Footballeurs,Fussballspieler,Calciatori,Fotballspillere,Futbalisti
164 Forensic,,Soudní psychologové,Psychologues,Forensische Psychologen,Psicologi forensi,Rettspsykiatere,Súdni psychológovia
psychologists,,,criminologues,,,,
165 Forest rangers,,Myslivci,Gardes-forestiers,Förster,Guardie forestali,Skogsforvaltere,Lesníci
166 Fortune tellers,,Věštci,Diseurs de bonne,Wahrsager,Indovini,see “Tarot card readers”,Veštci
,,,aventure,,,,
167 Funeral directors,,Majitelé pohřebního,Directeurs de pompes,Bestattungsunternehmer,Impresari di pompe funebri,see “Undertakers”,Majitelia pohrebného
,,ústavu,funèbres,,,,ústavu
168 Game wardens,,Revírníci,Gardes-chasses,Wildhüter,Guardacaccia,Skogvoktere,Horári
169 Gardeners,,see “Groundkeepers”,Jardiniers,Gärtner,Giardinieri,Gartnere,see “Groundkeepers”
170 Generals,,Generálové,Généraux,Generäle,Generali,Generaler,Generáli
171 General managers,,Generální ředitelé,Directeurs généraux,Geschäftsführer,Direttori generali,Daglige ledere,Generálni riaditelia
172 Geologists,,Geologové,Géologues,Geologen,Geologi,Geologer,Geológovia
173 Goalkeepers,,Brankáři,Gardiens de foot,Torwarte,Portieri di calcio,Keepere,Brankári
174 Goldsmiths,,Zlatníci,Orfèvres,Goldschmiede,Orefici,Gullsmeder,Zlatníci
175 Golfers,,Golfisté,Golfeurs,Golfspieler,Golfisti,Golfspillere,Golfisti
176 Government officials,,Státní úředníci,Fonctionnaires,Regierungsbeamte,Funzionari governativi,Embetsmenn,Štátni úradníci
177 Governors,,Guvernéři,Gouverneurs,Gouverneure,Governatori,Guvernører,Guvernéri
178 Graphic designers,,Grafici,Graphistes,Grafikdesigner,Grafici,Grafiske designere,Grafickí dizajnéri
179 Groundkeepers,,Zahradníci,N/A,Platzwarte,Custodi di giardini pubblici,N/A,Záhradníci
180 Groupies,,Fanoušci,Groupies,Groupies,Groupies,Groupier,Fanúšici
181 Guards,,Strážci,Surveillants,Wächter,Guardie,Vakter,Strážcovia
182 Guitar players,,Kytaristé,Guitaristes,Gitarrenspieler,Chitarristi,Gitarspillere,Gitaristi
183 Gymnasts,,Gymnasté,Gymnastes,Turner,Ginnasti,Turnere,Gymnasti
184 Gynaecologists,,Gynekologové,Gynécologues,Frauenärzte,Ginecologi,Gynekologer,Gynekológovia
185 Hairdressers,,Kadeřníci,Coiffeurs,Friseure,Parrucchieri,Frisører,Kaderníci
186 Heads of department,,Vedoucí oddělení,Chefs de département,Abteilungsleiter,Capi dipartimento,Avdelingsledere,Vedúci oddelenia
187 Head teachers,,Ředitelé školy,Directeurs d’école,Schulleiter,Presidi,Rektorer,Riaditelia škôl
188 Health visitors,,Pečovatelé,Infirmiers itinérants,Gesundheitsberater,see “Social workers”,Helsearbeidere,Ošetrovatelia
Table 2 (continued),,,,,,,
Role nouns,,Czech,French,German,Italian,Norwegian,Slovak
(in English),,,,,,,
Heavy equipment,,Operátoři těžké,Opérateurs d’équipement,,Operatori di macchine,,
operators,,techniky,lourd,,pesanti,,
190 Historians,,Historici,Historiens,Historiker,Storici,Historikere,Historici
191 History professors,,Profesoři historie,Professeurs d’histoire,Geschichtsprofessoren,Professori di storia,Historieprofessorer,Profesori histórie
192 Hitchhikers,,Stopaři,Auto-stoppeurs,Anhalter,Autostoppisti,Haikere,Stopári
193 Homeless persons,,Bezdomovci,Sans-abri,Obdachlose,Senzatetto,Hjemløse,Bezdomovci
194 Horse riders,,Jezdci na koních,Cavaliers,Reiter,Cavallerizzi,Ryttere,Jazdci na koňoch
195 Horse trainers,,Trenéři koní,Dresseurs de chevaux,Pferdetrainer,Addestatori di cavalli,Ridelærere,Tréneri koní
196 Hospital orderlies,,Zdravotníci,Aides-soignants,N/A,Inservienti ospedalieri,Portører,Zdravotníci
197 Hotel guests,,Hoteloví hosté,Client d’hôtel,Hotelgäste,Ospiti d’albergo,Hotellgjester,Hoteloví hostia
198 Hotel managers,,Ředitelé hotelu,Gérants d’hôtel,Hotelmanager,Direttori d’albergo,Hotelldirektører,Riaditelia hotelov
199 Housekeepers,,Hospodáři,Gouvernant,Haushälter,Domestici,Husholdere,Gazdovia
200 Humanitarians,,Humanitární pomocníci,Humanitaires,Menschenfreunde,Benefattori,Menneskevenner,Humanitárni pomocníci
201 Humanities,,Profesoři humanitních,Professeurs de lettres,Professoren für,Professori di lettere,Professorer i humanoria,Profesori humanitných
professors,,oborů,,Geisteswissenschaften,,,odborov
202 Hunters,,Lovci,Chasseurs,Jäger,Cacciatori,Jegere,Lovci
203 Ice skaters,,Bruslaři,Patineurs sur glace,Eisläufer,Pattinatori sul ghiaccio,Skøyteløpere,Korčuliari
204 Infant teachers,,see “Nursery teachers”,Enseignants d’école,Kindergartenpädagogen,see “Nursery teachers”,N/A,Učitelia v škôlke
,,,primaire,,,,
205 Informants,,Informátoři,Informateurs,Informanten,Informatori,Informanter,Spravodajcovia
206 Inmates,,Chovanci,Détenus,Häftlinge,Detenuti,Innsatte,Spolubývajúci
207 Innkeepers,,Hostinští,Aubergistes,Gastwirte,Albergatori,Vertshusinnehavere,Krčmári
208 Interior decorators,,Bytoví architekti,Décorateurs d’intérieur,Innenausstatter,Decoratori d’interni,Interiørarkitekter,Bytoví architekti
209 Interpreters,,Tlumočníci,Interprètes,Dolmetscher,Interpreti,Tolker,Tlmočníci
210 Inventors,,Vynálezci,Inventeurs,Erfinder,Inventori,Oppfinnere,Vynálezcovia
211 IT consultants,,IT konzultanti,Consultants,IT-Berater,Consulenti informatici,IT-konsulenter,IT konzultanti
,,,informatiques,,,,
212 Jailors,,Dozorci,Geôliers,Gefängniswärter,Cercerieri,Fangevoktere,Dozorci vo väzení
213 Janitors,,Školníci,Concierges,Hausmeister,Bidelli,Vaktmestere,Školníci
214 Jewelers,,Klenotníci,Bijoutiers,Juweliere,Gioiellieri,Juvelerer,Klenotníci
215 Job seekers,,Uchazeči o zaměstnání,Chercheurs d’emploi,Arbeitssuchende,Disoccupati,Jobbsøkere,Uchádzači o zamestnanie
216 Joggers,,see “Runners”,Joggeurs,Jogger,Maratoneti,Joggere,see “Runners”
217 Journalists,,Novináři,see “Reporters”,Journalisten,Giornalisti,Journalister,Novinári
218 Judges,,Soudci,Juges,Richter,Giudici,Dommere,Sudcovia
219 Jugglers,,Žongléři,Jongleurs,Jongleure,Giocolieri,Sjonglører,Žongléri
Table 2 (continued),,,,,,,
Role nouns,,Czech,French,German,Italian,Norwegian,Slovak
(in English),,,,,,,
220 Jurors,,Porotci,Jurés,Jurymitglieder,Giurati,Jurymedlemmer,Porotcovia
221 Karaoke singers,,Zpěváci karaoke,Chanteurs de karaoké,Karaokesänger,Cantanti di karaoke,Karaokesangere,Speváci karaoke
222 Kids,,Děti (hoši),Enfants,Kinder,Ragazzi,Unger,N/A
223 Killers,,see “Murderers”,Tueurs,Totschläger,Sicari,Drapsmenn,see “Murderers”
224 Kindergarten teachers,,see “Nursery teachers”,Enseignants de la petite,Kindergärtner,Maestri d’asilo,Barnehageansatte,see “Nursery teachers”
,,,enfance,,,,
225 Knitters,,Pletaři,Tricoteurs,Stricker,Magliai,N/A,Pletiari
226 Lab technicians,,Laboranti,Techniciens de,Labortechniker,Tecnici di laboratorio,Laboratorieteknikere,Laboranti
,,,laboratoire,,,,
227 Landscape gardeners,,Zahradní architekti,Paysagistes,Landschaftsgärtner,Architetti per giardini,Anleggsgartnere,Záhradní architekti
228 Law clerks,,Advokátní koncipienti,Greffiers,Rechtsanwaltsgehilfen,Assistenti giudiziari,Advokatsekretærer,Advokátski koncipienti
229 Law professors,,Profesoři práva,Professeurs de droit,Rechtsprofessoren,Professori di diritto,Jusprofessorer,Profesori práva
230 Lawyers,,Právníci,Avocats,Anwälte,Avvocati,Advokater,Právnici
231 Leaders,,see “Supervisors”,Dirigeants,Anführer,Leader,Ledere,see “Supervisors”
232 Librarians,,Knihovníci,Bibliothécaires,Bibliothekare,Bibliotecari,Bibliotekarer,Knihovníci
233 Lieutenants,,Poručíci,Lieutenants,Leutnants,Luogotenenti,Løytnanter,Poručíci
234 Lifeguards,,Plavčíci,Sauveteurs,Rettungsschwimmer,Bagnini,Badevakter,Plavčíci
235 Lighthouse keepers,,Strážci majáku,Gardiens de phare,Leuchtturmwärter,Guardiani del faro,Fyrvoktere,Strážcovia majákov
236 Lodgers,,Nájemníci,Locataires,Mieter,Inquilini,Leieboere,Nájomníci
237 Lorry drivers,,Řidiči kamionů,Camionneurs,LKW-Fahrer,Camionisti,Lastebil sjåfører,Vodiči kamiónov
238 Magicians,,Kouzelníci,Magiciens,Zauberer,Prestigiatori,Tryllekunstnere,Kúzelníci
239 Magician’s assistants,,Asistenti kouzelníků,Assistants de magicien,Assistenten einer,Assistenti di prestigiatore,N/A,Asistenti kúzelníkov
,,,,Zaubershow,,,
240 Make up artists,,Maskéři,Maquilleurs,Visagisten,Truccatori,N/A,Maskéri
241 Managers,,Manažeři,Managers,Manager,Manager,Managere,Manažéri
242 Manicurists,,Manikéři,Manucures,Nagelpfleger,Manicure,Manikyrister,Manikéri
243 Mathematicians,,Matematici,Mathématiciens,Mathematiker,Matematici,Matematikere,Matematici
244 Mayors,,Starostové,Maires,Bürgermeister,Sindaci,Ordførere,Starostovia
245 Mechanics,,Mechanici,Mécaniciens,Mechaniker,Meccanici,Mekanikere,Mechanici
246 Medical doctors,,Doktoři,Docteurs,Doktoren,Medici,see “Physicians”,Doktori
