"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"33","Bankers",".6 38 (.19)","",".32 140","(.15)",".34 34 (.12)","",".46 37 (.15)","",".34 400","(.16)",".45 31 (.21)",".35 30 (.2)"
"34","Barbers",".68 36 (.21)","",".2 140","(.15)",".15 32 (.12)","",".52 37 (.23)","",".21 404","(.22)",".2 30 (.14)",".49 27 (.3)"
"35","Bartenders",".49 34 (.15)","",".47 139","(.15)",".39 31 (.16)","",".37 35 (.18)","",".53 389","(.16)",".42 32 (.14)",".44 29 (.19)"
"36","Baseball players",".25 39 (.16)","",".2 144","(.13)",".21 35 (.16)","",".19 35 (.14)","",".2 385","(.16)",".15 30 (.11)",".13 28 (.1)"
"37","Basketball players",".35 35 (.14)","",".23 141","(.14)",".27 35 (.12)","",".3 38 (.12)","",".27 398","(.14)",".19 29 (.11)",".33 30 (.17)"
"38","Bass players",".28 36 (.14)","",".35 140","(.16)",".29 33 (.13)","",".3 37 (.14)","",".28 406","(.16)",".26 29 (.13)",".21 30 (.12)"
"39","Beauticians",".87 35 (.16)","",".84 141","(.13)",".86 32 (.18)","",".85 34 (.11)","",".88 410","(.13)",".85 30 (.1)",".91 31 (.1)"
"40","Bikers","“Cyclists”","",".3 140","(.14)",".27 29 (.13)","",".3 33 (.12)","",".22 406","(.13)",".23 27 (.08)","“Cyclists”"
"41","Bingo players",".46 34 (.2)","",".7 141","(.15)",".54 33 (.19)","",".54 33 (.11)","",".52 395","(.19)",".69 28 (.16)",".41 31 (.21)"
"42","Biologists",".48 37 (.13)","",".46 143","(.16)",".48 28 (.15)","",".52 35 (.13)","",".55 399","(.15)",".46 29 (.16)",".55 30 (.17)"
"43","Birth attendants",".73 33 (.19)","",".75 141","(.16)",".82 31 (.12)","",".83 32 (.13)","",".85 395","(.15)",".8 31 (.13)",".87 28 (.13)"
"44","Blacksmiths",".07 36 (.08)","",".21 140","(.14)",".16 32 (.15)","",".24 36 (.15)","",".13 396","(.14)",".21 31 (.14)",".11 29 (.16)"
"45","Bookkeepers",".72 33 (.15)","",".48 142","(.17)","“Accountants”","",".48 34 (.2)","",".45 405","(.16)",".53 29 (.16)",".71 32 (.21)"
"46","Bosses",".32 37 (.15)","",".37 142","(.13)",".29 32 (.13)","",".35 31 (.13)","",".31 403","(.15)",".29 29 (.1)",".29 29 (.16)"
