Appendix C												
"Mean rating and standard deviation of each role name split by language and by sex of participant, Study 1"												
												
	English				French				German			
Heads	55.71	-16.18	64.58	-17.01	73.23	-14.69	74.14	-14.76	71.71	-11.38	72.86	-11.52
Historians	60	-28.87	56.67	-17.05	61.13	-17.5	61.03	-16.33	64.88	-15.19	62.57	-11.72
Homeless people	61.43	-17.73	63.14	-13.78	70	-15.71	64.14	-15.7	70.24	-12.94	65.59	-10.21
Hunters	78.57	-17.73	78.43	-11.2	89.03	-10.44	91.38	-8.33	87.32	-8.95	89.43	-7.65
Iceskaters	47.14	-24.3	42.2	-15.16	43.55	-15.39	46.9	-17.95	38.05	-13.64	35.14	-14.43
Inventors	68.57	-19.52	70.59	-13.03	68.06	-20.56	66.55	-19.32	70.83	-13.39	72.26	-13.09
Job seekers	60	-16.33	54	-13.85	53.06	-14.06	51.03	-13.19	52.68	-8.95	55.71	-9.48
Joggers	38.57	-15.74	48.04	-10.2	41.94	-17.4	44.83	-17.45	49.27	-8.48	49.43	-10.83
Judges	70	-12.91	71.37	-14.15	67.42	-14.37	67.59	-15.04	73.41	-12.77	72.29	-13.74
Jugglers	61.43	-9	66.47	-15.21	62.9	-14.42	64.48	-15.49	61.22	-13.82	64.86	-12.46
Lawyers	64.29	-16.18	65.29	-14.88	67.5	-13.82	67.93	-21.78	63.41	-11.54	64.57	-12.68
Librarians	60	-25.17	43.6	-19.25	40.32	-18.16	39.66	-20.61	37.07	-14.87	28	-11.83
Lorrydrivers	77.14	-20.59	81.96	-15.37	83.55	-15.82	85.86	-17.63	82.93	-9.55	86	-8.81
Magicians	77.14	-16.04	71.6	-12.35	76.94	-16.36	74.48	-15.02	70.98	-17.58	69.71	-14.24
Managers	68.57	-9	64.31	-13	71.45	-15.66	72.41	-14.55	75.37	-10.98	76	-12.88
Mathema-ticians	57.14	-18	68.63	-15.88	69.68	-20.57	77.14	-17.82	79.76	-10.37	80.57	-9.38
Mayors	74.29	-18.13	75.49	-12.05	73.71	-15.49	76.9	-15.61	77.07	-9.55	75.71	-12.9
Mechanics	81.43	-15.74	82.35	-11.59	82.1	-14.25	88.28	-10.38	80.98	-9.17	82.29	-10.6
Members of parliament	72.86	-13.8	74.31	-11	68.39	-10.03	71.72	-11.04	66.59	-10.4	70	-13.72
Models	42.86	-18	36.67	-16.69	34.19	-18.4	36.9	-20.89	32.2	-11.07	31.71	-16.89
Murderers	74.29	-11.34	72.35	-12.58	71.29	-14.32	77.59	-14.8	75.12	-12.47	72.29	-13.52
Musicians	54.29	-11.34	54.12	-13.59	60.48	-11.72	57.59	-15.04	50.98	-9.17	48.86	-8.67
Neighbours	51.43	-3.78	49.61	-6.92	48.55	-4.32	51.72	-9.66	50	-6.71	49.14	-2.84
Nurses	32.86	-18.9	29.41	-13.92	30	-17.89	30.34	-17.83	24.39	-9.76	23.14	-13.23
Office workers	42.86	-14.96	43.14	-11.92	50	-7.3	34.48	-17.03	47.07	-15.04	42.57	-17.21
Paedia-tricians	67.14	-18.9	54.9	-19.94	55.16	-19.81	56.21	-13.21	53.17	-16.19	57.14	-14.67
Painting artists	55.71	-16.18	50	-9.8	56.45	-16.64	55.17	-13.53	53.9	-12.82	55.43	-10.39
Pedestrians	51.43	-3.78	48.63	-10.2	52.26	-9.21	51.72	-16.05	46.1	-7.71	45.43	-9.19
Pharmacists	40	-18.26	53.16	-16.38	49.35	-15.9	51.72	-24.06	49.27	-18.89	46	-19.73
Physicians	68.57	-16.76	67.45	-15.21	64.84	-14.58	64.83	-12.99	60.24	-11.29	62.86	-13.63
Physicists	67.14	-11.13	69.6	-18.73	75.16	-12.35	83.1	-13.12	83.17	-8.5	81.71	-9.54
Physics students	65.86	-29.04	55.12	-32.92	61.29	-28.02	73.45	-26.63	81.22	-9.8	81.43	-12.87
Pilots	68.57	-15.74	70.2	-16.19	74.68	-16.28	73.45	-18.38	74.88	-13.25	77.43	-11.72
Poets	57.14	-16.04	51.96	-15.37	62.9	-16.57	62.76	-18.5	57.32	-13.61	55.14	-14.01
Police officers	62.86	-12.54	63.14	-12.25	70.67	-8.68	70	-16.48	67.8	-9.09	70.29	-10.98
Politicians	67.14	-13.8	71.18	-15.05	71.94	-11.67	72.07	-13.99	68.78	-10.77	70	-10.57
Postmen	70	-14.14	70.98	-12.53	72.1	-15.04	76.21	-13.99	64.15	-12.04	69.71	-10.98
Presidents	85.71	-16.18	86.86	-14.63	80	-14.61	78.79	-18.21	86.59	-10.15	86.57	-11.36
Prisoners	74.29	-12.72	69.61	-11.48	70.97	-13.75	64.48	-18.63	73.9	-10.93	74	-11.68
Professors	61.43	-13.45	65.4	-13.28	54.84	-11.8	61.72	-16.71	73.17	-11.28	73.71	-14.97
Proofreaders	65.71	-23.71	57.84	-18.58	56.77	-14.23	57.24	-17.71	49.75	-9.2	48.29	-14.65
Psychology students	34.29	-28.2	39.02	-28.23	30.97	-25.35	35.86	-32.46	26.1	-11.59	23.14	-8.32
Publishers	60	-15.28	51.18	-9.73	63.23	-14.92	63.45	-16.54	65.12	-10.98	63.43	-13.27
Reception-class children	52.86	-12.54	45.69	-18.68	49.84	-6.89	54.48	-12.98	49.27	-6.08	47.43	-7.01
Relatives	55.71	-15.12	50	-7	49	-4.03	49.66	-10.85	50.24	-6.12	47.14	-6.22
Sales assistants	37.14	-12.54	33.14	-14.76	36.13	-13.58	38.62	-17.87	34.39	-13.79	30.29	-13.61
School-children	57.14	-14.96	56.2	-16.15	53.06	-12.82	53.1	-13.66	47.56	-4.89	48.57	-6.01
Secretaries	31.43	-21.16	25.88	-19.51	20.97	-12.74	19.66	-19.18	18.05	-9.01	18.86	-11.32
Shoemakers	57.14	-14.96	57.45	-21.15	72.42	-19.45	79.31	-15.57	75.85	-11.18	78.29	-12.95
Singers	62.86	-21.38	51.18	-15.32	49.68	-9.12	45.17	-12.14	43.9	-8.33	46.86	-6.76
Skiers	60	-11.55	54.71	-9.02	55.32	-8.26	55.52	-10.21	51.95	-6.41	54.86	-8.53
Social workers	31.43	-17.73	29.22	-16.11	33.23	-15.09	33.45	-18.76	38.29	-13.21	43.71	-14.16
Solarium users	44.29	-23.71	44.2	-25.4	47.33	-24.63	43.79	-26.91	36.1	-14.81	31.14	-13.88
Spectators	58.57	-10.69	54.71	-10.46	51.13	-4.42	50.69	-5.94	52.68	-7.75	48.29	-7.47
Spies	70	-22.36	73.33	-15.06	74.19	-18.03	73.1	-16.06	66.83	-14.39	67.71	-15.73
Statisticians	64.29	-9.76	70.39	-12.96	68.39	-15.51	79.29	-13.03	70.98	-10.91	72.86	-13.41
Surgeons	51.43	-27.95	63.4	-23.09	74.52	-14.8	74.83	-12.71	76.34	-11.13	73.14	-12.31
Swimmers	54.29	-7.87	49.02	-9.44	50.81	-6.07	48.62	-12.74	47.8	-10.13	52.86	-7.89
Technicians	72.86	-13.8	71.57	-12.86	73.23	-15.79	76.9	-12.85	75.12	-9.52	80.29	-10.43
Tennis players	51.43	-9	53.33	-9.09	53.06	-9.55	54.14	-7.33	50.98	-8	52.29	-6.46
Trade unionists	71.43	-17.73	59.22	-15.34	62.1	-14.13	63.79	-15.91	63.17	-10.83	63.14	-14.3
Trainees	50	0	50	-6.06	47.74	-8.45	45.86	-10.18	46.59	-6.17	46.57	-7.25
Violonists	44.29	-7.87	41.96	-14.43	52.26	-10.87	46.55	-19.87	40.98	-14.63	42.29	-13.74
Waiters	38.57	-14.64	38.43	-16.66	35.81	-14.55	31.38	-19.95	40.73	-13.11	40	-15.34
Wine connoisseurs	57.14	-9.51	57.84	-12.54	70	-13.42	70	-14.39	64.63	-12.86	61.14	-9.93
Workers	61.43	-12.15	52.57	-8.11	73.06	-18.65	66.55	-20.92	60.49	-12.84	59.71	-14.65
Writers	44.29	-16.18	46.67	-8.87	56.77	-13.51	55.17	-12.14	54.63	-10.51	52.57	-7.41
