Appendix B						
"Mean rating and standard deviation of each role name split by language, Study 1"						
						
	English		French		German	
Composers	62.93	-18.35	67.83	-16.98	67.5	-13.18
Computer specialists	70.17	-19.06	66.67	-22.07	78.55	-11.4
Concert goers	47.24	-8.54	50.58	-9.92	47.11	-7.27
Cooks	46.21	-19.09	49.24	-25.76	58.55	-13.83
Craftsmen	60.36	-18.49	60.33	-15.29	75.79	-11.23
Curators	56.38	-18.61	60	-16.05	60.26	-12.11
Customs officers	62.98	-13.62	79.08	-13.82	76.18	-11.54
Cyclists	55.52	-10.46	71.36	-15.59	52.11	-10.37
Dancers	32.41	-12.04	29	-14.34	32.5	-12.45
Deans	68.28	-14.88	70.17	-19.24	75.87	-16.69
Dentists	65.17	-12.74	69.83	-13.96	66.05	-12.34
Dieticians	39.31	-20.25	36.75	-22.09	26.58	-14.84
Doctors	58.62	-17.91	57.08	-20.43	64.08	-12.13
Dressmakers	42.6	-32.89	39.83	-31.76	22.89	-12.84
Drivers	62.41	-15.14	60.83	-15.65	55.26	-7.57
Electricians	76.38	-15.18	79.33	-13.51	80.92	-10.61
Engineers	78.45	-11.67	73.67	-13.53	78.16	-10.67
Factory managers	65.02	-23.15	76.33	-24.9	81.97	-10.71
Farmers	77.37	-12.03	68.17	-14.08	62.76	-14.84
Fishers	79.48	-11.74	80.08	-11.76	78.55	-13.29
Flight attendants	27.59	-14.55	26.17	-16.58	25	-14.19
Football coaches	79.82	-16.53	85.83	-18.53	87.79	-10.4
Fortune tellers	32.09	-27.75	28.33	-27.26	24.08	-16.43
Gardeners	55.86	-17.07	62.58	-14.22	62.24	-13.33
Golfers	73.28	-13.81	72.58	-15.74	67.76	-13.92
Governors	67.88	-15.24	80.09	-13.13	79.87	-12.57
Gynaecologists	52.95	-21.89	58.33	-17.96	52.89	-17.27
Hairdressers	48.45	-20.84	38.17	-25.41	21.18	-11.07
Heads	63.45	-17.02	73.67	-14.61	72.24	-11.38
Historians	57.07	-18.54	61.08	-16.8	63.82	-13.66
Homeless people	62.93	-14.14	67.17	-15.85	68.13	-11.93
Hunters	78.45	-11.97	90.17	-9.48	88.29	-8.39
Ice skaters	42.81	-16.34	45.17	-16.62	36.71	-13.99
Inventors	70.34	-13.76	67.33	-19.82	71.49	-13.17
Job seekers	54.7	-14.16	52.08	-13.57	54.08	-9.26
Joggers	46.9	-11.27	43.33	-17.34	49.34	-9.57
Judges	71.21	-13.9	67.5	-14.57	72.89	-13.15
Jugglers	65.86	-14.63	63.67	-14.84	62.89	-13.25
Lawyers	65.17	-14.9	67.71	-18.01	63.95	-12.01
Librarians	45.61	-20.53	40	-19.22	32.89	-14.22
Lorry drivers	81.38	-15.94	84.67	-16.62	84.34	-9.29
Magicians	72.28	-12.82	75.75	-15.65	70.39	-16.04
Managers	64.83	-12.6	71.92	-15.02	75.66	-11.81
Mathematicians	67.24	-16.41	73.22	-19.51	80.13	-9.86
Mayors	75.34	-12.73	75.25	-15.5	76.45	-11.16
Mechanics	82.24	-12	85.08	-12.81	81.58	-9.81
Members of parliament	74.14	-11.24	70	-10.58	68.16	-12.08
Models	37.41	-16.81	35.5	-19.52	31.97	-13.95
Murderers	72.59	-12.36	74.33	-14.77	73.82	(12.96
Musicians	54.14	-13.25	59.08	-13.39	50	-8.94
Neighbours	49.83	-6.62	50.08	-7.51	49.61	-5.28
Nurses	29.83	-14.45	30.17	-17.71	23.82	-11.43
Office workers	43.1	-12.17	42.5	-15.03	45	-16.12
Paediatricians	56.38	-20.06	55.67	-16.81	55	-15.53
Painting artists	50.69	-10.74	55.83	-15.1	54.61	-11.71
Pedestrians	48.97	-9.68	52	-12.86	45.79	-8.37
Pharmacists	51.57	-17	50.5	-20.12	47.76	-19.22
Physicians	67.59	-15.25	64.83	-13.72	61.45	-12.4
Physicists	69.3	-17.91	79	-13.24	82.5	-8.96
Physics students	56.41	-32.43	67.17	-27.81	81.32	-11.24
Pilots	70	-16	74.08	-17.19	76.05	-12.55
Poets	52.59	-15.4	62.83	-17.38	56.32	-13.74
Police officers	63.1	-12.17	70.34	-12.99	68.95	-10.01
Politicians	70.69	-14.85	72	-12.73	69.34	-10.63
Postmen	70.86	-12.61	74.08	-14.57	66.71	-11.82
Presidents	86.72	-14.68	79.42	-16.32	86.58	-10.65
Prisoners	70.17	-11.62	67.83	-16.48	73.95	-11.2
Professors	64.91	-13.25	58.17	-14.67	73.42	-13.02
Proofreaders	58.79	-19.2	57	-15.87	49.7	-11.99
Psychology students	38.45	-28.02	33.33	-28.86	24.74	-10.26
Publishers	52.24	-10.77	63.33	-15.59	64.34	-12.04
Reception-classchildren	46.55	-18.12	52.08	-10.47	48.42	-6.54
Relatives	50.7	-8.42	49.32	-8.07	48.82	-6.32
Sales assistants	33.62	-14.47	37.33	-15.72	32.5	(13.77
Schoolchildren	56.32	-15.88	53.08	-13.12	48.03	-5.42
Secretaries	26.55	-19.61	20.33	-16.05	18.42	-10.07
Shoemakers	57.41	-20.4	75.75	-17.87	76.97	-12
Singers	52.59	-16.39	47.5	-10.83	45.26	-7.74
Skiers	55.34	-9.41	55.42	-9.17	53.29	-7.55
Social workers	29.48	-16.16	33.33	-16.82	40.79	-13.83
Solarium users	44.21	-25	45.59	-25.61	33.82	-14.51
Spectators	55.17	-10.47	50.92	-5.17	40.66	-7.89
Spies	72.93	-15.9	73.67	-16.97	67.24	-14.93
Statisticians	69.66	-12.7	73.56	-15.29	71.84	-12.08
Surgeons	61.93	-23.79	74.67	-13.71	74.87	-11.72
Swimmers	49.66	-9.36	49.75	-9.85	50.13	-9.45
Technicians	71.72	-12.86	75	-14.44	77.5	-14.44
Tennis players	53.1	-9.02	53.58	-8.49	51.58	-7.31
Trade unionists	60.69	-15.99	62.92	-14.91	63.16	-12.46
Trainees	50	-5.67	46.83	-9.3	46.58	-6.64
Violonists	42.24	-13.77	49.5	-15.99	41.58	-14.15
Waiters	38.45	-16.31	33.67	-17.37	40.39	-14.09
Wine connoisseurs	57.76	-12.15	70	-13.78	63.03	-11.66
Workers	53.64	-9.04	69.92	-19.88	60.13	-13.61
Writers	46.38	-9.86	56	-12.38	53.68	-9.21
