domain,cat_id,cat_label,stim_id,stim_name
Protein - Carbohydrates,X,Protein,S5,fish
Protein - Carbohydrates,X,Protein,S6,meat
Protestants - Catholics,Y,Catholics,S1,rome
Protestants - Catholics,Y,Catholics,S2,vatican
Protestants - Catholics,Y,Catholics,S3,pope
Protestants - Catholics,Y,Catholics,S4,jesuit
Protestants - Catholics,Y,Catholics,S5,dominican
Protestants - Catholics,Y,Catholics,S6,saints
Protestants - Catholics,X,Protestants,S1,anglican
Protestants - Catholics,X,Protestants,S2,pastor
Protestants - Catholics,X,Protestants,S3,episcopalian
Protestants - Catholics,X,Protestants,S4,methodist
Protestants - Catholics,X,Protestants,S5,baptist
Protestants - Catholics,X,Protestants,S6,lutheran
Punishment - Forgiveness,Y,Forgiveness,S1,pardon
Punishment - Forgiveness,Y,Forgiveness,S2,reprieve
Punishment - Forgiveness,Y,Forgiveness,S3,amnesty
Punishment - Forgiveness,Y,Forgiveness,S4,lenience
Punishment - Forgiveness,Y,Forgiveness,S5,mercy
Punishment - Forgiveness,X,Punishment,S1,penalty
Punishment - Forgiveness,X,Punishment,S2,retribution
Punishment - Forgiveness,X,Punishment,S3,discipline
Punishment - Forgiveness,X,Punishment,S4,punitive
Punishment - Forgiveness,X,Punishment,S5,sanction
Realism - Idealism,Y,Idealism,S1,optimism
Realism - Idealism,Y,Idealism,S2,hope
Realism - Idealism,Y,Idealism,S3,utopian
Realism - Idealism,Y,Idealism,S4,visionary
Realism - Idealism,X,Realism,S1,practical
Realism - Idealism,X,Realism,S2,concrete
Realism - Idealism,X,Realism,S3,pragmatism
Realism - Idealism,X,Realism,S4,reason
Reason - Emotions,Y,Emotions,S1,feeling
Reason - Emotions,Y,Emotions,S2,impulsive
Reason - Emotions,Y,Emotions,S3,spontaneous
Reason - Emotions,Y,Emotions,S4,passionate
Reason - Emotions,Y,Emotions,S5,volatile
Reason - Emotions,Y,Emotions,S6,sensitive
Reason - Emotions,Y,Emotions,S7,impassioned
Reason - Emotions,X,Reason,S1,sensible
Reason - Emotions,X,Reason,S2,prudent
Reason - Emotions,X,Reason,S3,logical
Reason - Emotions,X,Reason,S4,reasoning
Reason - Emotions,X,Reason,S5,prudent
Reason - Emotions,X,Reason,S6,practical
