model,run,domain,effect_size
bnc,R3,Friends - Family,-1.2212804486438174
bnc,R3,Helpers - Leaders,-0.27252181888734756
bnc,R3,Innocence - Wisdom,-1.0974646254035936
bnc,R3,Jocks - Nerds,-0.6509977617282212
bnc,R3,Lawyers - Politicians,0.7690122521477416
bnc,R3,Money - Love,-0.2914200589535588
bnc,R3,National Defense - Education,-0.31029130753806045
bnc,R3,Organized Labor - Management,-0.33152661545053774
bnc,R3,Poor People - Rich People,1.039115109695545
bnc,R3,Private - Public,1.4251157874441578
bnc,R3,Protein - Carbohydrates,-0.24131078617710813
bnc,R3,Punishment - Forgiveness,1.041442502185085
bnc,R3,Rebellious - Conforming,-0.8944045239538312
bnc,R3,Rich People - Beautiful People,1.4659029730341435
bnc,R3,Security - Freedom,0.03641057997545207
bnc,R3,Skeptical - Trusting,0.6616489122126885
bnc,R3,Speed - Accuracy,0.3629800197015258
bnc,R3,Stable - Flexible,0.22565651858552488
bnc,R3,State - Church,0.1831616231999258
bnc,R3,Tall People - Short People,-0.63451865800127
bnc,R3,Team - Individual,-1.560904309029714
bnc,R3,Technology - Nature,0.5621052998459365
bnc,R3,Tradition - Progress,0.5769583583179025
bnc,R3,Urban - Rural,0.6519625674972075
bnc,R3,Winter - Summer,0.3747377607431857
bnc,R4,Athletic People - Intelligent People,-0.6041424690454774
bnc,R4,Avoiding - Approaching,-0.8498013287177882
bnc,R4,Career - Family,-1.0415118866517301
bnc,R4,Chaos - Order,0.6749168079935487
bnc,R4,Cold - Hot,-0.021076098626715993
bnc,R4,Determinism - Free Will,-0.20118222082234866
bnc,R4,Friends - Family,-1.1382690784958676
bnc,R4,Helpers - Leaders,0.13516698505756605
bnc,R4,Innocence - Wisdom,-1.0783882963107496
bnc,R4,Jocks - Nerds,-0.35685953898582745
bnc,R4,Lawyers - Politicians,-0.3956218063173435
bnc,R4,Money - Love,-1.109246959618638
bnc,R4,National Defense - Education,-0.27740573656813117
bnc,R4,Organized Labor - Management,-0.36169207729852243
bnc,R4,Poor People - Rich People,-0.2049221769479093
bnc,R4,Private - Public,1.5961957754677747
bnc,R4,Protein - Carbohydrates,-1.4068777234922059
bnc,R4,Punishment - Forgiveness,0.120275844662104
bnc,R4,Rebellious - Conforming,-0.8293359045708153
bnc,R4,Rich People - Beautiful People,1.1271559967215399
bnc,R4,Security - Freedom,0.5284272248045285
bnc,R4,Skeptical - Trusting,-0.08823876255823489
bnc,R4,Speed - Accuracy,0.5091645581222721
bnc,R4,Stable - Flexible,0.5114746372642474
bnc,R4,State - Church,-0.5077093694337773
bnc,R4,Tall People - Short People,-0.9019399057994526
bnc,R4,Team - Individual,-1.466378582004925
bnc,R4,Technology - Nature,0.03841921712964766
bnc,R4,Tradition - Progress,-0.061738053732855964
bnc,R4,Urban - Rural,-0.5080822503864236
bnc,R4,Winter - Summer,0.693824387145551
bnc,R5,Athletic People - Intelligent People,-0.7707710951857849
bnc,R5,Avoiding - Approaching,-0.8070633706844833
bnc,R5,Career - Family,-1.0657244561596226
bnc,R5,Chaos - Order,0.6183354613736476
bnc,R5,Cold - Hot,-0.5898311737428098
bnc,R5,Determinism - Free Will,-0.19801853682443005
bnc,R5,Friends - Family,-0.723129659915728
bnc,R5,Helpers - Leaders,0.44629102387246783
bnc,R5,Innocence - Wisdom,-0.9300014739433184
bnc,R5,Jocks - Nerds,0.20281368188278948
bnc,R5,Lawyers - Politicians,-0.20195550351770197
bnc,R5,Money - Love,-0.20284590029521765
bnc,R5,National Defense - Education,-0.709760574864905
bnc,R5,Organized Labor - Management,-0.42616717595795806
bnc,R5,Poor People - Rich People,-0.47781590601692603
bnc,R5,Private - Public,1.3673515938885386
bnc,R5,Protein - Carbohydrates,-1.4079221875060974
bnc,R5,Punishment - Forgiveness,-0.8876704534297802
bnc,R5,Rebellious - Conforming,-0.812623942506084
bnc,R5,Rich People - Beautiful People,-0.26806041803187663
bnc,R5,Security - Freedom,-0.7162905048607856
bnc,R5,Skeptical - Trusting,0.7406923852582542
bnc,R5,Speed - Accuracy,0.6591096746773715
bnc,R5,Stable - Flexible,0.594900124100991
bnc,R5,State - Church,-1.4206892321985944
bnc,R5,Tall People - Short People,-0.716653301862751
bnc,R5,Team - Individual,-1.0948855827469437
bnc,R5,Technology - Nature,0.05209597245477154
bnc,R5,Tradition - Progress,0.0474938870685371
bnc,R5,Urban - Rural,-0.8633901623811595
bnc,R5,Winter - Summer,0.7451318584938861
coca,R1,Athletic People - Intelligent People,0.4326277251267832
coca,R1,Avoiding - Approaching,0.8591731868903634
coca,R1,Career - Family,0.07219490742774483
coca,R1,Chaos - Order,-0.8706280394413556
coca,R1,Cold - Hot,0.12631306418898622
coca,R1,Determinism - Free Will,-1.1167990703182953
coca,R1,Friends - Family,-0.7618480848925705
coca,R1,Helpers - Leaders,-0.40849433348660213
coca,R1,Innocence - Wisdom,-1.532415028689603
coca,R1,Jocks - Nerds,-0.12037385592036833
coca,R1,Lawyers - Politicians,-0.1472283349385697
coca,R1,Money - Love,0.9828343499722579
coca,R1,National Defense - Education,0.16147714669494742
coca,R1,Organized Labor - Management,0.04014718473234693
coca,R1,Poor People - Rich People,1.4439967600437622
coca,R1,Private - Public,0.27742967565497667
coca,R1,Protein - Carbohydrates,0.5771236118897188
coca,R1,Punishment - Forgiveness,-0.5446938103320034
coca,R1,Rebellious - Conforming,-0.13532098178199528
coca,R1,Rich People - Beautiful People,-1.4785778855664649
coca,R1,Security - Freedom,-0.5193100381189577
coca,R1,Skeptical - Trusting,-1.0830532979832193
coca,R1,Speed - Accuracy,-0.32642350954925453
coca,R1,Stable - Flexible,-0.478694581532015
coca,R1,State - Church,0.8804273879794114
coca,R1,Tall People - Short People,0.5248418333212065
coca,R1,Team - Individual,-1.3638808736872603
coca,R1,Technology - Nature,1.0958846725235079
coca,R1,Tradition - Progress,0.26085305874794
coca,R1,Urban - Rural,0.7178419581584905
coca,R1,Winter - Summer,-0.042335271596658085
coca,R2,Athletic People - Intelligent People,-0.26021622397180433
coca,R2,Avoiding - Approaching,0.6695966201168083
coca,R2,Career - Family,-0.11226380919160624
coca,R2,Chaos - Order,-0.33978782487356385
coca,R2,Cold - Hot,0.11036572537751925
coca,R2,Determinism - Free Will,-1.1613700447312498
coca,R2,Friends - Family,-0.10874440398434262
coca,R2,Helpers - Leaders,0.09711176141711833
coca,R2,Innocence - Wisdom,0.12296683078341931
coca,R2,Jocks - Nerds,-0.6210213117223972
coca,R2,Lawyers - Politicians,0.03229282742173584
coca,R2,Money - Love,-0.1414642978717764
coca,R2,National Defense - Education,-0.6939589813781665
coca,R2,Organized Labor - Management,0.31879027827989764
coca,R2,Poor People - Rich People,0.2934330132894598
coca,R2,Private - Public,-0.18985406849687456
coca,R2,Protein - Carbohydrates,-0.3526571682782946
coca,R2,Punishment - Forgiveness,1.215865633596587
coca,R2,Rebellious - Conforming,-0.8496638206201899
coca,R2,Rich People - Beautiful People,0.41186908673671546
coca,R2,Security - Freedom,0.8396879995539431
coca,R2,Skeptical - Trusting,1.1095973883355563
coca,R2,Speed - Accuracy,0.3057226249996753
coca,R2,Stable - Flexible,-0.22350542203900656
coca,R2,State - Church,-0.6316179557748828
coca,R2,Tall People - Short People,1.6049991498012433
coca,R2,Team - Individual,1.214850167189405
coca,R2,Technology - Nature,1.2603470367318845
coca,R2,Tradition - Progress,0.9118111114390436
coca,R2,Urban - Rural,0.3471222029684256
coca,R2,Winter - Summer,0.00782615169524052
coca,R3,Athletic People - Intelligent People,0.6309176828067374
coca,R3,Avoiding - Approaching,0.9308276639229802
coca,R3,Career - Family,0.6994831456864339
coca,R3,Chaos - Order,-0.7004166357308961
coca,R3,Cold - Hot,-0.6327026452298735
coca,R3,Determinism - Free Will,-1.268628390692051
coca,R3,Friends - Family,-0.405998127566175
coca,R3,Helpers - Leaders,-0.01947711448967366
coca,R3,Innocence - Wisdom,-0.568322379953905
coca,R3,Jocks - Nerds,-0.6987628589652991
coca,R3,Lawyers - Politicians,-0.4623470805774744
coca,R3,Money - Love,-0.08015546123920646
coca,R3,National Defense - Education,-0.8814758012093584
coca,R3,Organized Labor - Management,-0.1641604747059913
coca,R3,Poor People - Rich People,0.034003375625795695
coca,R3,Private - Public,-0.32148611927696497
coca,R3,Protein - Carbohydrates,1.4978599596505733
coca,R3,Punishment - Forgiveness,0.5009452460113294
coca,R3,Rebellious - Conforming,-0.46830148010148126
coca,R3,Rich People - Beautiful People,-0.474491210010906
coca,R3,Security - Freedom,-0.18283368455001295
coca,R3,Skeptical - Trusting,-0.15338477108754905
coca,R3,Speed - Accuracy,1.0763516868350833
coca,R3,Stable - Flexible,-0.2516504883594166
coca,R3,State - Church,0.6765931737721258
coca,R3,Tall People - Short People,-1.2499654219132734
coca,R3,Team - Individual,-1.6255436607207792
coca,R3,Technology - Nature,1.5363658267752662
coca,R3,Tradition - Progress,-0.13043908466261736
coca,R3,Urban - Rural,0.23894839569099746
coca,R3,Winter - Summer,-0.7677928906381193
coca,R4,Athletic People - Intelligent People,0.035818644360568926
coca,R4,Avoiding - Approaching,-0.41992624388473954
coca,R4,Career - Family,-1.1457263946021123
coca,R4,Chaos - Order,0.151201161737518
coca,R4,Cold - Hot,0.22082197311551857
coca,R4,Determinism - Free Will,-1.0037430801076432
coca,R4,Friends - Family,-0.39680541722467305
coca,R4,Helpers - Leaders,0.46878952915094196
coca,R4,Innocence - Wisdom,0.4980543992739895
coca,R4,Jocks - Nerds,0.5863363856542073
coca,R4,Lawyers - Politicians,-0.07893143262101845
coca,R4,Money - Love,0.49569017056249803
coca,R4,National Defense - Education,-1.3122864442139266
coca,R4,Organized Labor - Management,0.45883093095109195
coca,R4,Poor People - Rich People,-0.5395935380683162
coca,R4,Private - Public,0.7689441917357044
coca,R4,Protein - Carbohydrates,-0.5625533709695291
coca,R4,Punishment - Forgiveness,0.9013439176894873
coca,R4,Rebellious - Conforming,0.1079736506054153
coca,R4,Rich People - Beautiful People,-1.0505415007815344
coca,R4,Security - Freedom,0.2551869812517775
coca,R4,Skeptical - Trusting,1.1372107490087335
coca,R4,Speed - Accuracy,-0.46994396676477024
coca,R4,Stable - Flexible,0.2597537501925274
coca,R4,State - Church,-1.029779852982353
coca,R4,Tall People - Short People,-0.8322934655767903
coca,R4,Team - Individual,1.1448351928585387
coca,R4,Technology - Nature,1.7178361507139148
coca,R4,Tradition - Progress,-1.1173652513914312
coca,R4,Urban - Rural,0.8161778307219156
coca,R4,Winter - Summer,-0.23551896669304512
coca,R5,Athletic People - Intelligent People,0.32536979584564446
coca,R5,Avoiding - Approaching,0.8003909747584784
coca,R5,Career - Family,-0.5178700468656151
coca,R5,Chaos - Order,0.6999257199469007
coca,R5,Cold - Hot,0.21318675210291677
coca,R5,Determinism - Free Will,1.111306802639837
coca,R5,Friends - Family,-0.4425941495910476
coca,R5,Helpers - Leaders,0.09394270559593339
coca,R5,Innocence - Wisdom,0.02902472259464488
coca,R5,Jocks - Nerds,-0.5129986948823637
coca,R5,Lawyers - Politicians,-0.1228934191348244
coca,R5,Money - Love,0.24579233586593108
coca,R5,National Defense - Education,0.05875317651662538
coca,R5,Organized Labor - Management,0.13017969381013272
coca,R5,Poor People - Rich People,-0.02430829844393705
coca,R5,Private - Public,0.6587771485419723
coca,R5,Protein - Carbohydrates,-0.3838254516135537
coca,R5,Punishment - Forgiveness,0.04132084789021778
coca,R5,Rebellious - Conforming,-0.6838811979121974
coca,R5,Rich People - Beautiful People,0.3172500248163632
coca,R5,Security - Freedom,0.8572410345171354
coca,R5,Skeptical - Trusting,0.763695022118485
coca,R5,Speed - Accuracy,0.5506531833971234
coca,R5,Stable - Flexible,-0.06296186171017443
coca,R5,State - Church,0.17886582987081062
coca,R5,Tall People - Short People,1.3603430621702608
coca,R5,Team - Individual,1.0073291166742917
coca,R5,Technology - Nature,0.6701367105680558
coca,R5,Tradition - Progress,0.6112697644896969
coca,R5,Urban - Rural,0.5695816807400251
coca,R5,Winter - Summer,0.6628795097791479
