cat_id,stim_name,domain,stim_id
X,workers,Organized Labor - Management,S2
X,employees,Organized Labor - Management,S3
X,staff,Organized Labor - Management,S4
X,poor,Poor People - Rich People,S1
X,impoverished,Poor People - Rich People,S2
X,broke,Poor People - Rich People,S3
X,bankrupt,Poor People - Rich People,S4
Y,wealthy,Poor People - Rich People,S1
Y,affluent,Poor People - Rich People,S2
Y,prosperous,Poor People - Rich People,S3
X,personal,Private - Public,S1
X,confidential,Private - Public,S2
X,secret,Private - Public,S3
X,secluded,Private - Public,S4
Y,communal,Private - Public,S1
Y,accessible,Private - Public,S2
Y,open,Private - Public,S3
Y,pasta,Protein - Carbohydrates,S1
Y,bread,Protein - Carbohydrates,S2
Y,starch,Protein - Carbohydrates,S3
Y,cereal,Protein - Carbohydrates,S4
Y,grains,Protein - Carbohydrates,S5
Y,rice,Protein - Carbohydrates,S6
X,beef,Protein - Carbohydrates,S1
X,chicken,Protein - Carbohydrates,S2
X,eggs,Protein - Carbohydrates,S3
X,fish,Protein - Carbohydrates,S5
X,meat,Protein - Carbohydrates,S6
Y,pardon,Punishment - Forgiveness,S1
Y,reprieve,Punishment - Forgiveness,S2
Y,amnesty,Punishment - Forgiveness,S3
Y,mercy,Punishment - Forgiveness,S5
X,penalty,Punishment - Forgiveness,S1
X,retribution,Punishment - Forgiveness,S2
X,discipline,Punishment - Forgiveness,S3
X,punitive,Punishment - Forgiveness,S4
X,sanction,Punishment - Forgiveness,S5
Y,follow,Rebellious - Conforming,S1
Y,obey,Rebellious - Conforming,S2
Y,yield,Rebellious - Conforming,S3
Y,comply,Rebellious - Conforming,S4
Y,abide,Rebellious - Conforming,S5
X,question,Rebellious - Conforming,S1
X,challenge,Rebellious - Conforming,S2
X,defy,Rebellious - Conforming,S3
X,resist,Rebellious - Conforming,S5
Y,handsome,Rich People - Beautiful People,S1
Y,gorgeous,Rich People - Beautiful People,S2
Y,stunning,Rich People - Beautiful People,S3
Y,attractive,Rich People - Beautiful People,S4
X,wealthy,Rich People - Beautiful People,S1
X,prosperous,Rich People - Beautiful People,S3
X,affluent,Rich People - Beautiful People,S4
Y,free,Security - Freedom,S1
Y,liberty,Security - Freedom,S3
Y,independent,Security - Freedom,S4
X,safe,Security - Freedom,S1
X,secure,Security - Freedom,S2
X,controlled,Security - Freedom,S3
X,protected,Security - Freedom,S4
X,questioning,Skeptical - Trusting,S1
X,hesitant,Skeptical - Trusting,S2
X,wary,Skeptical - Trusting,S3
X,doubtful,Skeptical - Trusting,S4
Y,convinced,Skeptical - Trusting,S1
Y,confident,Skeptical - Trusting,S2
Y,accepting,Skeptical - Trusting,S3
