occupation,wiki_lang_code,gender,human_mean_rating
fishers,fr,m,80.91
flight attendants,fr,m,53.94
football coaches,fr,m,92.12
fortune tellers,fr,m,23.75
gardeners,fr,m,64.85
golfers,fr,m,73.23
governors,fr,m,86.56
gynaeco-logists,fr,m,54.55
hairdressers,fr,m,26.06
heads,fr,m,73.33
historians,fr,m,64.19
homeless people,fr,m,67.58
hunters,fr,m,86.67
iceskaters,fr,m,40.94
inventors,fr,m,69.69
job seekers,fr,m,52.73
joggers,fr,m,55.63
judges,fr,m,64.38
jugglers,fr,m,63.94
lawyers,fr,m,66.97
librarians,fr,m,27.88
lorrydrivers,fr,m,90
magicians,fr,m,75.76
managers,fr,m,74.24
mathema-ticians,fr,m,79.7
mayors,fr,m,78.44
mechanics,fr,m,87.58
members of parliament,fr,m,67.27
models,fr,m,29.09
murderers,fr,m,78.79
musicians,fr,m,53.94
neighbours,fr,m,50
nurses,fr,m,30.3
office workers,fr,m,46.06
paedia-tricians,fr,m,64.06
painting artists,fr,m,53.94
pedestrians,fr,m,49.69
pharmacists,fr,m,50.63
physicians,fr,m,63.75
physicists,fr,m,79.69
physics students,fr,m,76.97
pilots,fr,m,85.15
poets,fr,m,64.38
police officers,fr,m,75.45
politicians,fr,m,74.85
postmen,fr,m,67.5
presidents,fr,m,84.55
prisoners,fr,m,75.15
professors,fr,m,57.27
proofreaders,fr,m,53.03
psychology students,fr,m,26.97
publishers,fr,m,62.73
reception-class children,fr,m,48.18
relatives,fr,m,43.33
sales assistants,fr,m,39.38
school-children,fr,m,47.88
secretaries,fr,m,14.06
shoemakers,fr,m,79.03
singers,fr,m,48.79
skiers,fr,m,52.81
social workers,fr,m,35.15
solarium users,fr,m,31.61
spectators,fr,m,50.63
spies,fr,m,74.55
statisticians,fr,m,70
surgeons,fr,m,76.97
swimmers,fr,m,52.73
technicians,fr,m,75
tennis players,fr,m,55.45
trade unionists,fr,m,58.75
trainees,fr,m,48.18
violonists,fr,m,44.06
waiters,fr,m,36.06
wine connoisseurs,fr,m,69.39
workers,fr,m,79.7
writers,fr,m,59.38
actors,fr,f,49.71
adolescents,fr,f,46.67
apprentices,fr,f,57.06
archivists,fr,f,52.73
artists,fr,f,51.18
assistant chefs,fr,f,52.12
astrologers,fr,f,41.47
athletes,fr,f,52.65
aupairs,fr,f,29.71
authors,fr,f,55.88
auxiliary workers,fr,f,41.18
bakers,fr,f,67.35
bank clerks,fr,f,55.88
bankers,fr,f,70
bartenders,fr,f,61.76
beauticians,fr,f,12.65
birth attendants,fr,f,16.18
bosses,fr,f,73.53
boxers,fr,f,85.29
bricklayers,fr,f,91.76
butchers,fr,f,83.53
campers,fr,f,54.12
caretakers,fr,f,78.82
carpenters,fr,f,88.24
cashiers,fr,f,26.47
chemists,fr,f,62.73
chocolate lovers,fr,f,38.24
cinema goers,fr,f,48.18
cleaners,fr,f,22.65
climbers,fr,f,62.35
comedians,fr,f,50
composers,fr,f,66.76
computer specialists,fr,f,77.88
concert goers,fr,f,52.73
cooks,fr,f,65
craftsmen,fr,f,65.15
curators,fr,f,63.53
customs officers,fr,f,82.35
cyclists,fr,f,69.71
dancers,fr,f,32.06
deans,fr,f,68.24
dentists,fr,f,69.12
dieticians,fr,f,29.12
doctors,fr,f,59.41
dressmakers,fr,f,35.59
drivers,fr,f,55.88
electricians,fr,f,85
engineers,fr,f,72.94
factory managers,fr,f,84.71
farmers,fr,f,68.24
fishers,fr,f,84.12
flight attendants,fr,f,45.59
football coaches,fr,f,89.41
fortune tellers,fr,f,26.47
gardeners,fr,f,66.97
golfers,fr,f,70.61
governors,fr,f,81.18
gynaeco-logists,fr,f,51.47
hairdressers,fr,f,28.24
heads,fr,f,67.65
historians,fr,f,61.47
homeless people,fr,f,60.88
hunters,fr,f,89.41
iceskaters,fr,f,41.47
inventors,fr,f,69.12
job seekers,fr,f,55.29
joggers,fr,f,49.41
judges,fr,f,68.53
jugglers,fr,f,62.06
lawyers,fr,f,61.18
librarians,fr,f,31.21
lorrydrivers,fr,f,87.35
magicians,fr,f,74.55
managers,fr,f,71.76
mathema-ticians,fr,f,77.06
mayors,fr,f,74.41
mechanics,fr,f,86.76
members of parliament,fr,f,72.65
models,fr,f,30.88
murderers,fr,f,74.24
musicians,fr,f,53.24
neighbours,fr,f,48.53
nurses,fr,f,26.47
office workers,fr,f,40.29
paedia-tricians,fr,f,50.91
painting artists,fr,f,54.12
pedestrians,fr,f,49.71
pharmacists,fr,f,48.53
physicians,fr,f,61.21
physicists,fr,f,80
physics students,fr,f,78.82
pilots,fr,f,81.47
poets,fr,f,64.12
police officers,fr,f,73.53
politicians,fr,f,73.24
postmen,fr,f,72.65
presidents,fr,f,83.82
prisoners,fr,f,73.53
professors,fr,f,57.65
proofreaders,fr,f,52.12
psychology students,fr,f,26.97
publishers,fr,f,62.94
reception-class children,fr,f,48.53
relatives,fr,f,48.82
sales assistants,fr,f,39.12
school-children,fr,f,45.59
secretaries,fr,f,19.12
shoemakers,fr,f,82.06
singers,fr,f,44.55
skiers,fr,f,52.35
social workers,fr,f,31.76
solarium users,fr,f,47.65
spectators,fr,f,46.18
spies,fr,f,69.71
statisticians,fr,f,69.41
surgeons,fr,f,72.42
swimmers,fr,f,54.85
technicians,fr,f,76.06
tennis players,fr,f,54.41
trade unionists,fr,f,59.41
trainees,fr,f,47.94
violonists,fr,f,45
waiters,fr,f,42.65
wine connoisseurs,fr,f,63.53
workers,fr,f,79.41
writers,fr,f,50.88
actors,de,m,50
adolescents,de,m,51.48
apprentices,de,m,51.85
archivists,de,m,58.15
artists,de,m,50.37
assistant chefs,de,m,47.41
astrologers,de,m,54.07
athletes,de,m,57.41
aupairs,de,m,52.22
authors,de,m,50.74
auxiliary workers,de,m,50.77
bakers,de,m,62.22
bank clerks,de,m,54.81
bankers,de,m,71.48
bartenders,de,m,53.33
beauticians,de,m,15.19
birth attendants,de,m,16.3
bosses,de,m,70.74
boxers,de,m,81.11
bricklayers,de,m,85.93
butchers,de,m,81.85
campers,de,m,56.3
caretakers,de,m,75.93
carpenters,de,m,75.19
cashiers,de,m,37.04
chemists,de,m,68.89
chocolate lovers,de,m,45.19
cinema goers,de,m,47.78
cleaners,de,m,30.37
climbers,de,m,61.85
comedians,de,m,60.37
composers,de,m,70
computer specialists,de,m,68.52
concert goers,de,m,49.26
cooks,de,m,60.37
craftsmen,de,m,76.3
curators,de,m,60.74
customs officers,de,m,74.81
cyclists,de,m,57.04
dancers,de,m,37.78
deans,de,m,72.59
dentists,de,m,65.56
dieticians,de,m,33.7
doctors,de,m,67.04
dressmakers,de,m,28.52
drivers,de,m,57.78
electricians,de,m,74.07
engineers,de,m,78.15
factory managers,de,m,83.33
farmers,de,m,71.48
fishers,de,m,78.89
flight attendants,de,m,26.3
football coaches,de,m,88.15
fortune tellers,de,m,27.78
gardeners,de,m,64.4
golfers,de,m,71.85
governors,de,m,84.81
gynaeco-logists,de,m,55.19
hairdressers,de,m,28.15
heads,de,m,75.56
historians,de,m,67.41
homeless people,de,m,66.3
hunters,de,m,87.78
iceskaters,de,m,39.26
inventors,de,m,68.89
job seekers,de,m,55.93
joggers,de,m,50.74
judges,de,m,72.59
jugglers,de,m,64.07
lawyers,de,m,62.96
librarians,de,m,34.81
lorrydrivers,de,m,80.74
magicians,de,m,69.63
managers,de,m,75.19
mathema-ticians,de,m,78.15
mayors,de,m,80
mechanics,de,m,80
members of parliament,de,m,70.37
models,de,m,31.11
murderers,de,m,74.81
musicians,de,m,52.59
neighbours,de,m,51.11
nurses,de,m,31.15
office workers,de,m,39.63
paedia-tricians,de,m,47.41
painting artists,de,m,57.78
pedestrians,de,m,45.56
pharmacists,de,m,48.46
physicians,de,m,60.37
physicists,de,m,77.41
physics students,de,m,76.3
pilots,de,m,75.19
poets,de,m,61.11
police officers,de,m,69.26
politicians,de,m,68.7
postmen,de,m,62.96
presidents,de,m,85.56
prisoners,de,m,73.7
professors,de,m,73.7
proofreaders,de,m,52.96
psychology students,de,m,32.22
publishers,de,m,64.23
reception-class children,de,m,50.74
relatives,de,m,50
sales assistants,de,m,41.48
school-children,de,m,48.89
secretaries,de,m,25.19
shoemakers,de,m,75.93
singers,de,m,45.93
skiers,de,m,52.96
social workers,de,m,45.93
solarium users,de,m,35.19
spectators,de,m,50
spies,de,m,72.59
statisticians,de,m,70.74
surgeons,de,m,75.56
swimmers,de,m,53.7
technicians,de,m,72.96
tennis players,de,m,51.85
trade unionists,de,m,63.7
trainees,de,m,48.52
violonists,de,m,49.26
waiters,de,m,49.26
wine connoisseurs,de,m,62.22
workers,de,m,65.19
writers,de,m,50.37
actors,de,f,49.06
adolescents,de,f,48.06
apprentices,de,f,50.63
archivists,de,f,55
artists,de,f,51.88
assistant chefs,de,f,50
astrologers,de,f,55.63
athletes,de,f,52.5
aupairs,de,f,58.71
authors,de,f,50.31
auxiliary workers,de,f,53.75
bakers,de,f,61.94
bank clerks,de,f,49.03
bankers,de,f,66.45
bartenders,de,f,57.81
beauticians,de,f,15.16
birth attendants,de,f,20.94
bosses,de,f,68.44
boxers,de,f,82.5
bricklayers,de,f,86.25
butchers,de,f,82.81
campers,de,f,56.25
caretakers,de,f,75.16
carpenters,de,f,70.32
cashiers,de,f,31.56
chemists,de,f,72.26
chocolate lovers,de,f,38.75
cinema goers,de,f,46.56
cleaners,de,f,26.56
climbers,de,f,63.87
comedians,de,f,63.13
composers,de,f,71.88
computer specialists,de,f,74.84
concert goers,de,f,47.5
cooks,de,f,65.16
craftsmen,de,f,78.71
curators,de,f,56.88
customs officers,de,f,77.5
cyclists,de,f,56.25
dancers,de,f,39.06
deans,de,f,74.38
dentists,de,f,67.19
dieticians,de,f,28.13
doctors,de,f,64.84
dressmakers,de,f,28.44
drivers,de,f,52.5
electricians,de,f,81.88
engineers,de,f,79.03
factory managers,de,f,79.38
farmers,de,f,70.31
fishers,de,f,80.97
flight attendants,de,f,23.44
football coaches,de,f,90.32
fortune tellers,de,f,27.19
gardeners,de,f,70
golfers,de,f,73.13
governors,de,f,83.55
gynaeco-logists,de,f,52.19
hairdressers,de,f,30
heads,de,f,70.65
historians,de,f,64.52
homeless people,de,f,61.56
hunters,de,f,86.56
iceskaters,de,f,41.25
inventors,de,f,68.44
job seekers,de,f,54.06
joggers,de,f,50.94
judges,de,f,71.56
jugglers,de,f,64.84
lawyers,de,f,63.33
librarians,de,f,35.63
lorrydrivers,de,f,83.44
magicians,de,f,76.45
managers,de,f,73.55
mathema-ticians,de,f,77.81
mayors,de,f,76.77
mechanics,de,f,80.97
members of parliament,de,f,69.38
models,de,f,34.06
murderers,de,f,74.06
musicians,de,f,50.94
neighbours,de,f,51.25
nurses,de,f,31.61
office workers,de,f,38.75
paedia-tricians,de,f,58.13
painting artists,de,f,52.9
pedestrians,de,f,47.81
pharmacists,de,f,48.06
physicians,de,f,62.81
physicists,de,f,80.94
physics students,de,f,81.56
pilots,de,f,74.19
poets,de,f,62.19
police officers,de,f,72.26
politicians,de,f,68.67
postmen,de,f,67.5
presidents,de,f,86.25
prisoners,de,f,70.63
professors,de,f,72.19
proofreaders,de,f,54.69
psychology students,de,f,30.94
publishers,de,f,63.44
reception-class children,de,f,49.35
relatives,de,f,49.69
sales assistants,de,f,36.56
school-children,de,f,47.81
secretaries,de,f,25.63
shoemakers,de,f,80.94
singers,de,f,46.88
skiers,de,f,52.5
social workers,de,f,40.31
solarium users,de,f,36.56
spectators,de,f,48.44
spies,de,f,68.44
statisticians,de,f,72.5
surgeons,de,f,75.94
swimmers,de,f,53.44
technicians,de,f,75
tennis players,de,f,52.81
trade unionists,de,f,66.56
trainees,de,f,48.75
violonists,de,f,45.31
waiters,de,f,43.55
wine connoisseurs,de,f,62.19
workers,de,f,60.31
writers,de,f,50.65
