,Czech,English,French,German,Italian,Norwegian,Slovak
Counsellors,.45 35 (.14),.65 141,.52 32 (.19),.49 36,.47 396,.59 29 (.16),.49 31 (.15)
Couriers,.26 33 (.15),.34 143,.29 35 (.12),.28 36,.26 399,.44 31 (.14),.17 31 (.12)
Court reporters,.7 37 (.2),.46 139,.5 31 (.18),.55 36,.32 383,.52 31 (.21),.59 30 (.28)
Craft workers,.17 35 (.19),.52 141,.39 31 (.17),.23 36,.34 398,.29 30 (.13),.23 30 (.16)
Crane operators,.12 37 (.17),.19 140,.13 34 (.13),.16 35,.14 399,.15 31 (.1),.09 30 (.11)
Criminals,.29 36 (.14),.31 141,.28 30 (.13),.34 35,.31 404,.22 31 (.12),.24 31 (.14)
Cult members,.41 35 (.14),.42 140,.47 33 (.16),.52 31,.45 408,.52 30 (.16),.42 31 (.13)
Curators,.42 34 (.18),.44 141,.43 33 (.13),.45 38,.51 401,.48 29 (.11),.48 29 (.24)
Customers,“Shoppers”,.58 140,.56 29 (.12),.56 36,.54 394,.52 31 (.07),“Shoppers”
Customs inspectors,.18 37 (.14),.4 141,.26 31 (.16),.35 36,.27 403,.41 31 (.13),.18 29 (.14)
Customs officers,.25 31 (.2),.38 142,.22 32 (.14),.36 36,.27 401,.35 28 (.13),.21 31 (.13)
Cyclists,.37 36 (.15),.41 139,.33 31 (.13),.43 34,.31 404,.34 33 (.13),.24 28 (.15)
Dance instructors,.59 34 (.18),.7 142,.65 35 (.18),.57 35,.62 396,.77 32 (.09),.62 30 (.21)
Dancers,.68 35 (.16),.65 142,.68 34 (.11),.6 37,.68 400,.73 27 (.13),.64 31 (.19)
Data processors,.53 35 (.21),.38 139,.33 32 (.14),.39 35,.39 408,N/A,.6 30 (.19)
Database administrators,.34 36 (.24),.47 142,.36 33 (.15),.38 38,.31 392,N/A,.26 32 (.2)
Deacons,.29 38 (.24),.37 137,.26 30 (.2),.39 38,.16 407,.54 30 (.18),.23 31 (.22)
Dental hygienists,.61 34 (.18),.57 141,.68 32 (.17),.53 37,.6 399,.71 27 (.14),.65 31 (.21)
Dental technicians,.55 36 (.14),.5 140,.57 31 (.2),.56 33,.41 405,.61 30 (.17),.47 31 (.16)
Dentists,.56 38 (.17),.38 139,.39 31 (.15),.44 34,.4 402,.49 29 (.13),.49 31 (.18)
Deputies,.49 37 (.17),.41 142,.3 30 (.1),.49 36,.27 405,.55 28 (.13),.51 30 (.16)
Designers,.61 36 (.18),.53 138,.44 28 (.18),.52 36,.54 412,.65 32 (.12),.59 29 (.21)
Detectives,.19 36 (.13),.33 141,.32 33 (.15),.32 32,.3 396,.29 30 (.11),.22 30 (.14)
Dieticians,.68 37 (.17),.65 141,.75 35 (.16),.7 34,.65 410,.7 30 (.14),.66 31 (.21)
Diplomats,.34 32 (.16),.36 140,.29 34 (.12),.33 32,.35 399,.36 30 (.15),.3 29 (.16)
Doctors of Philosophy,“Physicians”,.37 138,"“Medical doctors""",.44 37,.47 402,.34 32 (.14),“Physicians”
Dog owners,.52 35 (.14),.49 142,.52 33 (.12),.5 36,.52 391,.53 29 (.11),.5 29 (.16)
Door keepers,.27 35 (.18),.29 141,.18 32 (.13),.27 39,.41 406,.16 32 (.11),.37 29 (.18)
Dressmakers,“Tailors”,.75 140,.73 36 (.19),N/A,“Tailors”,“Tailors”,“Tailors”
Drivers,.37 35 (.15),.38 138,.37 35 (.16),.37 35,.4 392,.32 31 (.14),.32 31 (.16)
Driving instructors,.19 32 (.13),.35 141,.24 36 (.13),.28 35,.25 412,.29 32 (.14),.15 29 (.13)
Drug addicts,.39 38 (.14),.43 143,.39 34 (.14),.42 35,.39 406,.39 28 (.13),.39 29 (.14)
Drug dealers,.23 37 (.14),.24 140,.24 30 (.17),.25 34,.21 408,.18 28 (.11),.14 27 (.11)
Drummers,.24 36 (.14),.26 139,.25 34 (.15),.27 34,.23 397,.21 30 (.11),.15 29 (.12)
Economists,.39 33 (.14),.33 141,.31 33 (.11),.41 35,.38 398,.39 31 (.12),.51 30 (.2)
Editors,.49 35 (.18),.47 142,“Publishers”,.44 32,.42 402,.43 32 (.15),.52 30 (.2)
Educational psychologists,.71 35 (.2),.63 142,.61 35 (.16),.7 35,.72 391,.7 33 (.16),.71 29 (.18)
Electricians,.11 39 (.16),.21 139,.2 28 (.09),.22 32,.15 395,.17 32 (.09),.12 30 (.13)
Embezzlers,.36 36 (.15),.37 142,.29 34 (.17),.38 36,.39 399,.37 32 (.15),.35 31 (.17)
Engine-drivers,.16 33 (.15),.23 143,.19 33 (.13),.24 33,.19 399,.21 29 (.15),.09 31 (.08)
Engineers,.36 37 (.12),.24 140,.22 34 (.11),.26 35,.29 409,.29 30 (.13),.35 29 (.16)
Entertainers,.48 38 (.17),.46 140,.43 32 (.16),.42 32,.49 404,.54 30 (.14),.39 30 (.2)
Environmentalists,.45 37 (.16),.54 137,.51 31 (.08),.53 36,.56 397,.6 31 (.12),.44 30 (.15)
Estate agents,.43 37 (.17),.45 140,.43 36 (.15),.45 36,.46 400,.42 30 (.13),.48 32 (.16)
Executives,.34 34 (.14),.36 138,.29 34 (.11),.26 36,.48 397,.26 29 (.12),.29 28 (.16)
Executors,.19 37 (.17),.26 142,.34 33 (.13),.43 37,.37 401,.44 30 (.1),.29 31 (.18)
Exercise instructors,.69 35 (.19),.49 143,.44 32 (.19),.47 37,.4 397,.56 31 (.15),.6 29 (.2)
Exotic dancers,.83 35 (.19),.8 143,.79 30 (.16),.72 35,.8 402,.83 32 (.1),.8 29 (.18)
Explorers,.35 38 (.14),.33 144,.33 31 (.15),.33 34,.34 398,.25 31 (.13),.25 31 (.15)
Factory managers,.24 38 (.13),.28 139,.17 34 (.11),.26 36,.31 394,.25 30 (.13),.18 32 (.11)
Fans,“Groupies”,.56 138,.62 36 (.15),.49 37,.56 403,.61 27 (.14),“Groupies”
Farmers,.24 37 (.17),.27 141,.27 34 (.13),.36 38,.26 393,.29 30 (.15),.26 30 (.14)
Fashion models,.74 34 (.17),.7 137,.68 34 (.15),.65 34,“Models”,.72 30 (.13),.73 28 (.21)
Fencers,.18 37 (.14),.36 141,.38 32 (.13),.41 36,.47 403,.29 29 (.12),.27 30 (.17)
Fig. skaters,.63 35 (.16),.67 141,.65 36 (.13),.67 35,.68 393,.7 31 (.15),.64 31 (.17)
Film directors,.25 37 (.11),.31 139,.24 32 (.09),.32 35,.29 407,.32 29 (.15),.21 30 (.1)
Film stars,.48 34 (.08),.51 142,.51 34 (.09),.51 37,.53 403,.56 31 (.14),.51 30 (.11)
Financial advisers,.47 37 (.16),.36 142,.32 29 (.13),.39 37,.35 401,.41 30 (.18),.31 31 (.22)
Financial analysts,.36 40 (.13),.35 139,.3 33 (.1),.38 34,.34 405,.29 29 (.13),.3 30 (.14)
Firefighters,.15 37 (.11),.21 141,.18 34 (.09),.23 35,.18 400,.16 32 (.1),.06 28 (.07)
Flight attendants,.78 33 (.16),.71 140,.68 33 (.21),.75 37,.71 407,.74 28 (.15),.81 28 (.14)
Florists,.84 38 (.12),.77 140,.81 32 (.09),.79 32,.67 400,.72 30 (.14),.84 32 (.11)
Flute players,.65 36 (.18),.64 142,.63 30 (.12),.58 35,.54 404,.65 31 (.15),.72 31 (.18)
Football coaches,.09 37 (.11),.19 137,.18 31 (.16),.2 34,.13 388,.16 30 (.1),.08 27 (.16)
Football players,.14 33 (.13),.21 141,.21 33 (.12),.3 36,.17 402,.22 31 (.12),.16 31 (.13)
Forensic psychologists,.5 35 (.21),.48 142,.48 35 (.15),.43 33,.54 395,.45 30 (.14),.39 31 (.22)
Forest rangers,.11 38 (.09),.25 140,.2 33 (.17),.25 34,.27 395,.22 31 (.14),.11 29 (.12)
Fortune tellers,.83 35 (.15),.75 140,.76 34 (.2),.74 35,.65 407,"“Tarot card readers""",.81 31 (.19)
Funeral directors,.29 38 (.21),.32 143,.22 35 (.16),.28 34,.21 398,“Undertakers”,.24 27 (.17)
Game wardens,.13 37 (.13),.33 141,.15 33 (.13),.3 35,.19 406,.19 30 (.13),.09 31 (.12)
Gardeners,“Groundkeepers”,.43 142,.36 33 (.16),.39 35,.28 409,.51 30 (.18),“Groundkeepers”
Generals,.06 37 (.08),.25 141,.14 34 (.15),.15 30,.17 388,.15 30 (.09),.08 30 (.11)
General managers,.3 38 (.16),.42 141,.26 31 (.14),.32 35,.31 384,.39 32 (.16),.24 29 (.16)
Geologists,.33 36 (.17),.42 141,.35 32 (.12),.38 32,.39 400,.37 29 (.16),.27 32 (.16)
Goalkeepers,.15 39 (.14),.2 143,.19 31 (.18),.26 34,.16 399,.32 29 (.16),.15 29 (.13)
Goldsmiths,.45 38 (.22),.33 144,.38 35 (.17),.39 38,.37 393,.48 29 (.2),.41 30 (.22)
Golfers,.25 38 (.13),.27 142,.24 31 (.13),.31 36,.25 412,.41 30 (.16),.25 31 (.14)
Government officials,.58 36 (.21),.34 139,.41 32 (.13),.36 36,.31 393,.34 31 (.16),.56 31 (.22)
Governors,.2 38 (.16),.33 141,.21 30 (.15),.23 36,.24 397,.23 31 (.12),.14 31 (.11)
Graphic designers,.4 34 (.12),.42 137,.43 32 (.17),.49 36,.47 396,.55 30 (.16),.39 31 (.2)
Groundkeepers,.59 35 (.18),.27 139,N/A,.2 33,.26 393,N/A,.49 31 (.2)
Groupies,.56 39 (.21),.73 140,.76 35 (.2),.73 37,.68 405 (.23),.77 32 (.17),.51 32 (.16)
Guards,.19 38 (.14),.23 142,.36 29 (.13),.28 35,.22 404 (.15),.25 32 (.11),.12 29 (.11)
Guitar players,.33 36 (.14),.37 142,.33 33 (.13),.42 37,.31 390 (.14),.35 31 (.11),.27 30 (.14)
Gymnasts,.68 36 (.15),.64 140,.59 28 (.13),.53 35,.64 404 (.15),.62 30 (.15),.69 28 (.18)
Gynaecologists,.47 36 (.16),.5 140,.55 30 (.17),.54 37,.58 406 (.2),.56 29 (.16),.44 31 (.17)
Hairdressers,.75 34 (.14),.7 142,.75 32 (.11),.78 35,.65 402 (.17),.79 29 (.11),.73 29 (.15)
Heads of department,.36 39 (.17),.41 141,.31 33 (.14),.36 35,.33 398 (.16),.4 30 (.14),.35 30 (.16)
Head teachers,.45 39 (.17),.49 141,.37 29 (.18),.39 31,.43 398 (.16),.47 30 (.19),.54 32 (.22)
Health visitors,.83 36 (.13),.66 144,.64 35 (.16),.63 35,"“Social workers""",.76 27 (.11),.68 29 (.21)
"Heavy equipment operators""",.11 35 (.15),.15 139,.17 29 (.1),.17 35,.14 403 (.13),.19 31 (.12),.09 29 (.11)
Historians,.4 33 (.14),.39 139,.37 32 (.11),.39 35,.4 399 (.15),.34 30 (.13),.37 27 (.22)
History professors,.44 40 (.19),.35 141,.37 32 (.14),.33 32,.55 390 (.16),.38 30 (.15),.4 30 (.22)
Hitchhikers,.51 35 (.22),.37 140,.37 33 (.16),.39 34,.38 403 (.17),.35 31 (.13),.47 29 (.19)
Homeless persons,.27 38 (.15),.33 138,.35 37 (.15),.36 35,.32 398 (.16),.35 31 (.16),.31 33 (.13)
Horse riders,.49 34 (.17),.64 140,.55 34 (.22),.65 34,.52 385 (.16),.64 30 (.16),.53 31 (.15)
Horse trainers,.43 35 (.21),.61 139,.62 31 (.18),.63 32,.48 407 (.17),.72 31 (.14),.52 28 (.18)
Hospital orderlies,.54 33 (.16),.52 139,.74 35 (.13),N/A,.64 395 (.17),.34 32 (.15),.63 32 (.16)
Hotel guests,.46 33 (.11),.49 141,.46 34 (.11),.46 36,.48 398 (.1),.46 29 (.07),.42 30 (.15)
Hotel managers,.38 35 (.17),.42 141,.29 32 (.13),.35 36,.35 397 (.14),.28 31 (.15),.3 32 (.17)
Housekeepers,.64 36 (.3),.74 138,.67 32 (.26),.78 37,.79 413 (.18),.79 33 (.14),.62 31 (.25)
Humanitarians,.61 34 (.15),.53 139,.57 32 (.15),.55 35,.51 395 (.15),.6 30 (.14),.64 32 (.18)
Humanities professors,.57 41 (.21),.46 142,.46 34 (.16),.5 36,.65 389 (.17),.5 28 (.17),.6 30 (.21)
Hunters,.15 37 (.15),.2 140,.15 32 (.11),.23 37,.14 396 (.13),.22 30 (.12),.13 28 (.13)
Ice skaters,.51 36 (.13),.62 138,.64 31 (.15),.62 33,.64 402 (.14),.39 29 (.17),.59 31 (.14)
Infant teachers,"“Nursery teachers""",.76 139,.74 34 (.14),.79 35,"“Nursery teachers""",N/A,.89 29 (.15)
Informants,.35 36 (.17),.42 139,.4 31 (.16),.39 34,.46 394 (.16),.42 32 (.13),.58 29 (.11)
Inmates,.39 33 (.18),.31 142,.29 30 (.13),.29 35,.31 396 (.14),.2 30 (.1),.55 29 (.15)
Innkeepers,.36 37 (.18),.41 142,.43 32 (.15),.47 32,.41 403 (.14),.5 32 (.16),.38 32 (.23)
Interior decorators,.42 34 (.16),.62 138,.69 32 (.14),.6 35,.64 395 (.18),.69 34 (.13),.48 28 (.19)
Interpreters,.63 40 (.15),.55 138,.55 35 (.15),.6 34,.63 402 (.15),.62 29 (.15),.65 31 (.18)
Inventors,.23 37 (.15),.31 143,.32 32 (.14),.36 37,.33 396 (.16),.33 31 (.13),.25 31 (.16)
IT consultants,.17 36 (.11),.29 140,.23 30 (.11),.24 35,.27 399 (.14),.25 30 (.1),.15 29 (.1)
Jailors,.25 35 (.15),.33 140,.29 33 (.16),.22 33,.25 403 (.17),.24 27 (.14),.19 31 (.16)
Janitors,.18 36 (.14),.27 140,.4 33 (.19),.23 33,.65 403 (.16),.16 29 (.11),.17 32 (.15)
Jewelers,.48 37 (.24),.49 139,.51 34 (.17),.44 34,.43 402 (.15),.5 31 (.17),.44 30 (.18)
Job kers,.53 35 (.13),.43 139,.43 33 (.12),.45 34,.57 406 (.17),.49 30 (.1),.5 30 (.13)
Joggers,“Runners”,.53 145,.5 33 (.12),.48 35,.42 396 (.12),.53 29 (.08),“Runners”
Journalists,.52 37 (.14),.53 137,“Reporters”,.52 35,.48 392 (.11),.53 32 (.1),.47 30 (.14)
Judges,.4 35 (.13),.34 141,.34 31 (.13),.37 35,.37 405 (.15),.34 31 (.15),.34 29 (.16)
Jugglers,.27 37 (.15),.36 141,.37 33 (.11),.37 35,.34 394 (.15),.34 30 (.14),.26 31 (.2)
Jurors,.45 34 (.11),.47 142,.44 31 (.13),.44 34,.42 399 (.13),.53 31 (.09),.47 29 (.09)
Karaoke singers,.59 34 (.17),.6 143,.57 31 (.18),.55 34,.56 399 (.14),.56 29 (.13),.61 32 (.17)
Kids,.56 36 (.1),.5 140,.51 31 (.08),.53 32,.53 393 (.11),.49 32 (.04),N/A
Killers,“Murderers”,.27 139,.28 33 (.15),.22 35,.19 395 (.16),.16 30 (.1),“Murderers”
Kindergarten teachers,“Nursery,.79 137,.8 36 (.13),.82 35,.86 399 (.14),.79 28 (.11),“Nursery
Knitters,.76 35 (.25),.81 141,.88 33,.84 38,.75 407,N/A,.55 32 (.29)
Lab technicians,.57 33 (.19),.44 141,.42 33,.51 35,.44 404,.54 30 (.17),.58 31 (.18)
Landscape gardeners,.49 36 (.14),.4 142,.28 31,.4 36,.48 399,.39 31 (.2),.49 29 (.25)
Law clerks,.5 36 (.16),.41 141,.49 30,.69 39,.4 411,.71 28 (.14),.44 30 (.18)
Law professors,.36 33 (.13),.38 140,.34 34,.32 34,.48 394,.37 30 (.17),.3 29 (.18)
Lawyers,.43 36 (.14),.41 136,.41 35,.41 33,.46 402,.44 31 (.11),.4 30 (.14)
