fips_country_code,country_name,lang,lang_clean,percent_clean,lang_info,n,percent
nz,New Zealand, other or not stated ,NA,NA, other or not stated 20.5,8,20
ei,Ireland,English (official,English,62,English (official,1,NA
ei,Ireland, spoken by approximately  of the population as a first or second language in ; mainly spoken in areas along the western coast),Irish,38, spoken by approximately 38.7 of the population as a first or second language in 2011; mainly spoken in areas along the western coast),4,38
fr,France,French (official) ,French,100,French (official) 100,1,100
sn,Singapore,Mandarin (official) ,Chinese,36,Mandarin (official) 36.3,1,36
sn,Singapore, English (official) , English,29, English (official) 29.8,2,29
sn,Singapore, Malay (official) , Malay,11, Malay (official) 11.9,3,11
sn,Singapore, Hokkien , Hokkien ,8, Hokkien 8.1,4,8
sn,Singapore, Cantonese , Cantonese ,4, Cantonese 4.1,5,4
sn,Singapore, Tamil (official) , Tamil ,3, Tamil (official) 3.2,6,3
sn,Singapore, Teochew , Teochew ,3, Teochew 3.2,7,3
sn,Singapore, other Indian languages ,NA,NA, other Indian languages 1.2,8,1
sn,Singapore, other Chinese dialects ,NA,NA, other Chinese dialects 1.1,9,1
sn,Singapore, other  ( est),NA,NA, other 1.1 (2010 est.),10,1
sw,Sweden,Swedish (official),Swedish,100,Swedish (official),1,NA
sz,Switzerland,German (official) ,German,63,German (official) 63.5,1,63
sz,Switzerland, French (official) , French,22, French (official) 22.5,2,22
sz,Switzerland, Italian (official) , Italian,8, Italian (official) 8.1,3,8
sz,Switzerland, English , English ,4, English 4.4,4,4
sz,Switzerland, Portuguese , Portuguese ,3, Portuguese 3.4,5,3
sz,Switzerland, Albanian , Albanian ,3, Albanian 3.1,6,3
sz,Switzerland, Serbo-Croatian , Serbo-Croatian ,2, Serbo-Croatian 2.5,7,2
sz,Switzerland, Spanish , Spanish ,2, Spanish 2.2,8,2
sz,Switzerland, Romansch (official) ,NA,NA, Romansch (official) 0.5,9,0
sz,Switzerland, other ,NA,NA, other 6.6,10,6
ch,China,Standard Chinese or Mandarin (official; Putonghua,Chinese ,100,Standard Chinese or Mandarin (official; Putonghua,1,NA
br,Brazil,Portuguese (official and most widely spoken language),Portuguese,100,Portuguese (official and most widely spoken language),1,NA
no,Norway,Bokmal Norwegian (official),Norwegian,100,Bokmal Norwegian (official),1,NA
be,Belgium,Dutch (official) ,Dutch,60,Dutch (official) 60,1,60
be,Belgium, French (official) , French,40, French (official) 40,2,40
be,Belgium, German (official) less than ,NA,NA, German (official) less than 1,3,1
ja,Japan,Japanese,Japanese,100,Japanese,1,NA
it,Italy,Italian (official),Italian,100,Italian (official),1,NA
sp,Spain,Castilian Spanish (official nationwide) ,Spanish,74,Castilian Spanish (official nationwide) 74,1,74
sp,Spain, and the Valencian Community (where it is known as Valencian)) ,Catalan,17, and the Valencian Community (where it is known as Valencian)) 17,4,17
sp,Spain, Galician (official in Galicia) , Galician,7, Galician (official in Galicia) 7,5,7
sp,Spain, Basque (official in the Basque Country and in the Basque-speaking area of Navarre) , Basque,2, Basque (official in the Basque Country and in the Basque-speaking area of Navarre) 2,6,2
sp,Spain, Aranese (official in the northwest corner of Catalonia (Vall d'Aran) along with Catalan; <, NA,NA, Aranese (official in the northwest corner of Catalonia (Vall d'Aran) along with Catalan; <5,7,5
sp,Spain, speakers),NA,NA,000 speakers),8,0
fi,Finland,Finnish (official) ,Finnish,89,Finnish (official) 89,1,89
fi,Finland, Swedish (official) , Swedish,5, Swedish (official) 5.3,2,5
fi,Finland, Russian , Russian ,1, Russian 1.3,3,1
fi,Finland, other  ( est),NA,NA, other 4.4 (2014 est.),4,4
mx,Mexico,Spanish only ,Spanish,100,Spanish only 92.7,1,92
mx,Mexico, Spanish and indigenous languages ,NA,NA, Spanish and indigenous languages 5.7,2,5
mx,Mexico, indigenous only ,NA,NA, indigenous only 0.8,3,0
mx,Mexico, unspecified ,NA,NA, unspecified 0.8,4,0
da,Denmark,Danish,Danish,100,Danish,1,NA
rp,Philippines,Filipino (official; based on Tagalog) and English (official); eight major dialects - Tagalog,Filipino ,50,,,NA
rp,Philippines,Filipino (official; based on Tagalog) and English (official); eight major dialects - Tagalog,English,50,Filipino (official; based on Tagalog) and English (official); eight major dialects - Tagalog,1,50
af,Afghanistan,Afghan Persian or Dari (official) ,Persian,50,Afghan Persian or Dari (official) 50,1,35
af,Afghanistan, Pashto (official) , Pashto,35, Pashto (official) 35,2,11
af,Afghanistan, Turkic languages (primarily Uzbek and Turkmen) ,NA,NA, Turkic languages (primarily Uzbek and Turkmen) 11,3,30
af,Afghanistan,  minor languages (primarily Balochi and Pashai) ,NA,NA, 30 minor languages (primarily Balochi and Pashai) 4,4,NA
my,Malaysia,Bahasa Malaysia (official),Malay,100,Bahasa Malaysia (official),1,NA
ks,South Korea,Korean,Korean,100,Korean,1,NA
tu,Turkey,Turkish (official),Turkish,100,Turkish (official),1,NA
is,Israel,Hebrew (official),Hebrew,100,Hebrew (official),1,88
au,Austria,German (official nationwide) ,German,88,German (official nationwide) 88.6,1,2
au,Austria, Turkish , Turkish ,2, Turkish 2.3,2,2
au,Austria, Serbian , Serbian ,2, Serbian 2.2,3,1
au,Austria, Croatian (official in Burgenland) , Croatian,1, Croatian (official in Burgenland) 1.6,4,5
au,Austria, official in Burgenland)  ( est),NA,NA, official in Burgenland) 5.3 (2001 est.),8,22
sf,South Africa,IsiZulu (official) ,Zulu,22,IsiZulu (official) 22.7,1,16
sf,South Africa, IsiXhosa (official) ,xhosa,16, IsiXhosa (official) 16,2,13
sf,South Africa, Afrikaans (official) , Afrikaans,13, Afrikaans (official) 13.5,3,9
sf,South Africa, English (official) , English,9, English (official) 9.6,4,9
sf,South Africa, Sepedi (official) , Sepedi,9, Sepedi (official) 9.1,5,8
sf,South Africa, Setswana (official) , Setswana,8, Setswana (official) 8,6,7
sf,South Africa, Sesotho (official) , Sesotho,7, Sesotho (official) 7.6,7,4
sf,South Africa, Xitsonga (official) , Xitsonga,4, Xitsonga (official) 4.5,8,2
sf,South Africa, siSwati (official) , siSwati,2, siSwati (official) 2.5,9,2
sf,South Africa, Tshivenda (official) , Tshivenda,2, Tshivenda (official) 2.4,10,2
sf,South Africa, isiNdebele (official) , isiNdebele,2, isiNdebele (official) 2.1,11,0
sf,South Africa, sign language ,NA,NA, sign language 0.5,12,1
sf,South Africa, other  ( est),NA,NA, other 1.6 (2011 est.),13,98
pl,Poland,Polish (official) ,Polish,98,Polish (official) 98.2,1,1
pl,Poland, Silesian , Silesian ,1, Silesian 1.4,2,1
pl,Poland, other ,NA,NA, other 1.1,3,1
pl,Poland, unspecified ,NA,NA, unspecified 1.3,4,NA
tw,Taiwan,Mandarin Chinese (official),Chinese,100,Mandarin Chinese (official),1,46
ne,Niue,Niuean (official)  (a Polynesian language closely related to Tongan and Samoan),Niuean,78,Niuean (official) 46 (a Polynesian language closely related to Tongan and Samoan),1,32
ne,Niue, Niuean and English ,NA,NA, Niuean and English 32,2,11
ne,Niue, English (official) ,English,11, English (official) 11,3,5
ne,Niue, Niuean and others ,NA,NA, Niuean and others 5,4,6
ne,Niue, other  ( est),NA,NA, other 6 (2011 est.),5,NA
ae,United Arab Emirates,Arabic (official),Arabic,100,Arabic (official),1,95
hr,Croatia,Croatian (official) ,Croatian,95,Croatian (official) 95.6,1,1
hr,Croatia, Serbian , Serbian ,1, Serbian 1.2,2,3
hr,Croatia, other  (including Hungarian,NA,NA, other 3 (including Hungarian,3,0
hr,Croatia, unspecified  ( est),NA,NA, unspecified 0.2 (2011 est.),7,NA
ar,Argentina,Spanish (official),Spanish,100,Spanish (official),1,85
ro,Romania,Romanian (official) ,Romanian,85,Romanian (official) 85.4,1,6
ro,Romania, Hungarian , Hungarian ,6, Hungarian 6.3,2,1
ro,Romania, Romany (Gypsy) ,NA,NA, Romany (Gypsy) 1.2,3,1
ro,Romania, other ,NA,NA, other 1,4,6
ro,Romania, unspecified  ( est),NA,NA, unspecified 6.1 (2011 est.),5,NA
co,Colombia,Spanish (official),Spanish,100,Spanish (official),1,99
gr,Greece,Greek (official) ,Greek,99,Greek (official) 99,1,1
gr,Greece, other (includes English and French) ,NA,NA, other (includes English and French) 1,2,NA
id,Indonesia,Bahasa Indonesia (official,Indonesian,100,Bahasa Indonesia (official,1,90
th,Thailand,Thai (official) ,Thai,90,Thai (official) 90.7,1,1
th,Thailand, Burmese , Burmese ,1, Burmese 1.3,2,8
th,Thailand, other ,NA,NA, other 8,3,85
rs,Russia,Russian (official) ,Russian,85,Russian (official) 85.7,1,3
rs,Russia, Tatar , Tatar ,3, Tatar 3.2,2,1
rs,Russia, Chechen , Chechen ,1, Chechen 1,3,10
rs,Russia, other ,NA,NA, other 10.1,4,80
cy,Cyprus,Greek (official) ,Greek,80,Greek (official) 80.9,1,0
cy,Cyprus, Turkish (official) , Turkish,0, Turkish (official) 0.2,2,4
cy,Cyprus, English , English ,4, English 4.1,3,2
cy,Cyprus, Romanian , Romanian ,2, Romanian 2.9,4,2
cy,Cyprus, Russian , Russian ,2, Russian 2.5,5,2
cy,Cyprus, Bulgarian , Bulgarian ,2, Bulgarian 2.2,6,1
cy,Cyprus, Arabic , Arabic ,1, Arabic 1.2,7,1
cy,Cyprus, Filipino , Filipino ,1, Filipino 1.1,8,4
cy,Cyprus, other ,NA,NA, other 4.3,9,0
cy,Cyprus, unspecified ,NA,NA, unspecified 0.6,10,NA
cs,Costa Rica,Spanish (official),Spanish,100,Spanish (official),1,NA
vm,Vietnam,Vietnamese (official),Vietnamese,100,Vietnamese (official),1,99
hu,Hungary,Hungarian (official) ,Hungarian,100,Hungarian (official) 99.6,1,16
hu,Hungary, English ,NA,NA, English 16,2,11
hu,Hungary, German ,NA,NA, German 11.2,3,1
hu,Hungary, Russian ,NA,NA, Russian 1.6,4,1
hu,Hungary, Romanian ,NA,NA, Romanian 1.3,5,1
hu,Hungary, French ,NA,NA, French 1.2,6,4
hu,Hungary, other ,NA,NA, other 4.2,7,NA
po,Portugal,Portuguese (official),Portuguese,100,Portuguese (official),1,89
hk,Hong Kong,Cantonese (official) ,Cantonese,89,Cantonese (official) 89.5,1,3
hk,Hong Kong, English (official) , English,3, English (official) 3.5,2,1
hk,Hong Kong, Mandarin (official) ,Chinese,1, Mandarin (official) 1.4,3,4
hk,Hong Kong, other Chinese dialects ,NA,NA, other Chinese dialects 4,4,1
hk,Hong Kong, other  ( est),NA,NA, other 1.6 (2011 est.),5,NA
uk,United Kingdom,English,English,100,English,1,
