word,language,word_form_type,translation_id,word_id,translation,translation_type
postman/postwoman,spanish,male_form,t1,w1,el^cartero,single
mechanic,spanish,male_form,t1,w1,el^mecánico,single
hunter,spanish,male_form,t1,w1,el^cazador,single
firefighter,spanish,male_form,t1,w1,el^bombero,single
dancer,farsi,male_form,t1,w1,raghs^e^mard,single
nurse,farsi,male_form,t1,w1,parastâr^e^mard,single
singer,farsi,male_form,t1,w1,khânande^e^mard,single
cleaner,farsi,male_form,t1,w1,nezâfatchi^e^mard,single
secretary,farsi,male_form,t1,w1,sânavi^e^mard,single
waiter,farsi,male_form,t1,w1,pishkhedmat,single
journalist,farsi,male_form,t1,w1,ruzhâme^negâr^e^mard,single
baker,farsi,male_form,t1,w1,nânvâ^e^mard,single
author,farsi,male_form,t1,w1,nevisande^e^mard,single
athlete,farsi,male_form,t1,w1,varzeshkâr^e^mard,single
lawyer,farsi,male_form,t1,w1,vakil^e^mard,single
doctor/physician,farsi,male_form,t1,w1,pezeshk^e^mard,single
governor,farsi,male_form,t1,w1,farmândâr^e^mard,single
judge,farsi,male_form,t1,w1,ghâzi^e^mard,single
sailor,farsi,male_form,t1,w1,malavân^e^mard,single
postman/postwoman,farsi,male_form,t1,w1,post^e^mard,single
mechanic,farsi,male_form,t1,w1,mekâniki^e^mard,single
hunter,farsi,male_form,t1,w1,shekârchi^e^mard,single
firefighter,farsi,male_form,t1,w1,mamure^âtash^neshani^e^mard,single
dancer,finnish,male_form,t1,w1,tanssija,single
nurse,finnish,male_form,t1,w1,sairaanhoitaja,single
singer,finnish,male_form,t1,w1,laulaja,single
cleaner,finnish,male_form,t1,w1,puhdistusaine,single
secretary,finnish,male_form,t1,w1,ministeri,single
waiter,finnish,male_form,t1,w1,tarjoilija,single
journalist,finnish,male_form,t1,w1,toimittaja,single
baker,finnish,male_form,t1,w1,leipuri,single
author,finnish,male_form,t1,w1,tekijä,single
athlete,finnish,male_form,t1,w1,atleetti,single
lawyer,finnish,male_form,t1,w1,asianajaja,single
doctor/physician,finnish,male_form,t1,w1,lääkäri,single
professor,finnish,male_form,t1,w1,opettaja,single
governor,finnish,male_form,t1,w1,kuvernööri,single
judge,finnish,male_form,t1,w1,tuomari,single
sailor,finnish,male_form,t1,w1,merimies,single
postman/postwoman,finnish,male_form,t1,w1,postinjakaja,single
mechanic,finnish,male_form,t1,w1,mekaanikko,single
hunter,finnish,male_form,t1,w1,metsästäjä,single
firefighter,finnish,male_form,t1,w1,palomies,single
dancer,french,male_form,t1,w1,danseur,single
nurse,french,male_form,t1,w1,infirmier,single
singer,french,male_form,t1,w1,chanteur,single
cleaner,french,male_form,t1,w1,homme^de^ménage,single
secretary,french,male_form,t1,w1,secrétaire,single
waiter,french,male_form,t1,w1,serveur,single
journalist,french,male_form,t1,w1,journaliste,single
baker,french,male_form,t1,w1,boulanger,single
author,french,male_form,t1,w1,auteur,single
athlete,french,male_form,t1,w1,athlète,single
lawyer,french,male_form,t1,w1,avocat,single
doctor/physician,french,male_form,t1,w1,docteur,single
professor,french,male_form,t1,w1,professeur,single
governor,french,male_form,t1,w1,directeur,single
judge,french,male_form,t1,w1,juge,single
sailor,french,male_form,t1,w1,pêcheur,single
postman/postwoman,french,male_form,t1,w1,facteur,single
mechanic,french,male_form,t1,w1,mécanicien,single
hunter,french,male_form,t1,w1,chasseur,single
firefighter,french,male_form,t1,w1,pompier,single
dancer,hebrew,male_form,t1,w1,רקדן,single
nurse,hebrew,male_form,t1,w1,אח,single
singer,hebrew,male_form,t1,w1,זמר,single
cleaner,hebrew,male_form,t1,w1,מנקה,single
secretary,hebrew,male_form,t1,w1,מזכיר,single
waiter,hebrew,male_form,t1,w1,מלצר,single
journalist,hebrew,male_form,t1,w1,עיתונאי,single
baker,hebrew,male_form,t1,w1,אופה,single
author,hebrew,male_form,t1,w1,סופר,single
athlete,hebrew,male_form,t1,w1,ספורטאי,single
lawyer,hebrew,male_form,t1,w1,עורך^דין,single
doctor/physician,hebrew,male_form,t1,w1,רופא,single
professor,hebrew,male_form,t1,w1,פרופסור,single
governor,hebrew,male_form,t1,w1,מושל,single
judge,hebrew,male_form,t1,w1,שופט,single
sailor,hebrew,male_form,t1,w1,מלח,single
postman/postwoman,hebrew,male_form,t1,w1,דור,single
mechanic,hebrew,male_form,t1,w1,מכונאי,single
hunter,hebrew,male_form,t1,w1,צייד,single
firefighter,hebrew,male_form,t1,w1,כבאי,single
dancer,italian,male_form,t1,w1,ballerino,single
nurse,italian,male_form,t1,w1,infermiere,single
singer,italian,male_form,t1,w1,cantante,single
cleaner,italian,male_form,t1,w1,inserviente,single
secretary,italian,male_form,t1,w1,segretario,single
waiter,italian,male_form,t1,w1,cameriere,single
journalist,italian,male_form,t1,w1,giornalista,single
baker,italian,male_form,t1,w1,fornaio,single
author,italian,male_form,t1,w1,autore,single
athlete,italian,male_form,t1,w1,atleta,single
lawyer,italian,male_form,t1,w1,avvocato,single
doctor/physician,italian,male_form,t1,w1,dottore,single
professor,italian,male_form,t1,w1,professore,single
governor,italian,male_form,t1,w1,governatore,single
judge,italian,male_form,t1,w1,giudice,single
sailor,italian,male_form,t1,w1,marinaio,single
postman/postwoman,italian,male_form,t1,w1,postino,single
mechanic,italian,male_form,t1,w1,meccanico,single
hunter,italian,male_form,t1,w1,cacciatore,single
firefighter,italian,male_form,t1,w1,pompiere,single
dancer,japanese,male_form,t1,w1,ダンサー^dansaa,single
nurse,japanese,male_form,t1,w1,看護師^kangoshi,single
singer,japanese,male_form,t1,w1,歌手^kashu,single
cleaner,japanese,male_form,t1,w1,清掃員^seisouin,single
secretary,japanese,male_form,t1,w1,秘書^hisho,single
waiter,japanese,male_form,t1,w1,ウェイター^ueitaa,single
journalist,japanese,male_form,t1,w1,記者^kisha,single
baker,japanese,male_form,t1,w1,パン屋^panya,single
author,japanese,male_form,t1,w1,作者^sakusha,single
athlete,japanese,male_form,t1,w1,選手^senshu,single
lawyer,japanese,male_form,t1,w1,弁護士^bengoshi,single
doctor/physician,japanese,male_form,t1,w1,医者^isha,single
professor,japanese,male_form,t1,w1,教授^kyoujyu,single
governor,japanese,male_form,t1,w1,知事^chiji,single
judge,japanese,male_form,t1,w1,裁判官^saibankan,single
sailor,japanese,male_form,t1,w1,船員^senin,single
postman/postwoman,japanese,male_form,t1,w1,郵便配達員^yuubin^haitasuin,single
mechanic,japanese,male_form,t1,w1,メカニック^mekanikku,single
hunter,japanese,male_form,t1,w1,猟師^ryoushi,single
firefighter,japanese,male_form,t1,w1,消防士^shouboushi,single
dancer,dutch,male_form,t1,w1,danser,single
nurse,dutch,male_form,t1,w1,broeder,single
singer,dutch,male_form,t1,w1,zanger,single
cleaner,dutch,male_form,t1,w1,schoonmaker,single
secretary,dutch,male_form,t1,w1,secretaris,single
waiter,dutch,male_form,t1,w1,ober,single
journalist,dutch,male_form,t1,w1,journalist,single
baker,dutch,male_form,t1,w1,bakker,single
author,dutch,male_form,t1,w1,schrijver,single
athlete,dutch,male_form,t1,w1,atleet,single
lawyer,dutch,male_form,t1,w1,advocaat,single
doctor/physician,dutch,male_form,t1,w1,arts,single
professor,dutch,male_form,t1,w1,professor,single
governor,dutch,male_form,t1,w1,gouverneur,single
judge,dutch,male_form,t1,w1,rechter,single
sailor,dutch,male_form,t1,w1,zeiler,single
postman/postwoman,dutch,male_form,t1,w1,postbode,single
mechanic,dutch,male_form,t1,w1,monteur,single
hunter,dutch,male_form,t1,w1,jager,single
firefighter,dutch,male_form,t1,w1,brandweerman,single
dancer,malay,male_form,t1,w1,penari,single
nurse,malay,male_form,t1,w1,jururawat,single
singer,malay,male_form,t1,w1,penyanyi,single
cleaner,malay,male_form,t1,w1,pembersih,single
secretary,malay,male_form,t1,w1,setiausaha,single
waiter,malay,male_form,t1,w1,pelayan,single
journalist,malay,male_form,t1,w1,wartawan,single
baker,malay,male_form,t1,w1,pembakar^roti,single
author,malay,male_form,t1,w1,penulis,single
athlete,malay,male_form,t1,w1,atlet,single
lawyer,malay,male_form,t1,w1,peguam,single
doctor/physician,malay,male_form,t1,w1,doktor,single
professor,malay,male_form,t1,w1,profesor,single
governor,malay,male_form,t1,w1,pemerintah,single
judge,malay,male_form,t1,w1,hakim,single
sailor,malay,male_form,t1,w1,pelayar,single
postman/postwoman,malay,male_form,t1,w1,posmen,single
mechanic,malay,male_form,t1,w1,mekanik,single
hunter,malay,male_form,t1,w1,pemburu,single
firefighter,malay,male_form,t1,w1,ahli^bomba,single
dancer,korean,male_form,t1,w1,댄서,single
nurse,korean,male_form,t1,w1,간호사,single
singer,korean,male_form,t1,w1,가수,single
cleaner,korean,male_form,t1,w1,청소부,single
secretary,korean,male_form,t1,w1,비서,single
waiter,korean,male_form,t1,w1,종업원,single
baker,korean,male_form,t1,w1,제빵사,single
author,korean,male_form,t1,w1,작가,single
athlete,korean,male_form,t1,w1,선수,single
lawyer,korean,male_form,t1,w1,변호사,single
doctor/physician,korean,male_form,t1,w1,의사,single
professor,korean,male_form,t1,w1,교수님,single
governor,korean,male_form,t1,w1,지배자,single
judge,korean,male_form,t1,w1,판사,single
sailor,korean,male_form,t1,w1,선원,single
postman/postwoman,korean,male_form,t1,w1,우편집배원,single
mechanic,korean,male_form,t1,w1,정비공,single
hunter,korean,male_form,t1,w1,사냥꾼,single
firefighter,korean,male_form,t1,w1,소방관,single
dancer,norwegian,male_form,t1,w1,danser,single
nurse,norwegian,male_form,t1,w1,skyepleier,single
singer,norwegian,male_form,t1,w1,sanger,single
cleaner,norwegian,male_form,t1,w1,hushjelp,single
secretary,norwegian,male_form,t1,w1,sekretær,single
waiter,norwegian,male_form,t1,w1,oppvarter,single
journalist,norwegian,male_form,t1,w1,journalist,single
baker,norwegian,male_form,t1,w1,baker,single
author,norwegian,male_form,t1,w1,forfatter,single
athlete,norwegian,male_form,t1,w1,atlet,single
lawyer,norwegian,male_form,t1,w1,jurist,single
doctor/physician,norwegian,male_form,t1,w1,doktor,single
professor,norwegian,male_form,t1,w1,professor,single
governor,norwegian,male_form,t1,w1,guvernør,single
judge,norwegian,male_form,t1,w1,dommer,single
sailor,norwegian,male_form,t1,w1,sjømann,single
postman/postwoman,norwegian,male_form,t1,w1,postbud,single
mechanic,norwegian,male_form,t1,w1,mekaniker,single
hunter,norwegian,male_form,t1,w1,jeger,single
firefighter,norwegian,male_form,t1,w1,brannmann,single
dancer,polish,male_form,t1,w1,tańcerz,single
nurse,polish,male_form,t1,w1,pielęgniarz,single
singer,polish,male_form,t1,w1,śpiewasz,single
cleaner,polish,male_form,t1,w1,sprzątacz,single
secretary,polish,male_form,t1,w1,sekretarz,single
waiter,polish,male_form,t1,w1,kelner,single
journalist,polish,male_form,t1,w1,dziennikarz,single
baker,polish,male_form,t1,w1,piekarz,single
author,polish,male_form,t1,w1,pisarz,single
athlete,polish,male_form,t1,w1,atleta,single
lawyer,polish,male_form,t1,w1,prawnik,single
doctor/physician,polish,male_form,t1,w1,doktor,single
professor,polish,male_form,t1,w1,profesor,single
governor,polish,male_form,t1,w1,wojewoda,single
judge,polish,male_form,t1,w1,sędzia,single
sailor,polish,male_form,t1,w1,żeglarz,single
postman/postwoman,polish,male_form,t1,w1,listonosz,single
mechanic,polish,male_form,t1,w1,mechanik,single
hunter,polish,male_form,t1,w1,myśliwy,single
firefighter,polish,male_form,t1,w1,strażak,single
dancer,portuguese,male_form,t1,w1,dançarino,single
nurse,portuguese,male_form,t1,w1,enfermeiro,single
singer,portuguese,male_form,t1,w1,cantor,single
cleaner,portuguese,male_form,t1,w1,faxineiro,single
secretary,portuguese,male_form,t1,w1,secretário,single
waiter,portuguese,male_form,t1,w1,garçom,single
journalist,portuguese,male_form,t1,w1,jornalista,single
baker,portuguese,male_form,t1,w1,padeiro,single
author,portuguese,male_form,t1,w1,autor,single
athlete,portuguese,male_form,t1,w1,atleta,single
lawyer,portuguese,male_form,t1,w1,advogado,single
doctor/physician,portuguese,male_form,t1,w1,médico,single
professor,portuguese,male_form,t1,w1,professor,single
governor,portuguese,male_form,t1,w1,governador,single
judge,portuguese,male_form,t1,w1,juiz,single
sailor,portuguese,male_form,t1,w1,marinheiro,single
postman/postwoman,portuguese,male_form,t1,w1,carteiro,single
mechanic,portuguese,male_form,t1,w1,mecânico,single
hunter,portuguese,male_form,t1,w1,caçador,single
firefighter,portuguese,male_form,t1,w1,bombeiro,single
dancer,turkish,male_form,t1,w1,dansçi,single
nurse,turkish,male_form,t1,w1,hemşire,single
singer,turkish,male_form,t1,w1,şarkıcı,single
cleaner,turkish,male_form,t1,w1,temizleyici,single
secretary,turkish,male_form,t1,w1,sekreter,single
waiter,turkish,male_form,t1,w1,garson,single
journalist,turkish,male_form,t1,w1,gazeteci,single
baker,turkish,male_form,t1,w1,fırıncı,single
author,turkish,male_form,t1,w1,yazar,single
athlete,turkish,male_form,t1,w1,atlet,single
lawyer,turkish,male_form,t1,w1,avukat,single
doctor/physician,turkish,male_form,t1,w1,doktor,single
professor,turkish,male_form,t1,w1,profesör,single
governor,turkish,male_form,t1,w1,vali,single
judge,turkish,male_form,t1,w1,hâkim,single
sailor,turkish,male_form,t1,w1,denizci,single
postman/postwoman,turkish,male_form,t1,w1,postacı,single
mechanic,turkish,male_form,t1,w1,makinist,single
hunter,turkish,male_form,t1,w1,avcı,single
firefighter,turkish,male_form,t1,w1,itfaiyeci,single
dancer,chinese,male_form,t1,w1,舞者,single
nurse,chinese,male_form,t1,w1,护士,single
singer,chinese,male_form,t1,w1,歌手,single
cleaner,chinese,male_form,t1,w1,保洁员,single
secretary,chinese,male_form,t1,w1,秘书,single
waiter,chinese,male_form,t1,w1,服务员,single
journalist,chinese,male_form,t1,w1,记者,single
baker,chinese,male_form,t1,w1,糕点师,single
author,chinese,male_form,t1,w1,作家,single
athlete,chinese,male_form,t1,w1,运动员,single
lawyer,chinese,male_form,t1,w1,律师,single
doctor/physician,chinese,male_form,t1,w1,医生,single
professor,chinese,male_form,t1,w1,教授,single
judge,chinese,male_form,t1,w1,法官,single
sailor,chinese,male_form,t1,w1,船员,single
postman/postwoman,chinese,male_form,t1,w1,邮递员,single
mechanic,chinese,male_form,t1,w1,技工,single
hunter,chinese,male_form,t1,w1,猎人,single
firefighter,chinese,male_form,t1,w1,消防员,single
dancer,german,male_form,t1,w1,tänzer,single
nurse,german,male_form,t1,w1,pfleger,single
singer,german,male_form,t1,w1,sänger,single
cleaner,german,male_form,t1,w1,reinigungskraft,single
secretary,german,male_form,t1,w1,sekretär,single
waiter,german,male_form,t1,w1,bedienung,single
journalist,german,male_form,t1,w1,journalist,single
baker,german,male_form,t1,w1,bäcker,single
author,german,male_form,t1,w1,schriftsteller,single
athlete,german,male_form,t1,w1,sportler,single
lawyer,german,male_form,t1,w1,rechtsanwalt,single
doctor/physician,german,male_form,t1,w1,arzt,single
professor,german,male_form,t1,w1,professor,single
governor,german,male_form,t1,w1,gouverneur,single
judge,german,male_form,t1,w1,richter,single
sailor,german,male_form,t1,w1,seemann,single
postman/postwoman,german,male_form,t1,w1,briefträger,single
mechanic,german,male_form,t1,w1,mechaniker,single
hunter,german,male_form,t1,w1,jäger,single
firefighter,german,male_form,t1,w1,feuerwehrmann,single
dancer,english,female_form,t1,w1,dancer,single
nurse,english,female_form,t1,w1,nurse,single
singer,english,female_form,t1,w1,singer,single
cleaner,english,female_form,t1,w1,cleaner,single
secretary,english,female_form,t1,w1,secretary,single
waiter,english,female_form,t1,w1,waitress,single
journalist,english,female_form,t1,w1,journalist,single
baker,english,female_form,t1,w1,baker,single
author,english,female_form,t1,w1,author,single
athlete,english,female_form,t1,w1,athlete,single
lawyer,english,female_form,t1,w1,lawyer,single
doctor/physician,english,female_form,t1,w1,doctor,single
professor,english,female_form,t1,w1,professor,single
governor,english,female_form,t1,w1,governor,single
judge,english,female_form,t1,w1,judge,single
sailor,english,female_form,t1,w1,sailor,single
postman/postwoman,english,female_form,t1,w1,postwoman,single
mechanic,english,female_form,t1,w1,mechanic,single
hunter,english,female_form,t1,w1,hunter,single
firefighter,english,female_form,t1,w1,firefighter,single
dancer,danish,female_form,t1,w1,danserinde,single
nurse,danish,female_form,t1,w1,sygeplejerske,single
singer,danish,female_form,t1,w1,sangerinde,single
cleaner,danish,female_form,t1,w1,rengøringsdame,single
secretary,danish,female_form,t1,w1,sekratær,single
waiter,danish,female_form,t1,w1,tjenerinde,single
journalist,danish,female_form,t1,w1,journalist,single
baker,danish,female_form,t1,w1,bager,single
author,danish,female_form,t1,w1,forfatterinde,single
athlete,danish,female_form,t1,w1,atlet,single
lawyer,danish,female_form,t1,w1,advokat,single
doctor/physician,danish,female_form,t1,w1,læge,single
professor,danish,female_form,t1,w1,porfessor,single
governor,danish,female_form,t1,w1,guvernør,single
judge,danish,female_form,t1,w1,dommer,single
sailor,danish,female_form,t1,w1,sejler,single
postman/postwoman,danish,female_form,t1,w1,postbud,single
mechanic,danish,female_form,t1,w1,mekaniker,single
hunter,danish,female_form,t1,w1,jæger,single
firefighter,danish,female_form,t1,w1,brandmand,single
dancer,spanish,female_form,t1,w1,la^bailarín(ina),single
nurse,spanish,female_form,t1,w1,la^enfermera,single
singer,spanish,female_form,t1,w1,la^cantante,single
cleaner,spanish,female_form,t1,w1,la^limpiadora,single
secretary,spanish,female_form,t1,w1,la^secretaria,single
waiter,spanish,female_form,t1,w1,la^camarera,single
journalist,spanish,female_form,t1,w1,la^periodista,single
baker,spanish,female_form,t1,w1,la^panadera,single
author,spanish,female_form,t1,w1,la^autora,single
athlete,spanish,female_form,t1,w1,la^atleta,single
lawyer,spanish,female_form,t1,w1,la^abogada,single
doctor/physician,spanish,female_form,t1,w1,la^doctora,single
professor,spanish,female_form,t1,w1,la^profesora,single
governor,spanish,female_form,t1,w1,la^gobernadora,single
judge,spanish,female_form,t1,w1,la^jueza,single
sailor,spanish,female_form,t1,w1,la^marinera,single
postman/postwoman,spanish,female_form,t1,w1,la^cartera,single
mechanic,spanish,female_form,t1,w1,la^mecánica,single
hunter,spanish,female_form,t1,w1,la^cazadora,single
firefighter,spanish,female_form,t1,w1,la^bombera,single
dancer,farsi,female_form,t1,w1,raghs^e^zan,single
nurse,farsi,female_form,t1,w1,parastâr^e^zan,single
singer,farsi,female_form,t1,w1,khânande^e^zan,single
cleaner,farsi,female_form,t1,w1,nezâfatchi^e^zan,single
secretary,farsi,female_form,t1,w1,sânavi^e^zan,single
waiter,farsi,female_form,t1,w1,pishkhedmate^zan,single
journalist,farsi,female_form,t1,w1,ruzhâme^negâr^zan,single
baker,farsi,female_form,t1,w1,nânvâ^e^zan,single
author,farsi,female_form,t1,w1,nevisande^e^zan,single
athlete,farsi,female_form,t1,w1,varzeshkâr^e^zan,single
lawyer,farsi,female_form,t1,w1,vakil^e^zan,single
doctor/physician,farsi,female_form,t1,w1,pezeshk^e^zan,single
governor,farsi,female_form,t1,w1,farmândâr^e^zan,single
judge,farsi,female_form,t1,w1,ghâzi^e^zan,single
sailor,farsi,female_form,t1,w1,malavân^e^zan,single
postman/postwoman,farsi,female_form,t1,w1,post^e^zan,single
mechanic,farsi,female_form,t1,w1,mekâniki^e^zan,single
hunter,farsi,female_form,t1,w1,shekârchi^e^zan,single
firefighter,farsi,female_form,t1,w1,mamure^âtash^neshani^e^zan,single
dancer,finnish,female_form,t1,w1,tanssija,single
nurse,finnish,female_form,t1,w1,sairaanhoitaja,single
singer,finnish,female_form,t1,w1,laulaja,single
cleaner,finnish,female_form,t1,w1,puhdistusaine,single
secretary,finnish,female_form,t1,w1,ministeri,single
waiter,finnish,female_form,t1,w1,tarjoilijatar,single
journalist,finnish,female_form,t1,w1,toimittaja,single
baker,finnish,female_form,t1,w1,leipuri,single
author,finnish,female_form,t1,w1,tekijä,single
athlete,finnish,female_form,t1,w1,atleetti,single
lawyer,finnish,female_form,t1,w1,asianajaja,single
doctor/physician,finnish,female_form,t1,w1,lääkäri,single
professor,finnish,female_form,t1,w1,opettaja,single
governor,finnish,female_form,t1,w1,kuvernööri,single
judge,finnish,female_form,t1,w1,tuomari,single
sailor,finnish,female_form,t1,w1,merimies,single
postman/postwoman,finnish,female_form,t1,w1,postinjakaja,single
mechanic,finnish,female_form,t1,w1,mekaanikko,single
hunter,finnish,female_form,t1,w1,metsästäjä,single
firefighter,finnish,female_form,t1,w1,palomies,single
dancer,french,female_form,t1,w1,danseuse,single
nurse,french,female_form,t1,w1,infirmière,single
singer,french,female_form,t1,w1,chanteuse,single
cleaner,french,female_form,t1,w1,femme^de^ménage,single
secretary,french,female_form,t1,w1,secrétaire,single
waiter,french,female_form,t1,w1,serveuse,single
journalist,french,female_form,t1,w1,journaliste,single
baker,french,female_form,t1,w1,boulangère,single
author,french,female_form,t1,w1,auteur,single
athlete,french,female_form,t1,w1,athlète,single
lawyer,french,female_form,t1,w1,avocate,single
doctor/physician,french,female_form,t1,w1,docteur,single
professor,french,female_form,t1,w1,professeur,single
governor,french,female_form,t1,w1,directrice,single
judge,french,female_form,t1,w1,juge,single
sailor,french,female_form,t1,w1,pêcheur,single
postman/postwoman,french,female_form,t1,w1,facteur,single
mechanic,french,female_form,t1,w1,mécanicienne,single
hunter,french,female_form,t1,w1,chasseuse,single
firefighter,french,female_form,t1,w1,pompier,single
dancer,hebrew,female_form,t1,w1,רקדנית,single
nurse,hebrew,female_form,t1,w1,אחות,single
singer,hebrew,female_form,t1,w1,זמרת,single
cleaner,hebrew,female_form,t1,w1,מנקה,single
secretary,hebrew,female_form,t1,w1,מזכירה,single
waiter,hebrew,female_form,t1,w1,מלצרית,single
journalist,hebrew,female_form,t1,w1,עיתונאית,single
baker,hebrew,female_form,t1,w1,אופה,single
author,hebrew,female_form,t1,w1,סופרת,single
athlete,hebrew,female_form,t1,w1,ספורטאית,single
lawyer,hebrew,female_form,t1,w1,עורכת^דין,single
doctor/physician,hebrew,female_form,t1,w1,רופאה,single
professor,hebrew,female_form,t1,w1,פרופסורית,single
governor,hebrew,female_form,t1,w1,מושלת,single
judge,hebrew,female_form,t1,w1,שופטת,single
sailor,hebrew,female_form,t1,w1,מלח,single
postman/postwoman,hebrew,female_form,t1,w1,דורית,single
mechanic,hebrew,female_form,t1,w1,מכונאית,single
hunter,hebrew,female_form,t1,w1,ציידת,single
firefighter,hebrew,female_form,t1,w1,כבאית,single
dancer,italian,female_form,t1,w1,ballerina,single
nurse,italian,female_form,t1,w1,infermiera,single
singer,italian,female_form,t1,w1,cantante,single
cleaner,italian,female_form,t1,w1,inserviente,single
secretary,italian,female_form,t1,w1,segretaria,single
waiter,italian,female_form,t1,w1,cameriera,single
journalist,italian,female_form,t1,w1,giornalista,single
baker,italian,female_form,t1,w1,fornaia,single
author,italian,female_form,t1,w1,autrice,single
athlete,italian,female_form,t1,w1,atleta,single
lawyer,italian,female_form,t1,w1,avvocatessa,single
doctor/physician,italian,female_form,t1,w1,dottoressa,single
professor,italian,female_form,t1,w1,professoressa,single
governor,italian,female_form,t1,w1,governatrice,single
judge,italian,female_form,t1,w1,giudice,single
sailor,italian,female_form,t1,w1,marinaio,single
postman/postwoman,italian,female_form,t1,w1,postina,single
mechanic,italian,female_form,t1,w1,meccanico,single
hunter,italian,female_form,t1,w1,cacciatrice,single
firefighter,italian,female_form,t1,w1,pompiere,single
dancer,japanese,female_form,t1,w1,ダンサー^dansaa,single
nurse,japanese,female_form,t1,w1,看護婦^kangofu,single
singer,japanese,female_form,t1,w1,歌手^kashu,single
cleaner,japanese,female_form,t1,w1,清掃員^seisouin,single
secretary,japanese,female_form,t1,w1,秘書^hisho,single
waiter,japanese,female_form,t1,w1,ウェイタレス^ueitaresu,single
journalist,japanese,female_form,t1,w1,記者^kisha,single
baker,japanese,female_form,t1,w1,パン屋^panya,single
author,japanese,female_form,t1,w1,作者^sakusha,single
athlete,japanese,female_form,t1,w1,選手^senshu,single
lawyer,japanese,female_form,t1,w1,弁護士^bengoshi,single
doctor/physician,japanese,female_form,t1,w1,医者^isha,single
professor,japanese,female_form,t1,w1,教授^kyoujyu,single
governor,japanese,female_form,t1,w1,知事^chiji,single
judge,japanese,female_form,t1,w1,裁判官^saibankan,single
sailor,japanese,female_form,t1,w1,船員^senin,single
postman/postwoman,japanese,female_form,t1,w1,郵便配達員^yuubin^haitasuin,single
mechanic,japanese,female_form,t1,w1,メカニック^mekanikku,single
hunter,japanese,female_form,t1,w1,猟師^ryoushi,single
firefighter,japanese,female_form,t1,w1,消防士^shouboushi,single
dancer,dutch,female_form,t1,w1,danseres,single
nurse,dutch,female_form,t1,w1,zuster,single
singer,dutch,female_form,t1,w1,zangeres,single
cleaner,dutch,female_form,t1,w1,schoonmaakster,single
secretary,dutch,female_form,t1,w1,secretaresse,single
waiter,dutch,female_form,t1,w1,serveerster,single
journalist,dutch,female_form,t1,w1,journalist,single
baker,dutch,female_form,t1,w1,bakker,single
author,dutch,female_form,t1,w1,schrijfster,single
athlete,dutch,female_form,t1,w1,atlete,single
lawyer,dutch,female_form,t1,w1,advocaat,single
doctor/physician,dutch,female_form,t1,w1,arts,single
professor,dutch,female_form,t1,w1,professor,single
