country_code,country_name,prop_male,log_age,education,overall_iat_D_score,order,explicit_dif,es_iat_sex_age_order_explicit_resid,es_iat_sex_age_order_implicit_resid,median_country_age,age_ci_lower,age_ci_upper,mean_age,per_women_stem_2012_2017,n_participants
MX,Mexico,0.4013605442176871,3.268908865005867,1,0.34784308621312165,1.4936831875607386,1.5715695952615991,-9.180351399869968e-5,-0.024581332208243555,28.3,27.361516034985424,28.6379980563654,28.000971817298346,16.129925,1029
MY,Malaysia,0.3100338218714769,3.204393549596736,1,0.3398840066728922,1.4937993235625704,1.551044083526682,-0.013323080043276023,-0.03734987682721718,28.5,25.397970687711386,26.591882750845546,25.98985343855693,21.699205,887
NL,Netherlands,0.3535648025443944,3.3601811945527857,1,0.4243450539266697,1.5056983832494037,1.7223118279569893,0.14799188854229173,0.04020139645042484,42.6,30.20056983832494,30.886853962364164,30.54836999734959,6.1556049999999995,3773
NO,Norway,0.3596168017686072,3.296120761226028,1,0.35447490748967103,1.505526897568165,1.2889221556886228,-0.28215741330358574,-0.02489874767198652,39.2,27.832645541635962,28.742096536477522,28.297715549005158,9.210424,1357
NZ,New Zealand,0.29247531494722506,3.296935883103054,1,0.3841548949002252,1.5045965270684372,1.627505183137526,0.05898834715316348,-0.001794557100982362,37.9,28.716368743615934,29.597276132107595,29.128021790943137,11.63959,2937
PH,Philippines,0.26742976066597296,3.279266219522063,1,0.3326103275671981,1.505723204994797,1.4470338983050848,-0.11953410677977583,-0.054758919631812696,23.5,27.78142559833507,29.17705515088449,28.458896982310094,17.77721,961
PL,Poland,0.3328358208955224,3.2958245031140554,1,0.3638731560381722,1.508955223880597,1.5526717557251908,-0.017376997111489767,-0.01842782150885679,40.7,27.44858208955224,28.649477611940295,28.01492537313433,13.254754,670
RO,Romania,0.2910602910602911,3.2152853801661267,1,0.3876891101898121,1.4927234927234927,1.6109936575052854,0.04663752647595598,0.007978577268914502,41.1,25.12245322245322,26.490904365904367,25.8004158004158,19.675815,481
SE,Sweden,0.42738589211618255,3.364938242378117,1,0.35729978777381466,1.5136007376671277,1.322248243559719,-0.25519413020373233,-0.02060511444003361,41.2,30.199619640387276,31.055843706777317,30.627939142461965,14.3675675,2169
SG,Singapore,0.396943719716735,3.2932711691249126,1,0.36368365768139,1.490122996645546,1.8031107738998482,0.23031316729195958,-0.010433998796516089,34.6,28.18596720089452,28.97699403652628,28.56802087215803,22.29334,2683
TR,Turkey,0.29515418502202645,3.2001419017956647,NaN,0.3498707650374456,1.500734214390602,1.3502235469448585,-0.2134528589827861,-0.02918063525166718,30.9,25.115748898678415,26.36424375917768,25.734214390602055,14.919405000000001,681
TW,Taiwan,0.33671742808798644,3.200548891828822,1,0.3611334648760154,1.4873096446700507,1.2827225130890052,-0.2827799711242087,-0.012636066471611597,40.7,25.033798646362097,26.340143824027074,25.64128595600677,NA,591
US,United States of America,0.2763724794886314,3.242786608697003,1,0.3848196882123325,1.5074999129515296,1.5674408351454554,0.0024526378795176494,5.37563470806575e-4,38.1,27.495921870790745,27.554826471164965,27.527154541272886,9.207398,545673
ZA,South Africa,0.3719599427753934,3.4014145033588585,NaN,0.3634447970814168,1.5278969957081545,1.7670043415340086,0.19032982989638644,-0.023579779074975743,27.1,30.89116595135909,32.53841201716738,31.716738197424892,13.145153333333333,699
