occupation,wiki_lang_code,human_mean_rating
paediatricians,de,55
painting artists,de,54.61
pedestrians,de,45.79
pharmacists,de,47.76
physicians,de,61.45
physicists,de,82.5
physics students,de,81.32
pilots,de,76.05
poets,de,56.32
police officers,de,68.95
politicians,de,69.34
postmen,de,66.71
presidents,de,86.58
prisoners,de,73.95
professors,de,73.42
proofreaders,de,49.7
psychology students,de,24.74
publishers,de,64.34
reception-classchildren,de,48.42
relatives,de,48.82
sales assistants,de,32.5
schoolchildren,de,48.03
secretaries,de,18.42
shoemakers,de,76.97
singers,de,45.26
skiers,de,53.29
social workers,de,40.79
solarium users,de,33.82
spectators,de,40.66
spies,de,67.24
statisticians,de,71.84
surgeons,de,74.87
swimmers,de,50.13
technicians,de,77.5
tennis players,de,51.58
trade unionists,de,63.16
trainees,de,46.58
violonists,de,41.58
waiters,de,40.39
wine connoisseurs,de,63.03
workers,de,60.13
writers,de,53.68
