Appendix D						
"Mean rating and standard deviation of each role name split by language, Study 2"						
						
	English		French		German	
Librarians	35	-16.07	29.7	-14.14	35.25	-15.69
Lorry drivers	82.75	-15.5	88.66	-9.52	82.2	-10.68
Magicians	74.9	-12.06	75.37	-13.85	73.28	-14.8
Managers	62.4	-15.59	72.79	16.10)	74.31	-12.44
Mathematicians	74.9	-12.06	78.68	-12.45	77.97	-10.47
Mayors	75.2	-13.89	76.12	-12.18	78.28	-13.53
Mechanics	85.2	-10.35	87.21	-9.28	80.52	-10.5
Members of parliament	74.08	-9.56	69.71	-16.75	69.83	-11.52
Models	28.43	-14.33	29.85	-13.87	32.71	-13.24
Murderers	74.4	-13.12	76.72	-15.11	74.41	-13.68
Musicians	53.92	-12.34	53.68	-9.45	51.69	-6.73
Neighbours	50.78	-15.47	49.26	-9.51	51.19	-4.94
Nurses	29.02	-21.28	28.53	-15.77	31.4	-16.2
Office workers	47.65	-13.94	42.94	-16.21	39.15	14.30)
Paediatricians	45.49	-13.46	57.27	-18.19	53.22	-15.25
Painting artists	49.02	-13.15	53.97	-14.16	55.17	-14.66
Pedestrians	49.8	-3.74	49.7	-11.93	46.78	-8.6
Pharmacists	57.06	-18.25	48.96	-19	48.25	-17.84
Physicians	69.02	-16.03	62.42	-12.03	61.69	-10.69
Physicists	73.53	-12.62	79.4	-12.66	79.32	-15.63
Physics students	72.94	-12.21	77.5	-12.97	79.15	-12.9
Pilots	77.84	-13.76	83.38	-12.29	74.66	-14.54
Poets	57.25	-13.28	64.48	-14.7	61.69	-16.42
Police officers	68.04	-12.33	74.26	-11.24	70.86	-11.74
Politicians	77.14	-14.43	73.68	-12.21	68.68	-11.44
Postmen	77.84	-14.87	70.6	-15.85	65.42	-13.56
Presidents	86.8	-16.96	84.26	-14.18	85.93	-9.85
Prisoners	71.57	-12.06	74.12	-12.49	72.03	-13.1
Professors	65.88	-13.44	57.21	-11.44	72.88	-11.75
Proofreaders	50.39	-15.74	52.39	-12.56	53.9	-12.6
Psychology students	31.37	-18.11	27.31	-16.38	31.53	-10.96
Publishers	57.45	-14.4	63.09	-15.28	63.79	-13.09
Reception-classchildren	45.69	-12.04	48.38	-6.37	50	-4.96
Relatives	52.04	-8.41	46.18	-11.33	49.83	-5.08
Sales assistants	32.55	-13.54	39.1	-16.49	38.81	-13.78
Schoolchildren	52.75	-12.97	46.76	-6.57	48.31	-5.62
Secretaries	21.76	-13.81	16.42	-12.76	25.42	-13.3
Shoemakers	68.04	-18.87	80.91	-14.65	78.64	-12.1
Singers	44.8	-11.47	46.72	-10.06	46.44	-9.96
Skiers	55.88	-9.42	52.69	-7.5	52.71	-7.84
Social workers	27.84	-12.05	33.68	-13.7	42.88	-16.09
Solarium users	33.33	-18.34	39.7	-21.41	35.93	-14.16
Spectators	54.71	-12.86	48.21	-9.36	49.15	-6.77
Spies	68.04	-17.21	72.35	-17.71	70.34	-16.29
Statisticians	71.6	-13.76	69.41	-17.61	71.69	-13.54
Surgeons	69.41	-11.73	75.07	-16.55	75.76	-11.92
Swimmers	53.14	-9.48	53.73	-7.95	53.56	-10.47
Technicians	72.75	-15.63	75.61	-14.69	74.07	-14.52
Tennis players	56.27	-10.76	55	-10.44	52.37	-8.17
Trade unionists	60.39	-13.85	58.96	-18.84	65.25	-16.44
Trainees	49.41	-8.81	48.09	-8.68	48.64	-6.55
Violonists	42.35	-13.8	44.48	-14.9	47.12	-14.03
Waiters	54.51	-25.79	39.26	-13.96	46.21	-14.24
Wine connoisseurs	59.4	-18.12	66.47	-12.79	62.2	-16.72
Workers	59.02	-13.6	79.12	-19.98	62.54	-15.71
Writers	51.2	-9.61	54.93	-12.35	50.52	-7.36
						
