country_name,gdi_index,,,,,,,,,,,,,,,,,,,,,,,
Tonga,0.969,,,,,,,,,,,,,,,,,,,,,,,
Libya,0.950,,,,,,,,,,,,,,,,,,,,,,,
Belize,0.967,,,,,,,,,,,,,,,,,,,,,,,
Samoa,..,,,,,,,,,,,,,,,,,,,,,,,
Maldives,0.937,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,0.946,,,,,,,,,,,,,,,,,,,,,,,
Moldova (Republic of),1.010,,,,,,,,,,,,,,,,,,,,,,,
Botswana,0.984,,,,,,,,,,,,,,,,,,,,,,,
Gabon,0.923,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,0.966,,,,,,,,,,,,,,,,,,,,,,,
Egypt,0.884,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,..,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,0.926,,,,,,,,,,,,,,,,,,,,,,,
"Palestine, State of",0.867,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,1.010,,,,,,,,,,,,,,,,,,,,,,,
Philippines,1.001,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,0.958,,,,,,,,,,,,,,,,,,,,,,,
Bolivia (Plurinational State of),0.934,,,,,,,,,,,,,,,,,,,,,,,
South Africa,0.962,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,0.967,,,,,,,,,,,,,,,,,,,,,,,
Iraq,0.804,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,..,,,,,,,,,,,,,,,,,,,,,,,
Morocco,0.826,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,0.961,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,0.959,,,,,,,,,,,,,,,,,,,,,,,
Namibia,0.986,,,,,,,,,,,,,,,,,,,,,,,
Guyana,0.943,,,,,,,,,,,,,,,,,,,,,,,
Micronesia (Federated States of),..,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,0.930,,,,,,,,,,,,,,,,,,,,,,,
Honduras,0.942,,,,,,,,,,,,,,,,,,,,,,,
India,0.819,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,0.900,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,0.858,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,..,,,,,,,,,,,,,,,,,,,,,,,
Congo,0.932,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,..,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,..,,,,,,,,,,,,,,,,,,,,,,,
Lao People's Democratic Republic,0.924,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,0.927,,,,,,,,,,,,,,,,,,,,,,,
Ghana,0.899,,,,,,,,,,,,,,,,,,,,,,,
Zambia,0.924,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,0.907,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,0.892,,,,,,,,,,,,,,,,,,,,,,,
Nepal,0.925,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,..,,,,,,,,,,,,,,,,,,,,,,,
Kenya,0.919,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,0.742,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,0.853,,,,,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,0.851,,,,,,,,,,,,,,,,,,,,,,,
Angola,..,,,,,,,,,,,,,,,,,,,,,,,
Tanzania (United Republic of),0.937,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,0.847,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,0.853,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,..,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,0.927,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,..,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,0.818,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,0.948,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,0.992,,,,,,,,,,,,,,,,,,,,,,,
Comoros,0.817,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,0.962,,,,,,,,,,,,,,,,,,,,,,,
Senegal,0.886,,,,,,,,,,,,,,,,,,,,,,,
Haiti,..,,,,,,,,,,,,,,,,,,,,,,,
Uganda,0.878,,,,,,,,,,,,,,,,,,,,,,,
Sudan,0.839,,,,,,,,,,,,,,,,,,,,,,,
Togo,0.841,,,,,,,,,,,,,,,,,,,,,,,
Benin,0.858,,,,,,,,,,,,,,,,,,,,,,,
Yemen,0.737,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.609,,,,,,,,,,,,,,,,,,,,,,,
Malawi,0.921,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,0.814,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,..,,,,,,,,,,,,,,,,,,,,,,,
Gambia,0.878,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,0.842,,,,,,,,,,,,,,,,,,,,,,,
Mali,0.786,,,,,,,,,,,,,,,,,,,,,,,
Congo (Democratic Republic of the),0.832,,,,,,,,,,,,,,,,,,,,,,,
Liberia,0.830,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,..,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,..,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,0.871,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,0.879,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,..,,,,,,,,,,,,,,,,,,,,,,,
Guinea,0.784,,,,,,,,,,,,,,,,,,,,,,,
Burundi,0.919,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,0.874,,,,,,,,,,,,,,,,,,,,,,,
Chad,0.765,,,,,,,,,,,,,,,,,,,,,,,
Niger,0.732,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,0.776,,,,,,,,,,,,,,,,,,,,,,,
