Country,CPI2016,Rank,Region,WB Code,World Bank CPIA,World Economic Forum EOS,Global Insight Country Risk Ratings,Bertelsmann Foundation Transformation Index,African Development Bank CPIA,IMD World Competitiveness Yearbook,Bertelsmann Foundation Sustainable Governance Index,World Justice Project Rule of Law Index,PRS International Country Risk Guide,Varities of Democracy Project,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,PERC Asia Risk Guide,Country (2),CPI2016 (2),Rank (2),Number of Sources,Std Error 2016,Lower CI,Upper CI,Min,Max,OECD,G20,BRICS,EU,Arab states,
Estonia,70,22,WE/EU,EST,,76,71,73,,66,80,70,67,69,54,70,,Estonia,70,22,10,2.16,66,73,54,80,y,,,y,,
France,69,23,WE/EU,FRA,,69,71,,,73,52,69,76,,72,,,France,69,23,7,2.97,64,74,52,76,y,y,,y,,
Bahamas,66,24,AME,BHS,,,59,,,,,62,76,,,,,Bahamas,66,24,3,5.2,57,74,59,76,,,,,,
Chile,66,24,AME,CHL,,64,59,73,,54,61,65,76,,72,,,Chile,66,24,8,2.65,61,70,54,76,y,,,,,
United Arab Emirates,66,24,MENA,ARE,,86,47,53,,81,,73,67,,54,,,United Arab Emirates,66,24,7,5.7,56,75,47,86,,,,,y,
Bhutan,65,27,AP,BTN,69,59,71,65,,,,,,64,,,,Bhutan,65,27,5,2.12,62,69,59,71,,,,,,
Israel,64,28,MENA,ISR,,69,59,,,64,61,,58,,72,,,Israel,64,28,6,2.27,60,68,58,72,y,,,,,
Poland,62,29,WE/EU,POL,,56,59,69,,60,71,66,58,66,54,59,,Poland,62,29,10,1.77,59,65,54,71,y,,,y,,
Portugal,62,29,WE/EU,PRT,,59,59,,,51,71,68,67,67,54,,,Portugal,62,29,8,2.58,58,66,51,71,y,,,y,,
Barbados,61,31,AME,BRB,,48,71,,,,,65,,,,,,Barbados,61,31,3,6.91,50,73,48,71,,,,,,
Taiwan,61,31,AP,TWN,,68,71,77,,65,,,50,50,54,,51,Taiwan,61,31,8,3.79,55,67,50,77,,,,,,
Qatar,61,31,MENA,QAT,,82,47,40,,80,,,67,39,72,,,Qatar,61,31,7,7.02,49,72,39,82,,,,,y,
Slovenia,61,31,WE/EU,SVN,,58,71,65,,46,61,59,58,67,54,70,,Slovenia,61,31,10,2.44,57,65,46,71,y,,,y,,
Saint Lucia,60,35,AME,LCA,69,,47,,,,,65,,,,,,Saint Lucia,60,35,3,6.8,49,71,47,69,,,,,,
Saint Vincent and The Grenadines,60,35,AME,VCT,58,,59,,,,,63,,,,,,Saint Vincent and The Grenadines,60,35,3,1.66,57,63,58,63,,,,,,
Botswana,60,35,SSA,BWA,,52,59,57,,,,55,67,,72,,,Botswana,60,35,6,3.1,55,66,52,72,,,,,,
Dominica,59,38,AME,DMA,58,,59,,,,,61,,,,,,Dominica,59,38,3,0.85,58,60,58,61,,,,,,
Cape Verde,59,38,SSA,CPV,69,49,59,,,,,,,,,,,Cape Verde,59,38,3,5.72,50,68,49,69,,,,,,
Lithuania,59,38,WE/EU,LTU,,56,59,65,,53,61,,58,64,54,59,,Lithuania,59,38,9,1.36,57,61,53,65,,,,y,,
Costa Rica,58,41,AME,CRI,,46,59,65,,,,61,50,69,54,,,Costa Rica,58,41,7,3.17,53,63,46,69,,,,,,
Brunei,58,41,AP,BRN,,61,71,,,,,,41,,,,,Brunei,58,41,3,8.85,43,72,41,71,,,,,,
Spain,58,41,WE/EU,ESP,,51,59,,,38,61,65,58,,72,,,Spain,58,41,7,4.09,51,65,38,72,y,,,y,,
Georgia,57,44,ECA,GEO,,68,47,53,,,,61,,65,,49,,Georgia,57,44,6,3.61,51,63,47,68,,,,,,
Latvia,57,44,WE/EU,LVA,,48,59,57,,45,71,,50,67,54,65,,Latvia,57,44,9,2.96,52,62,45,71,y,,,y,,
Grenada,56,46,AME,GRD,58,,47,,,,,62,,,,,,Grenada,56,46,3,4.63,48,63,47,62,,,,,,
Cyprus,55,47,WE/EU,CYP,,49,47,,,,42,,67,,72,,,Cyprus,55,47,5,5.94,46,65,42,72,,,,y,,
Czech Republic,55,47,WE/EU,CZE,,46,59,65,,47,52,62,50,,54,59,,Czech Republic,55,47,9,2.24,51,59,46,65,y,,,y,,
Malta,55,47,WE/EU,MLT,,54,59,,,,52,,58,,54,,,Malta,55,47,5,1.39,53,58,52,59,,,,y,,
Mauritius,54,50,SSA,MUS,,53,59,49,,,,,,,54,,,Mauritius,54,50,4,2.14,50,57,49,59,,,,,,
Rwanda,54,50,SSA,RWA,47,76,59,40,53,,,,,49,,,,Rwanda,54,50,6,5.07,46,62,40,76,,,,,,
Korea (South),53,52,AP,KOR,,49,47,57,,47,52,69,50,,54,,50,Korea (South),53,52,9,2.33,49,57,47,69,y,y,,,,
Namibia,52,53,SSA,NAM,,49,59,49,,,,,50,,54,,,Namibia,52,53,5,2.03,49,55,49,59,,,,,,
Slovakia,51,54,WE/EU,SVK,,34,59,61,,45,52,,50,,54,57,,Slovakia,51,54,8,3.09,46,57,34,61,y,,,y,,
Malaysia,49,55,AP,MYS,,56,59,49,,52,,41,41,,54,,44,Malaysia,49,55,8,2.46,45,53,41,59,,,,,,
Croatia,49,55,WE/EU,HRV,,39,47,61,,38,52,50,50,,54,52,,Croatia,49,55,9,2.39,45,53,38,61,,,,y,,
Jordan,48,57,MENA,JOR,,60,34,40,,53,,50,50,40,54,,,Jordan,48,57,8,3.03,43,53,34,60,,,,,y,
Hungary,48,57,WE/EU,HUN,,43,59,53,,37,33,49,50,,54,54,,Hungary,48,57,9,2.89,43,53,33,59,y,,,y,,
Romania,48,57,WE/EU,ROM,,37,59,61,,37,52,49,41,52,37,57,,Romania,48,57,10,3,43,53,37,61,,,,y,,
Cuba,47,60,AME,CUB,,,47,40,,,,,41,53,54,,,Cuba,47,60,5,2.9,42,52,40,54,,,,,,
Italy,47,60,WE/EU,ITA,,47,59,,,39,52,57,41,,37,,,Italy,47,60,7,3.34,42,53,37,59,y,y,,y,,
Saudi Arabia,46,62,MENA,SAU,,66,22,36,,,,,50,,54,,,Saudi Arabia,46,62,5,7.54,33,58,22,66,,y,,,y,
Sao Tome and Principe,46,62,SSA,STP,47,,47,,44,,,,,,,,,Sao Tome and Principe,46,62,3,0.93,44,47,44,47,,,,,,
Suriname,45,64,AME,SUR,,,34,,,,,47,32,65,,,,Suriname,45,64,4,7.53,32,57,32,65,,,,,,
Montenegro,45,64,ECA,MON,,39,47,53,,,,,,,,44,,Montenegro,45,64,4,2.89,41,50,39,53,,,,,,
Oman,45,64,MENA,OMN,,67,47,24,,,,,50,,37,,,Oman,45,64,5,7.07,33,56,24,67,,,,,y,
Senegal,45,64,SSA,SEN,47,36,47,53,44,,,43,32,,54,,,Senegal,45,64,8,2.63,40,49,32,54,,,,,,
South Africa,45,64,SSA,ZAF,,49,47,45,,33,,47,41,,54,,,South Africa,45,64,7,2.55,41,49,33,54,,y,y,,,
Greece,44,69,WE/EU,GRC,,42,47,,,37,52,53,41,,37,,,Greece,44,69,7,2.5,40,48,37,53,y,,,y,,
Bahrain,43,70,MENA,BHR,,66,34,36,,,,,41,,37,,,Bahrain,43,70,5,5.96,33,53,34,66,,,,,y,
Ghana,43,70,SSA,GHA,47,30,34,45,53,,,35,50,42,54,,,Ghana,43,70,9,2.89,39,48,30,54,,,,,,
Solomon Islands,42,72,AP,SLB,35,,47,,,,,,,44,,,,Solomon Islands,42,72,3,3.34,36,47,35,47,,,,,,
Serbia,42,72,ECA,SCG,,39,47,57,,,,32,32,,37,52,,Serbia,42,72,7,3.69,36,48,32,57,,,,,,
Burkina Faso,42,72,SSA,BFA,47,,47,32,44,,,34,41,49,,,,Burkina Faso,42,72,7,2.47,38,46,32,49,,,,,,
Turkey,41,75,ECA,TUR,,49,47,45,,46,33,39,41,36,37,,,Turkey,41,75,9,1.8,38,44,33,49,y,y,,,,
Kuwait,41,75,MENA,KWT,,43,34,40,,,,,50,,37,,,Kuwait,41,75,5,2.67,37,45,34,50,,,,,y,
Tunisia,41,75,MENA,TUN,,37,47,28,,,,37,41,61,37,,,Tunisia,41,75,7,3.9,35,47,28,61,,,,,y,
Bulgaria,41,75,WE/EU,BGR,,38,34,53,,37,42,38,42,,37,52,,Bulgaria,41,75,9,2.2,38,45,34,53,,,,y,,
Brazil,40,79,AME,BRA,,28,47,61,,25,,37,32,51,37,,,Brazil,40,79,8,4.34,33,47,25,61,,y,y,,,
China,40,79,AP,CHN,,53,47,36,,42,,37,32,,37,,39,China,40,79,8,2.39,37,44,32,53,,y,y,,,
India,40,79,AP,IND,,54,34,45,,39,,34,41,,37,,34,India,40,79,8,2.47,36,44,34,54,,y,y,,,
Belarus,40,79,ECA,BLR,,,47,28,,,,56,32,46,37,30,,Belarus,40,79,7,3.93,33,46,28,56,,,,,,
Jamaica,39,83,AME,JAM,,41,34,36,,,,47,41,,37,,,Jamaica,39,83,6,1.84,36,42,34,47,,,,,,
Albania,39,83,ECA,ALB,,41,47,36,,,,30,41,,37,41,,Albania,39,83,7,1.99,36,42,30,47,,,,,,
Bosnia and Herzegovina,39,83,ECA,BIH,,34,47,40,,,,37,,37,37,44,,Bosnia and Herzegovina,39,83,7,1.7,37,42,34,47,,,,,,
Lesotho,39,83,SSA,LSO,35,20,59,40,38,,,,,,,,,Lesotho,39,83,5,6.15,29,49,20,59,,,,,,
Panama,38,87,AME,PAN,,43,47,36,,,,33,32,,37,,,Panama,38,87,6,2.29,34,42,32,47,,,,,,
Mongolia,38,87,AP,MNG,47,38,47,36,,35,,38,32,34,37,,,Mongolia,38,87,9,1.7,35,41,32,47,,,,,,
Zambia,38,87,SSA,ZMB,35,31,34,28,41,,,39,41,59,37,,,Zambia,38,87,9,2.91,34,43,28,59,,,,,,
Colombia,37,90,AME,COL,,32,47,45,,28,,37,41,34,37,,,Colombia,37,90,8,2.27,34,41,28,47,,,,,,
Indonesia,37,90,AP,IDN,,40,34,36,,39,,26,50,,37,,35,Indonesia,37,90,8,2.39,33,41,26,50,,y,,,,
The FYR of Macedonia,37,90,ECA,MKD,,54,34,40,,,,42,,21,19,49,,The FYR of Macedonia,37,90,7,4.97,29,45,19,54,,,,,,
Morocco,37,90,MENA,MAR,,42,34,28,,,,37,41,39,37,,,Morocco,37,90,7,1.74,34,40,28,42,,,,,y,
Liberia,37,90,SSA,LBR,35,45,34,45,41,,,19,41,,,,,Liberia,37,90,7,3.43,31,43,19,45,,,,,,
Argentina,36,95,AME,ARG,,29,34,36,,37,,46,32,39,37,,,Argentina,36,95,8,1.76,33,39,29,46,,y,,,,
El Salvador,36,95,AME,SLV,,32,22,45,,,,34,41,40,37,,,El Salvador,36,95,7,2.76,31,40,22,45,,,,,,
Maldives,36,95,AP,MDV,35,,47,,,,,,,27,,,,Maldives,36,95,3,5.66,27,46,27,47,,,,,,
Sri Lanka,36,95,AP,LKA,35,41,34,28,,,,38,41,,37,,,Sri Lanka,36,95,7,1.64,34,39,28,41,,,,,,
Kosovo,36,95,ECA,LWI,35,,47,36,,,,,,27,,33,,Kosovo,36,95,5,3.17,31,41,27,47,,,,,,
Benin,36,95,SSA,BEN,47,20,34,32,44,,,,,36,,,,Benin,36,95,6,3.8,29,42,20,47,,,,,,
Peru,35,101,AME,PER,,39,34,45,,29,,30,34,,37,,,Peru,35,101,7,2.04,32,39,29,45,,,,,,
Trinidad and Tobago,35,101,AME,TTO,,29,34,,,,,43,32,,37,,,Trinidad and Tobago,35,101,5,2.48,31,39,29,43,,,,,,
Philippines,35,101,AP,PHL,,29,34,36,,31,,31,41,36,37,,43,Philippines,35,101,9,1.58,33,38,29,43,,,,,,
Thailand,35,101,AP,THA,,37,22,40,,44,,37,32,24,37,,38,Thailand,35,101,9,2.44,31,39,22,44,,,,,,
Timor-Leste,35,101,AP,TLS,24,,34,,,,,,,45,,,,Timor-Leste,35,101,3,5.97,25,44,24,45,,,,,,
Gabon,35,101,SSA,GAB,,36,34,,,,,,32,,37,,,Gabon,35,101,4,0.97,33,36,32,37,,,,,,
Niger,35,101,SSA,NER,35,,34,36,44,,,,24,,,,,Niger,35,101,5,3.25,29,40,24,44,,,,,,
Guyana,34,108,AME,GUY,35,25,34,,,,,40,25,47,,,,Guyana,34,108,6,3.57,29,40,25,47,,,,,,
Algeria,34,108,MENA,DZA,,33,22,36,,,,,32,44,37,,,Algeria,34,108,6,2.94,29,39,22,44,,,,,y,
Egypt,34,108,MENA,EGY,,42,22,32,,,,37,32,,37,,,Egypt,34,108,6,2.72,29,38,22,42,,,,,y,
Côte d’Ivoire,34,108,SSA,CIV,35,32,47,28,32,,,30,32,,37,,,Côte d’Ivoire,34,108,8,2.03,31,38,28,47,,,,,,
Ethiopia,34,108,SSA,ETH,35,37,34,24,38,,,33,32,32,37,,,Ethiopia,34,108,9,1.37,31,36,24,38,,,,,,
Bolivia,33,113,AME,BOL,35,18,34,36,,,,25,32,44,37,,,Bolivia,33,113,8,2.85,28,37,18,44,,,,,,
Vietnam,33,113,AP,VNM,35,34,34,28,,,,40,41,,19,,35,Vietnam,33,113,8,2.46,29,38,19,41,,,,,,
Armenia,33,113,ECA,ARM,,45,34,28,,,,,32,17,,41,,Armenia,33,113,6,4.01,26,40,17,45,,,,,,
Pakistan,32,116,AP,PAK,35,29,34,20,,,,32,32,,37,,,Pakistan,32,116,7,2.12,28,35,20,37,,,,,,
Mali,32,116,SSA,MLI,35,24,34,32,35,,,,32,,,,,Mali,32,116,6,1.75,29,35,24,35,,,,,,
Tanzania,32,116,SSA,TZA,35,27,22,32,38,,,27,32,38,37,,,Tanzania,32,116,9,1.84,29,35,22,38,,,,,,
Togo,32,116,SSA,TGO,24,,47,32,23,,,,32,,,,,Togo,32,116,5,4.21,25,39,23,47,,,,,,
Dominican Republic,31,120,AME,DOM,,24,34,32,,,,27,32,,37,,,Dominican Republic,31,120,6,1.89,28,34,24,37,,,,,,
Ecuador,31,120,AME,ECU,,33,22,32,,,,32,32,,37,,,Ecuador,31,120,6,1.96,28,35,22,37,,,,,,
Malawi,31,120,SSA,MWI,24,27,34,36,38,,,32,32,36,19,,,Malawi,31,120,9,2.11,28,35,19,38,,,,,,
Honduras,30,123,AME,HND,35,26,22,36,,,,27,41,,19,,,Honduras,30,123,7,3.05,25,35,19,41,,,,,,
Mexico,30,123,AME,MEX,,29,34,28,,32,33,26,24,,37,,,Mexico,30,123,8,1.56,28,33,24,37,y,y,,,,
Paraguay,30,123,AME,PRY,,23,22,36,,,,,32,27,37,,,Paraguay,30,123,6,2.68,25,34,22,37,,,,,,
Laos,30,123,AP,LAO,24,45,34,16,,,,,,,,,,Laos,30,123,4,6.19,20,40,16,45,,,,,,
Azerbaijan,30,123,ECA,AZE,,46,47,24,,,,,24,9,37,25,,Azerbaijan,30,123,7,5.13,22,39,9,47,,,,,,
Moldova,30,123,ECA,MDA,24,23,34,40,,,,26,32,23,37,33,,Moldova,30,123,9,2.18,27,34,23,40,,,,,,
Djibouti,30,123,SSA,DJI,24,,47,,20,,,,,,,,,Djibouti,30,123,3,8.23,17,44,20,47,,,,,y,
Sierra Leone,30,123,SSA,SLE,35,19,34,40,35,,,23,32,,19,,,Sierra Leone,30,123,8,2.94,25,35,19,40,,,,,,
Nepal,29,131,AP,NPL,35,26,34,24,,,,31,,21,,,,Nepal,29,131,6,2.33,25,33,21,35,,,,,,
Kazakhstan,29,131,ECA,KAZ,,45,34,20,,41,,32,24,16,19,28,,Kazakhstan,29,131,9,3.35,23,34,16,45,,,,,,
Russia,29,131,ECA,RUS,,38,34,28,,41,,32,24,18,19,25,,Russia,29,131,9,2.73,24,33,18,41,,y,y,,,
Ukraine,29,131,ECA,UKR,,27,34,36,,29,,32,24,23,19,33,,Ukraine,29,131,9,1.97,25,32,19,36,,,,,,
Iran,29,131,MENA,IRN,,34,34,24,,,,35,24,33,19,,,Iran,29,131,7,2.47,25,33,19,35,,,,,,
Guatemala,28,136,AME,GTM,,35,22,32,,,,27,32,,19,,,Guatemala,28,136,6,2.58,24,32,19,35,,,,,,
Myanmar,28,136,AP,MMR,35,23,22,20,,,,27,24,50,19,,,Myanmar,28,136,8,3.69,22,34,19,50,,,,,,
Papua New Guinea,28,136,AP,PNG,35,,22,28,,,,,32,,19,,,Papua New Guinea,28,136,5,3.01,23,32,19,35,,,,,,
Kyrgyzstan,28,136,ECA,KGZ,35,23,22,32,,,,29,,21,,30,,Kyrgyzstan,28,136,7,2.08,24,31,21,35,,,,,,
Lebanon,28,136,MENA,LBN,,23,22,20,,,,30,32,34,37,,,Lebanon,28,136,7,2.5,24,32,20,37,,,,,y,
Nigeria,28,136,SSA,NGA,35,20,22,28,32,,,26,24,24,37,,,Nigeria,28,136,9,1.98,24,31,20,37,,,,,,
Guinea,27,142,SSA,GIN,24,,22,36,26,,,,24,,,,,Guinea,27,142,5,2.54,22,31,22,36,,,,,,
Mauritania,27,142,SSA,MRT,35,15,22,32,29,,,,,,,,,Mauritania,27,142,5,3.62,21,33,15,35,,,,,y,
Mozambique,27,142,SSA,MOZ,24,25,22,28,14,,,,32,34,37,,,Mozambique,27,142,8,2.57,23,31,14,37,,,,,,
Nicaragua,26,145,AME,NIC,35,28,22,28,,,,26,24,,19,,,Nicaragua,26,145,7,1.98,23,29,19,35,,,,,,
Bangladesh,26,145,AP,BGD,24,17,22,24,,,,25,50,,19,,,Bangladesh,26,145,7,4.13,19,33,17,50,,,,,,
Cameroon,26,145,SSA,CMR,24,22,34,28,41,,,19,32,11,19,,,Cameroon,26,145,9,3.04,21,31,11,41,,,,,,
Gambia,26,145,SSA,GMB,13,44,34,,5,,,,32,,,,,Gambia,26,145,5,7.2,14,38,5,44,,,,,,
Kenya,26,145,SSA,KEN,35,30,22,28,29,,,21,24,28,19,,,Kenya,26,145,9,1.72,24,29,19,35,,,,,,
Madagascar,26,145,SSA,MDG,24,19,34,32,14,,,23,32,,,,,Madagascar,26,145,7,2.88,21,30,14,34,,,,,,
Tajikistan,25,151,ECA,TJK,24,48,22,16,,,,,,11,,28,,Tajikistan,25,151,6,5.26,16,34,11,48,,,,,,
Uganda,25,151,SSA,UGA,13,27,22,32,26,,,21,24,26,37,,,Uganda,25,151,9,2.24,22,29,13,37,,,,,,
Comoros,24,153,SSA,COM,24,,47,,2,,,,,,,,,Comoros,24,153,3,12.81,3,45,2,47,,,,,y,
Turkmenistan,22,154,ECA,TKM,,,22,20,,,,,,,19,25,,Turkmenistan,22,154,4,1.32,20,24,19,25,,,,,,
Zimbabwe,22,154,SSA,ZWE,13,30,22,16,17,,,24,15,24,37,,,Zimbabwe,22,154,9,2.59,18,26,13,37,,,,,,
Cambodia,21,156,AP,KHM,13,28,22,16,,,,15,,17,19,,37,Cambodia,21,156,8,2.82,16,26,13,37,,,,,,
Uzbekistan,21,156,ECA,UZB,13,,22,20,,,,32,,16,19,25,,Uzbekistan,21,156,7,2.35,17,25,13,32,,,,,,
The Democratic Republic of Congo,21,156,SSA,COD,13,20,22,20,32,,,,24,,19,,,The Democratic Republic of Congo,21,156,7,2.13,18,25,13,32,,,,,,
Haiti,20,159,AME,HTI,24,20,22,16,,,,,15,,,,,Haiti,20,159,5,1.81,17,23,15,24,,,,,,
Burundi,20,159,SSA,BDI,13,24,22,20,20,,,,,20,,,,Burundi,20,159,6,1.53,18,23,13,24,,,,,,
Central African Republic,20,159,SSA,CAF,24,,10,28,17,,,,,,,,,Central African Republic,20,159,4,4.04,13,27,10,28,,,,,,
Chad,20,159,SSA,TCD,24,10,22,20,23,,,,,,,,,Chad,20,159,5,2.67,16,24,10,24,,,,,,
Republic of Congo,20,159,SSA,COG,13,,22,20,,,,,24,,19,,,Republic of Congo,20,159,5,1.78,17,23,13,24,,,,,,
Angola,18,164,SSA,AGO,,,22,16,,,,,15,,19,,,Angola,18,164,4,1.68,15,21,15,22,,,,,,
Eritrea,18,164,SSA,ERI,13,,34,12,0,,,,,29,,,,Eritrea,18,164,5,6.24,8,28,0,34,,,,,,
Venezuela,17,166,AME,VEN,,13,22,16,,21,,14,15,,19,,,Venezuela,17,166,7,1.41,15,20,13,22,,,,,,
Iraq,17,166,MENA,IRQ,,,10,20,,,,,15,19,19,,,Iraq,17,166,5,1.87,14,20,10,20,,,,,y,
Guinea-Bissau,16,168,SSA,GNB,13,,22,,14,,,,15,,,,,Guinea-Bissau,16,168,4,2.09,13,20,13,22,,,,,,
Afghanistan,15,169,AP,AFG,13,,10,20,,,,13,,16,,,,Afghanistan,15,169,5,1.74,12,17,10,20,,,,,,
Libya,14,170,MENA,LBY,,,10,12,,,,,15,,19,,,Libya,14,170,4,2,11,17,10,19,,,,,y,
Yemen,14,170,MENA,YEM,2,12,10,28,,,,,15,14,19,,,Yemen,14,170,7,3.05,9,19,2,28,,,,,y,
Sudan,14,170,SSA,SDN,2,,22,16,11,,,,6,22,19,,,Sudan,14,170,7,2.99,9,19,2,22,,,,,y,
Syria,13,173,MENA,SYR,,,10,8,,,,,15,12,19,,,Syria,13,173,5,1.97,10,16,8,19,,,,,y,
Korea (North),12,174,AP,PRK,,,10,12,,,,,15,,,,,Korea (North),12,174,3,1.39,10,15,10,15,,,,,,
South Sudan,11,175,SSA,SSD,2,,10,16,5,,,,,19,,,,South Sudan,11,175,5,3.21,5,16,2,19,,,,,,
Somalia,10,176,SSA,SOM,,,10,8,0,,,,15,17,,,,Somalia,10,176,5,2.98,5,15,0,17,,,,,y,
