fips_country_code,country_name,lang,percent,lang_info,n
ch,China,Standard Chinese or Mandarin (official; Putonghua,NA,Standard Chinese or Mandarin (official; Putonghua,1
br,Brazil,Portuguese (official and most widely spoken language),NA,Portuguese (official and most widely spoken language),1
no,Norway,Bokmal Norwegian (official),NA,Bokmal Norwegian (official),1
be,Belgium,Dutch (official) ,60,Dutch (official) 60,1
be,Belgium, French (official) ,40, French (official) 40,2
be,Belgium, German (official) less than ,1, German (official) less than 1,3
ja,Japan,Japanese,NA,Japanese,1
it,Italy,Italian (official),NA,Italian (official),1
sp,Spain,Castilian Spanish (official nationwide) ,74,Castilian Spanish (official nationwide) 74,1
sp,Spain, and the Valencian Community (where it is known as Valencian)) ,17, and the Valencian Community (where it is known as Valencian)) 17,4
sp,Spain, Galician (official in Galicia) ,7, Galician (official in Galicia) 7,5
sp,Spain, Basque (official in the Basque Country and in the Basque-speaking area of Navarre) ,2, Basque (official in the Basque Country and in the Basque-speaking area of Navarre) 2,6
sp,Spain, Aranese (official in the northwest corner of Catalonia (Vall d'Aran) along with Catalan; <,5, Aranese (official in the northwest corner of Catalonia (Vall d'Aran) along with Catalan; <5,7
sp,Spain, speakers),0,000 speakers),8
fi,Finland,Finnish (official) ,89,Finnish (official) 89,1
fi,Finland, Swedish (official) ,5, Swedish (official) 5.3,2
fi,Finland, Russian ,1, Russian 1.3,3
fi,Finland, other  ( est),4, other 4.4 (2014 est.),4
mx,Mexico,Spanish only ,92,Spanish only 92.7,1
mx,Mexico, Spanish and indigenous languages ,5, Spanish and indigenous languages 5.7,2
mx,Mexico, indigenous only ,0, indigenous only 0.8,3
mx,Mexico, unspecified ,0, unspecified 0.8,4
da,Denmark,Danish,NA,Danish,1
rp,Philippines,Filipino (official; based on Tagalog) and English (official); eight major dialects - Tagalog,NA,Filipino (official; based on Tagalog) and English (official); eight major dialects - Tagalog,1
af,Afghanistan,Afghan Persian or Dari (official) ,50,Afghan Persian or Dari (official) 50,1
af,Afghanistan, Pashto (official) ,35, Pashto (official) 35,2
af,Afghanistan, Turkic languages (primarily Uzbek and Turkmen) ,11, Turkic languages (primarily Uzbek and Turkmen) 11,3
af,Afghanistan,  minor languages (primarily Balochi and Pashai) ,30, 30 minor languages (primarily Balochi and Pashai) 4,4
my,Malaysia,Bahasa Malaysia (official),NA,Bahasa Malaysia (official),1
ks,South Korea,Korean,NA,Korean,1
tu,Turkey,Turkish (official),NA,Turkish (official),1
is,Israel,Hebrew (official),NA,Hebrew (official),1
au,Austria,German (official nationwide) ,88,German (official nationwide) 88.6,1
au,Austria, Turkish ,2, Turkish 2.3,2
au,Austria, Serbian ,2, Serbian 2.2,3
au,Austria, Croatian (official in Burgenland) ,1, Croatian (official in Burgenland) 1.6,4
au,Austria, official in Burgenland)  ( est),5, official in Burgenland) 5.3 (2001 est.),8
sf,South Africa,IsiZulu (official) ,22,IsiZulu (official) 22.7,1
sf,South Africa, IsiXhosa (official) ,16, IsiXhosa (official) 16,2
sf,South Africa, Afrikaans (official) ,13, Afrikaans (official) 13.5,3
sf,South Africa, English (official) ,9, English (official) 9.6,4
sf,South Africa, Sepedi (official) ,9, Sepedi (official) 9.1,5
sf,South Africa, Setswana (official) ,8, Setswana (official) 8,6
sf,South Africa, Sesotho (official) ,7, Sesotho (official) 7.6,7
sf,South Africa, Xitsonga (official) ,4, Xitsonga (official) 4.5,8
sf,South Africa, siSwati (official) ,2, siSwati (official) 2.5,9
sf,South Africa, Tshivenda (official) ,2, Tshivenda (official) 2.4,10
sf,South Africa, isiNdebele (official) ,2, isiNdebele (official) 2.1,11
sf,South Africa, sign language ,0, sign language 0.5,12
sf,South Africa, other  ( est),1, other 1.6 (2011 est.),13
pl,Poland,Polish (official) ,98,Polish (official) 98.2,1
pl,Poland, Silesian ,1, Silesian 1.4,2
pl,Poland, other ,1, other 1.1,3
pl,Poland, unspecified ,1, unspecified 1.3,4
tw,Taiwan,Mandarin Chinese (official),NA,Mandarin Chinese (official),1
ne,Niue,Niuean (official)  (a Polynesian language closely related to Tongan and Samoan),46,Niuean (official) 46 (a Polynesian language closely related to Tongan and Samoan),1
ne,Niue, Niuean and English ,32, Niuean and English 32,2
ne,Niue, English (official) ,11, English (official) 11,3
ne,Niue, Niuean and others ,5, Niuean and others 5,4
ne,Niue, other  ( est),6, other 6 (2011 est.),5
ae,none,Arabic (official),NA,Arabic (official),1
hr,Croatia,Croatian (official) ,95,Croatian (official) 95.6,1
hr,Croatia, Serbian ,1, Serbian 1.2,2
hr,Croatia, other  (including Hungarian,3, other 3 (including Hungarian,3
hr,Croatia, unspecified  ( est),0, unspecified 0.2 (2011 est.),7
ar,Argentina,Spanish (official),NA,Spanish (official),1
ro,Romania,Romanian (official) ,85,Romanian (official) 85.4,1
ro,Romania, Hungarian ,6, Hungarian 6.3,2
ro,Romania, Romany (Gypsy) ,1, Romany (Gypsy) 1.2,3
ro,Romania, other ,1, other 1,4
ro,Romania, unspecified  ( est),6, unspecified 6.1 (2011 est.),5
co,Colombia,Spanish (official),NA,Spanish (official),1
gr,Greece,Greek (official) ,99,Greek (official) 99,1
gr,Greece, other (includes English and French) ,1, other (includes English and French) 1,2
id,Indonesia,Bahasa Indonesia (official,NA,Bahasa Indonesia (official,1
th,Thailand,Thai (official) ,90,Thai (official) 90.7,1
th,Thailand, Burmese ,1, Burmese 1.3,2
th,Thailand, other ,8, other 8,3
rs,Russia,Russian (official) ,85,Russian (official) 85.7,1
rs,Russia, Tatar ,3, Tatar 3.2,2
rs,Russia, Chechen ,1, Chechen 1,3
rs,Russia, other ,10, other 10.1,4
cy,Cyprus,Greek (official) ,80,Greek (official) 80.9,1
cy,Cyprus, Turkish (official) ,0, Turkish (official) 0.2,2
cy,Cyprus, English ,4, English 4.1,3
cy,Cyprus, Romanian ,2, Romanian 2.9,4
cy,Cyprus, Russian ,2, Russian 2.5,5
cy,Cyprus, Bulgarian ,2, Bulgarian 2.2,6
cy,Cyprus, Arabic ,1, Arabic 1.2,7
cy,Cyprus, Filipino ,1, Filipino 1.1,8
cy,Cyprus, other ,4, other 4.3,9
cy,Cyprus, unspecified ,0, unspecified 0.6,10
cs,Costa Rica,Spanish (official),NA,Spanish (official),1
vm,Vietnam,Vietnamese (official),NA,Vietnamese (official),1
hu,Hungary,Hungarian (official) ,99,Hungarian (official) 99.6,1
hu,Hungary, English ,16, English 16,2
hu,Hungary, German ,11, German 11.2,3
hu,Hungary, Russian ,1, Russian 1.6,4
hu,Hungary, Romanian ,1, Romanian 1.3,5
hu,Hungary, French ,1, French 1.2,6
hu,Hungary, other ,4, other 4.2,7
po,Portugal,Portuguese (official),NA,Portuguese (official),1
hk,Hong Kong,Cantonese (official) ,89,Cantonese (official) 89.5,1
hk,Hong Kong, English (official) ,3, English (official) 3.5,2
hk,Hong Kong, Mandarin (official) ,1, Mandarin (official) 1.4,3
hk,Hong Kong, other Chinese dialects ,4, other Chinese dialects 4,4
hk,Hong Kong, other  ( est),1, other 1.6 (2011 est.),5
uk,United Kingdom,English,NA,English,1
