language_code,language_name,family,n_participants,es_iat_sex_age_order_implicit_resid,es_iat_sex_age_order_explicit_resid,median_country_age,per_women_stem_2012_2017,lang_es_sub,lang_es_wiki,lang_es_wiki_native,mean_prop_distinct_occs,subt_gender_diff_score_fm_abs,wiki_gender_diff_score_fm_abs,wiki_native_gender_diff_score_fm_abs,exclude_wiki_cc
it,Italian,Indo-European,1114,0.02312918217578112,0.24977244067426868,45.5,15.902095999999998,0.12446167471746548,0.6633727987251284,0.8476839418344092,0.6,0.0512572502588021,0.07911636169341746,0.07092202394981695,NA
ja,Japanese,Japonic,1240,0.01837221713385687,-0.057305103416553434,47.3,NaN,NA,0.06429567765517198,0.3041654496780606,0.09999999999999998,NA,1.1254407384648462e-4,0.029437657927264313,FALSE
ko,Korean,Koreanic,854,-0.0068116016621206435,-0.1451239665484513,41.8,15.241724999999999,0.31419019539734994,0.2617978260892737,0.4860585845594177,0.052631578947368474,0.025337254869150685,0.04580273280528376,0.04456138227118303,NA
ms,Malay,Austronesian,887,-0.03734987682721718,-0.013323080043276023,28.5,21.699205,-0.2960500304763127,0.00902940628343985,-0.10644409606248455,0,0.03448014462579248,0.013369469389036093,0.015373555631509127,NA
nl,Dutch,Indo-European,2529,0.03765461941024417,0.1550649092405259,42,6.837654499999999,0.557929645404257,0.8091716010577064,1.0642296273609608,0.4625,0.051681773815560876,0.08189668237232954,0.06432130153023011,NA
no,Norwegian,Indo-European,1357,-0.02489874767198652,-0.28215741330358574,39.2,9.210424,0.90630983063191894,0.5910439558154523,0.6031699200300452,0.19166666666666665,0.060010978906900436,0.07474349798716036,0.06436830143747417,NA
pl,Polish,Indo-European,670,-0.01842782150885679,-0.017376997111489767,40.7,13.254754,-0.09698227818876436,-0.07770125153581178,-0.07026710538201496,0.8,0.059565924338795186,0.07995702372367557,0.08870502803284668,NA
pt,Portuguese,Indo-European,1431,0.03221032239677631,-0.14380917724491626,32,8.6388475,0.534820663051225,0.4009414037179108,0.6268242165077216,0.9,0.04040832772809944,0.07697574523303422,0.07832047855798992,NA
ro,Romanian,Indo-European,481,0.007978577268914502,0.04663752647595598,41.1,19.675815,0.6639642252268806,0.5857532252022704,0.9281623765440766,0.95,0.046628750446382705,0.062008876290326836,0.06360459260001311,NA
sv,Swedish,Indo-European,2169,-0.02060511444003361,-0.25519413020373233,41.2,14.3675675,0.39293635118872083,0.8219340249850059,1.0915452909566583,0.32499999999999996,0.052205182361369194,0.06897204989449905,0.059341216667633465,NA
tl,Filipino,Austronesian,961,-0.054758919631812696,-0.11953410677977583,23.5,17.77721,NA,-0.016299263160760268,-0.15718017326090042,0,NA,0.014323370929263113,0.01405907029733831,FALSE
tr,Turkish,Turkic,681,-0.02918063525166718,-0.2134528589827861,30.9,14.919405000000001,-0.04842230350293412,0.09524758616481388,0.383968258942452,0.03749999999999998,0.018453087103914554,0.01641659409305993,0.01882656639344479,NA
zh,Mandarin,Sino-Tibetan,2094.6666666666665,-0.003826926586762019,0.02887293823982623,37.56666666666667,22.29334,NA,0.535115517457758,NA,0.052631578947368474,NA,0.003376358133205513,0.03438348847751448,FALSE
