occupation,mean_overlap,language_code
waiter,0,ko
athlete,1,ms
author,1,ms
baker,1,ms
cleaner,1,ms
dancer,1,ms
doctor/physician,1,ms
firefighter,1,ms
governor,1,ms
hunter,1,ms
journalist,1,ms
judge,1,ms
lawyer,1,ms
mechanic,1,ms
nurse,1,ms
postman/postwoman,1,ms
professor,1,ms
sailor,1,ms
secretary,1,ms
singer,1,ms
waiter,1,ms
athlete,1,no
author,0,no
baker,1,no
cleaner,1,no
dancer,0,no
doctor/physician,1,no
firefighter,0.75,no
governor,1,no
hunter,1,no
journalist,1,no
judge,1,no
lawyer,1,no
mechanic,1,no
nurse,1,no
postman/postwoman,0.75,no
professor,1,no
sailor,1,no
secretary,1,no
singer,0,no
waiter,0.6666666666666666,no
athlete,0,pl
author,0,pl
baker,0,pl
cleaner,0,pl
dancer,0,pl
doctor/physician,0,pl
firefighter,1,pl
governor,1,pl
hunter,1,pl
journalist,0,pl
judge,0,pl
lawyer,0,pl
mechanic,1,pl
nurse,0,pl
postman/postwoman,0,pl
professor,0,pl
sailor,0,pl
secretary,0,pl
singer,0,pl
waiter,0,pl
athlete,1,pt
author,0,pt
baker,0,pt
cleaner,0,pt
dancer,0,pt
doctor/physician,0,pt
firefighter,0,pt
governor,0,pt
hunter,0,pt
journalist,1,pt
judge,0,pt
lawyer,0,pt
mechanic,0,pt
nurse,0,pt
postman/postwoman,0,pt
professor,0,pt
sailor,0,pt
secretary,0,pt
singer,0,pt
waiter,0,pt
athlete,0,ro
author,0,ro
baker,0,ro
cleaner,0,ro
dancer,0,ro
doctor/physician,1,ro
firefighter,0,ro
governor,0,ro
hunter,0,ro
journalist,0,ro
judge,0,ro
lawyer,0,ro
mechanic,0,ro
nurse,0,ro
postman/postwoman,0,ro
professor,0,ro
sailor,0,ro
secretary,0,ro
singer,0,ro
waiter,0,ro
athlete,0,sr
author,0,sr
baker,0,sr
cleaner,0,sr
dancer,0,sr
doctor/physician,0,sr
firefighter,1,sr
governor,1,sr
hunter,1,sr
journalist,0,sr
judge,1,sr
lawyer,0,sr
mechanic,0,sr
nurse,0,sr
postman/postwoman,0.75,sr
professor,0,sr
sailor,1,sr
secretary,0,sr
singer,0,sr
waiter,0,sr
athlete,0,hr
author,0,hr
baker,0,hr
cleaner,0,hr
dancer,0,hr
doctor/physician,0,hr
firefighter,1,hr
governor,1,hr
hunter,1,hr
journalist,0,hr
judge,1,hr
lawyer,0,hr
mechanic,0,hr
nurse,0,hr
postman/postwoman,0.75,hr
professor,0,hr
sailor,1,hr
secretary,0,hr
singer,0,hr
waiter,0,hr
athlete,1,es
author,0,es
baker,0,es
cleaner,0,es
dancer,0,es
doctor/physician,0,es
firefighter,0,es
governor,0,es
hunter,0,es
journalist,1,es
judge,0,es
lawyer,0,es
mechanic,0,es
nurse,0,es
postman/postwoman,0,es
professor,0,es
sailor,0,es
secretary,0,es
singer,1,es
waiter,0,es
athlete,1,sv
author,0,sv
baker,1,sv
cleaner,0,sv
dancer,0.5,sv
doctor/physician,1,sv
firefighter,1,sv
governor,1,sv
hunter,1,sv
journalist,1,sv
judge,1,sv
lawyer,1,sv
mechanic,1,sv
nurse,0,sv
postman/postwoman,1,sv
professor,1,sv
sailor,1,sv
secretary,0,sv
singer,0,sv
waiter,0,sv
athlete,1,tl
author,1,tl
baker,1,tl
cleaner,1,tl
dancer,1,tl
doctor/physician,1,tl
firefighter,1,tl
governor,1,tl
hunter,1,tl
journalist,1,tl
judge,1,tl
lawyer,1,tl
mechanic,1,tl
nurse,1,tl
postman/postwoman,1,tl
professor,1,tl
sailor,1,tl
secretary,1,tl
singer,1,tl
waiter,1,tl
athlete,1,tr
author,0.75,tr
baker,1,tr
cleaner,1,tr
dancer,1,tr
doctor/physician,1,tr
firefighter,1,tr
governor,1,tr
hunter,1,tr
journalist,1,tr
judge,1,tr
lawyer,1,tr
mechanic,1,tr
nurse,0.75,tr
postman/postwoman,1,tr
professor,1,tr
sailor,1,tr
secretary,1,tr
singer,1,tr
waiter,0.75,tr
athlete,1,zu
author,1,zu
baker,1,zu
dancer,1,zu
doctor/physician,1,zu
firefighter,1,zu
governor,1,zu
hunter,1,zu
journalist,1,zu
judge,1,zu
lawyer,1,zu
mechanic,1,zu
nurse,1,zu
postman/postwoman,1,zu
professor,1,zu
sailor,1,zu
secretary,1,zu
singer,1,zu
waiter,1,zu
