OCCUPATION,male form,typically_used?,female form,typically_used?_1,language,X7,NOTES,Notes,Status,Name,notes
mechanic,מכונאי,yes,מכונאית,no,hebrew,NA,NA,NA,NA,NA,NA
hunter,צייד,yes,ציידת,yes,hebrew,NA,NA,NA,NA,NA,NA
firefighter,כבאי,yes,כבאית,no,hebrew,NA,the female form here can also mean 'firetruck'. contextual.,NA,NA,NA,NA
dancer,नर्तकी,NA,NA,NA,hindi,NA,NA,NA,NA,NA,NA
nurse,नर्स,NA,NA,NA,hindi,NA,NA,NA,NA,NA,NA
singer,गायक[गायिका],NA,NA,NA,hindi,NA,NA,NA,NA,NA,NA
cleaner,सफाईकर्मी,NA,NA,NA,hindi,NA,NA,NA,NA,NA,NA
secretary,सहायक[सहायिका],NA,NA,NA,hindi,NA,NA,NA,NA,NA,NA
waiter,वेटर,NA,महिला बैरा,NA,hindi,NA,NA,NA,NA,NA,NA
journalist,पत्रकार,NA,NA,NA,hindi,NA,NA,NA,NA,NA,NA
baker,बेकर,NA,NA,NA,hindi,NA,NA,NA,NA,NA,NA
author,लेखक[लेखिका],NA,NA,NA,hindi,NA,NA,NA,NA,NA,NA
athlete,खिलाड़ी,NA,NA,NA,hindi,NA,NA,NA,NA,NA,NA
lawyer,वकील,NA,NA,NA,hindi,NA,NA,NA,NA,NA,NA
doctor/physician,चिकित्सक,NA,NA,NA,hindi,NA,NA,NA,NA,NA,NA
professor,प्राध्यापक,NA,NA,NA,hindi,NA,NA,NA,NA,NA,NA
governor,राज्यपाल,NA,NA,NA,hindi,NA,NA,NA,NA,NA,NA
judge,न्यायाधीश,NA,NA,NA,hindi,NA,NA,NA,NA,NA,NA
sailor,नाविक,NA,NA,NA,hindi,NA,NA,NA,NA,NA,NA
postman/postwoman,डाकिया,NA,NA,NA,hindi,NA,NA,NA,NA,NA,NA
mechanic,मिस्त्री,NA,NA,NA,hindi,NA,NA,NA,NA,NA,NA
hunter,शिकारी,NA,NA,NA,hindi,NA,NA,NA,NA,NA,NA
firefighter,अग्निशमन कर्मचारी,NA,NA,NA,hindi,NA,NA,NA,NA,NA,NA
dancer,plesač/igrač,yes,plesačica/igračica,yes,"Serbian (latin)
",NA,NA,NA,NA,NA,NA
nurse,medicinska sestra,yes,tehničar,yes,"Serbian (latin)
",NA,NA,NA,NA,NA,NA
singer,pevač,yes,pevačica,yes,"Serbian (latin)
",NA,NA,NA,NA,NA,NA
cleaner,čistač,yes,čistačica,yes,"Serbian (latin)
",NA,NA,NA,NA,NA,NA
secretary,sekretar,yes,sekretarica,yes,"Serbian (latin)
",NA,NA,NA,NA,NA,NA
waiter,konobar,yes,konobarica,yes,"Serbian (latin)
",NA,NA,NA,NA,NA,NA
journalist,novinar,yes,novinarka,yes,"Serbian (latin)
",NA,NA,NA,NA,NA,NA
baker,pekar,yes,pekarka,yes,"Serbian (latin)
",NA,NA,NA,NA,NA,NA
author,autor,don't know,autorka,don't know,"Serbian (latin)
",NA,NA,NA,NA,NA,NA
athlete,sportista,yes,sportistkinja,yes,"Serbian (latin)
",NA,NA,NA,NA,NA,NA
lawyer,advokat,yes,advokatica,yes,"Serbian (latin)
",NA,NA,NA,NA,NA,NA
doctor/physician,doktor/lekar,yes,doktorka/lekarka,yes,"Serbian (latin)
",NA,NA,NA,NA,NA,NA
professor,profesor,yes,profesorka,yes,"Serbian (latin)
",NA,NA,NA,NA,NA,NA
governor,guverner,yes,guverner,yes,"Serbian (latin)
",NA,NA,NA,NA,NA,NA
judge,sudija,yes,sudija,yes,"Serbian (latin)
",NA,NA,NA,NA,NA,NA
sailor,mornar,yes,mornar,no,"Serbian (latin)
",NA,NA,NA,NA,NA,NA
postman/postwoman,poštar,yes,poštar/poštarka,no,"Serbian (latin)
",NA,NA,NA,NA,NA,NA
mechanic,mehaničar,yes,mehaničarka,no,"Serbian (latin)
",NA,NA,NA,NA,NA,NA
hunter,lovac,yes,lovac,no,"Serbian (latin)
",NA,NA,NA,NA,NA,NA
firefighter,vatrogasac,yes,vatrogasac,no,"Serbian (latin)
",NA,NA,NA,NA,NA,NA
dancer,плесач/играч,yes,плесачица/играчица,yes,serbian (cyrillic),NA,NA,NA,NA,NA,NA
nurse,медицинска сестра,yes,техничар,yes,serbian (cyrillic),NA,NA,NA,NA,NA,NA
singer,певач,yes,певачица,yes,serbian (cyrillic),NA,NA,NA,NA,NA,NA
cleaner,чистач,yes,чистачица,yes,serbian (cyrillic),NA,NA,NA,NA,NA,NA
secretary,секретар,yes,секретарица,yes,serbian (cyrillic),NA,NA,NA,NA,NA,NA
waiter,конобар,yes,конобарица,yes,serbian (cyrillic),NA,NA,NA,NA,NA,NA
journalist,новинар,yes,новинарка,yes,serbian (cyrillic),NA,NA,NA,NA,NA,NA
baker,пекар,yes,пекарка,yes,serbian (cyrillic),NA,NA,NA,NA,NA,NA
author,аутор,don't know,ауторка,don't know,serbian (cyrillic),NA,NA,NA,NA,NA,NA
athlete,спортиста,yes,спортисткиња,yes,serbian (cyrillic),NA,NA,NA,NA,NA,NA
lawyer,адвокат,yes,адвокатица,yes,serbian (cyrillic),NA,NA,NA,NA,NA,NA
doctor/physician,доктор/лекар,yes,докторка/лекарка,yes,serbian (cyrillic),NA,NA,NA,NA,NA,NA
professor,професор,yes,професорка,yes,serbian (cyrillic),NA,NA,NA,NA,NA,NA
governor,гувернер,yes,гувернер,yes,serbian (cyrillic),NA,NA,NA,NA,NA,NA
judge,судија,yes,судија,yes,serbian (cyrillic),NA,NA,NA,NA,NA,NA
sailor,морнар,yes,морнар,no,serbian (cyrillic),NA,NA,NA,NA,NA,NA
postman/postwoman,поштар,yes,поштар/поштарка,no,serbian (cyrillic),NA,NA,NA,NA,NA,NA
mechanic,механичар,yes,механичарка,no,serbian (cyrillic),NA,NA,NA,NA,NA,NA
hunter,ловац,yes,ловац,no,serbian (cyrillic),NA,NA,NA,NA,NA,NA
firefighter,ватрогасац,yes,ватрогасац,no,serbian (cyrillic),NA,NA,NA,NA,NA,NA
dancer,penari,don't know,NA,NA,indonesian,**no distinction between male/female,NA,NA,NA,NA,NA
nurse,perawat,don't know,NA,NA,indonesian,NA,NA,NA,NA,NA,NA
singer,penyanyi,don't know,NA,NA,indonesian,NA,NA,NA,NA,NA,NA
cleaner,petugas kebersihan,don't know,NA,NA,indonesian,NA,NA,NA,NA,NA,NA
secretary,sekretaris,don't know,NA,NA,indonesian,NA,NA,NA,NA,NA,NA
waiter,pelayan,don't know,NA,NA,indonesian,NA,NA,NA,NA,NA,NA
journalist,jurnalis,don't know,NA,NA,indonesian,NA,NA,NA,NA,NA,NA
baker,tukang roti,don't know,NA,NA,indonesian,NA,NA,NA,NA,NA,NA
author,pengarang,don't know,NA,NA,indonesian,NA,NA,NA,NA,NA,NA
athlete,atlet,don't know,NA,NA,indonesian,NA,NA,NA,NA,NA,NA
lawyer,pengacara,don't know,NA,NA,indonesian,NA,NA,NA,NA,NA,NA
doctor/physician,dokter,don't know,NA,NA,indonesian,NA,NA,NA,NA,NA,NA
professor,profesor,don't know,NA,NA,indonesian,NA,NA,NA,NA,NA,NA
governor,gubernur,don't know,NA,NA,indonesian,NA,NA,NA,NA,NA,NA
judge,mengadili,don't know,NA,NA,indonesian,NA,NA,NA,NA,NA,NA
sailor,kelasi,don't know,NA,NA,indonesian,NA,NA,NA,NA,NA,NA
postman/postwoman,tukang pos,don't know,NA,NA,indonesian,NA,NA,NA,NA,NA,NA
mechanic,montir,don't know,NA,NA,indonesian,NA,NA,NA,NA,NA,NA
hunter,berburu,don't know,NA,NA,indonesian,NA,NA,NA,NA,NA,NA
firefighter,petugas pemadam kebakaran,don't know,NA,NA,indonesian,NA,NA,NA,NA,NA,NA
dancer,ballerino,yes,ballerina,yes,italian,NA,NA,NA,NA,NA,NA
nurse,infermiere,yes,infermiera,yes,italian,NA,NA,NA,NA,NA,NA
singer,cantante,yes,cantante,yes,italian,NA,NA,NA,NA,NA,NA
cleaner,inserviente/adetto alle pulizie,yes,inserviente/addetta alle pulizie,yes,italian,NA,NA,NA,NA,NA,NA
secretary,segretario,yes,segretaria,yes,italian,NA,NA,NA,NA,NA,NA
waiter,cameriere,yes,cameriera,yes,italian,NA,NA,NA,NA,NA,NA
journalist,giornalista,yes,giornalista,yes,italian,NA,NA,"While I couldn't find any difference between the genders for the singular noun in the dictionary, a brief google search seems to suggest that the plural forms of jounalist for the two genders differ from each other (The sigular one is as I have entered in this sheet)",NA,NA,NA
baker,fornaio/panettiere,yes,fornaia/panettiera,yes,italian,NA,NA,NA,NA,NA,NA
author,autore,yes,autrice,yes,italian,NA,NA,NA,NA,NA,NA
athlete,atleta,yes,atleta,yes,italian,NA,NA,NA,NA,NA,NA
lawyer,avvocato,yes,avvocatessa,no,italian,NA,NA,"lawyer down I used Harper Collins Italian Concise Dictionary from 2000, third edition -Megan",NA,NA,NA
doctor/physician,dottore/medico,yes,dottoressa/medico,yes,italian,NA,NA,NA,NA,NA,NA
professor,professore,yes,professoressa,yes,italian,NA,NA,NA,NA,NA,NA
governor,governatore/direttore,no,governatrice/direttrice,no,italian,NA,NA,NA,NA,NA,NA
judge,giudice,yes,giudice,yes,italian,NA,NA,NA,NA,NA,NA
sailor,marinaio,yes,marinaio,yes,italian,NA,NA,NA,NA,NA,NA
postman/postwoman,postino,yes,postina,no,italian,NA,NA,The female translation here translates to postmistress,NA,NA,NA
mechanic,meccanico,yes,meccanico,yes,italian,NA,NA,NA,NA,NA,NA
hunter,cacciatore,yes,cacciatrice,yes,italian,NA,NA,NA,NA,NA,NA
firefighter,pompiere,yes,pompiere,yes,italian,NA,NA,NA,NA,NA,NA
dancer,ダンサー dansaa,yes,ダンサー dansaa,yes,japanese,NA,NA,NA,NA,NA,NA
nurse,看護師 kangoshi,yes,看護婦 kangofu,no,japanese,NA,NA,NA,NA,NA,NA
singer,歌手 kashu,yes,歌手 kashu,yes,japanese,NA,NA,NA,NA,NA,NA
cleaner,清掃員 seisouin,yes,清掃員 seisouin,yes,japanese,NA,NA,NA,NA,NA,NA
secretary,秘書 hisho,yes,秘書 hisho,yes,japanese,NA,NA,NA,NA,NA,NA
waiter,ウェイター ueitaa,yes,ウェイタレス ueitaresu,yes,japanese,NA,NA,NA,NA,NA,NA
journalist,記者 kisha,yes,記者 kisha,yes,japanese,NA,NA,NA,NA,NA,NA
baker,パン屋 panya,yes,パン屋 panya,yes,japanese,NA,NA,NA,NA,NA,NA
author,作者 sakusha,yes,作者 sakusha,yes,japanese,NA,NA,NA,NA,NA,NA
athlete,選手 senshu,yes,選手 senshu,yes,japanese,NA,NA,NA,NA,NA,NA
lawyer,弁護士 bengoshi,yes,弁護士 bengoshi,yes,japanese,NA,NA,NA,NA,NA,NA
doctor/physician,医者 isha,yes,医者 isha,yes,japanese,NA,NA,NA,NA,NA,NA
professor,教授 kyoujyu,yes,教授 kyoujyu,yes,japanese,NA,NA,NA,NA,NA,NA
governor,知事 chiji,yes,知事 chiji,yes,japanese,NA,NA,NA,NA,NA,NA
judge,裁判官 saibankan,yes,裁判官 saibankan,yes,japanese,NA,NA,NA,NA,NA,NA
sailor,船員 senin,yes,船員 senin,yes,japanese,NA,NA,NA,NA,NA,NA
postman/postwoman,郵便配達員 yuubin haitasuin,yes,郵便配達員 yuubin haitasuin,yes,japanese,NA,NA,NA,NA,NA,NA
mechanic,メカニック mekanikku,yes,メカニック mekanikku,yes,japanese,NA,NA,NA,NA,NA,NA
hunter,猟師 ryoushi,yes,猟師 ryoushi,yes,japanese,NA,NA,NA,NA,NA,NA
firefighter,消防士 shouboushi,yes,消防士 shouboushi,yes,japanese,NA,NA,NA,NA,NA,NA
dancer,danser,yes,danseres,yes,dutch,"the male form, danser, can also be used as gender-neutral. Plural for a group of dancers of both genders would always be the plural of the male form: dansers.",NA,NA,NA,NA,NA
nurse,broeder/verpleger,no/yes,zuster/verpleegster,yes/yes,dutch,NA,NA,NA,NA,NA,NA
singer,zanger,yes,zangeres,yes,dutch,NA,NA,NA,NA,NA,NA
cleaner,schoonmaker,yes,schoonmaakster,yes,dutch,NA,NA,NA,NA,NA,NA
secretary,secretaris,no,secretaresse,yes,dutch,"the male and female words almost mean different things. The female word secretaresse is a job, e.g. office assistant or front desk receptionist. The male word is mostly only used to refer to a certain role on committees (held by a person of either gender), rather than the occupation of being a secretary for a living",NA,NA,NA,NA,NA
waiter,ober,yes,serveerster,yes,dutch,NA,NA,NA,NA,NA,NA
journalist,journalist,yes,journalist/journaliste,yes/no,dutch,"the same form 'journalist' can be used for both genders, it only implies male gender when used in specific contrast with 'journaliste' but I've hardly ever seen that used.",NA,NA,NA,NA,NA
baker,bakker,yes,bakker,yes,dutch,NA,NA,NA,NA,NA,NA
author,schrijver/auteur,yes/yes,schrijfster/auteur,yes/yes,dutch,NA,NA,NA,NA,NA,NA
athlete,atleet/sporter,yes/yes,atlete/sportster/atleet/sporter,yes/yes/yes/yes,dutch,"again the male form is also the neutral form and can be used for either gender, it only really strictly means male athlete if used in the context of the female-only forms",NA,NA,NA,NA,NA
lawyer,advocaat,yes,advocaat/advocate,yes/yes,dutch,"same as journalist, you could technically use a female-only form but I don't think I've ever seen that used",NA,NA,NA,NA,NA
doctor/physician,arts/dokter,yes/yes,arts/dokter,yes/yes,dutch,NA,NA,NA,NA,NA,NA
professor,professor/leraar/meester,yes/yes/yes,professor/lerares/juf,yes/yes/yes,dutch,"the middle form means 'teacher' and the third form also means 'teacher' but in an elementary school context. The first form is used strictly only for full professors at the 12 universities our country has, so it's a somewhat more limited word than how i've heard 'professor' used here in the US",NA,NA,NA,NA,NA
governor,gouverneur,no,gouverneur,no,dutch,not a function we have in our political system so this word sounds archaic and just isn't relevant in our language.,NA,NA,NA,NA,NA
judge,rechter,yes,rechter,yes,dutch,NA,NA,NA,NA,NA,NA
